Rank,Year,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,2025,Minnesota Lynx,34,10,0.773,-,20-2,14-8,20-4,86.1,76.7,9.4,W1,6-4
2,2025,Las Vegas Aces,30,14,0.682,4,17-5,13-9,16-8,83.6,80.7,2.9,W16,10-0
3,2025,Atlanta Dream,30,14,0.682,4,16-6,14-8,15-6,84.4,76.8,7.6,W6,8-2
4,2025,Phoenix Mercury,27,17,0.614,7,15-7,12-10,13-11,82.8,80.1,2.7,L3,6-4
5,2025,New York Liberty,27,17,0.614,7,17-5,10-12,15-5,84.4,80.3,4.1,W3,6-4
6,2025,Indiana Fever,24,20,0.545,10,13-9,11-11,13-8,84.9,81.5,3.4,W3,6-4
7,2025,Seattle Storm,23,21,0.523,11,10-12,13-9,12-12,82.1,80.1,2.0,W1,6-4
8,2025,Golden State Valkyries,23,21,0.523,11,14-8,9-13,9-15,77.7,76.3,1.4,L3,5-5
9,2025,Los Angeles Sparks,21,23,0.477,13,9-13,12-10,10-14,85.6,88.2,-2.6,L1,5-5
10,2025,Washington Mystics,16,28,0.364,18,10-12,6-16,8-12,77.1,81.6,-4.5,L10,0-10
11,2025,Connecticut Sun,11,33,0.25,23,7-15,4-18,7-14,75.8,86.0,-10.2,L2,4-6
12,2025,Chicago Sky,10,34,0.227,24,6-16,4-18,4-17,75.8,85.8,-10.0,L4,2-8
13,2025,Dallas Wings,10,34,0.227,24,6-16,4-18,4-20,81.7,88.0,-6.3,W1,1-9
1,2024,New York Liberty,32,8,0.8,-,16-4,16-4,16-4,85.6,76.5,9.2,L1,7-3
2,2024,Minnesota Lynx,30,10,0.75,2,16-4,14-6,14-6,82.0,75.6,6.4,L1,8-2
3,2024,Connecticut Sun,28,12,0.7,4,14-6,14-6,14-6,80.1,73.6,6.5,W1,6-4
4,2024,Las Vegas Aces,27,13,0.675,5,13-7,14-6,12-8,86.4,80.9,5.5,W5,9-1
5,2024,Seattle Storm,25,15,0.625,7,14-6,11-9,13-7,83.2,78.8,4.4,W1,6-4
6,2024,Indiana Fever,20,20,0.5,12,12-8,8-12,11-9,85.0,87.7,-2.7,L1,6-4
7,2024,Phoenix Mercury,19,21,0.475,13,10-10,9-11,10-10,81.5,84.8,-3.4,L1,3-7
8,2024,Atlanta Dream,15,25,0.375,17,8-12,7-13,7-13,77.0,79.8,-2.8,W3,5-5
9,2024,Washington Mystics,14,26,0.35,18,5-15,9-11,7-13,79.3,82.3,-3.0,W1,6-4
10,2024,Chicago Sky,13,27,0.325,19,6-14,7-13,5-15,77.4,82.5,-5.1,L5,2-8
11,2024,Dallas Wings,9,31,0.225,23,7-13,2-18,6-14,84.2,92.1,-7.9,L9,1-9
12,2024,Los Angeles Sparks,8,32,0.2,24,5-15,3-17,5-15,78.4,85.6,-7.2,W1,2-8
1,2023,Las Vegas Aces,34,6,0.85,-,19-1,15-5,18-2,92.8,80.3,12.5,W4,7-3
2,2023,New York Liberty,32,8,0.8,2,15-5,17-3,16-4,89.2,80.6,8.6,L1,8-2
3,2023,Connecticut Sun,27,13,0.675,7,13-7,14-6,14-6,82.7,79.0,3.7,L1,6-4
4,2023,Dallas Wings,22,18,0.55,12,11-9,11-9,11-9,87.9,84.9,2.9,W2,6-4
5,2023,Atlanta Dream,19,21,0.475,15,11-9,8-12,11-9,82.5,84.0,-1.5,L1,4-6
6,2023,Minnesota Lynx,19,21,0.475,15,9-11,10-10,12-8,80.2,85.0,-4.8,L2,5-5
7,2023,Washington Mystics,19,21,0.475,15,12-8,7-13,9-11,80.5,80.9,-0.4,W1,5-5
8,2023,Chicago Sky,18,22,0.45,16,7-13,11-9,5-15,81.7,83.4,-1.6,W3,6-4
9,2023,Los Angeles Sparks,17,23,0.425,17,10-10,7-13,9-11,78.9,80.5,-1.6,W1,5-5
10,2023,Indiana Fever,13,27,0.325,21,6-14,7-13,5-15,81.0,85.1,-4.1,W1,5-5
11,2023,Seattle Storm,11,29,0.275,23,4-16,7-13,8-12,78.8,84.5,-5.6,L4,2-8
12,2023,Phoenix Mercury,9,31,0.225,25,8-12,1-19,2-18,76.6,84.9,-8.3,L11,0-10
1,2022,Las Vegas Aces,26,10,0.722,-,13-5,13-5,15-3,90.4,84.1,6.3,W4,8-2
2,2022,Chicago Sky,26,10,0.722,-,14-4,12-6,15-3,86.3,81.3,5.0,W1,6-4
3,2022,Connecticut Sun,25,11,0.694,1,13-5,12-6,11-7,85.8,77.8,8.0,W3,8-2
4,2022,Seattle Storm,22,14,0.611,4,13-5,9-9,10-8,82.5,78.4,4.1,L1,5-5
5,2022,Washington Mystics,22,14,0.611,4,12-6,10-8,11-7,80.2,75.9,4.3,W2,7-3
6,2022,Dallas Wings,18,18,0.5,8,8-10,10-8,8-10,82.9,82.8,0.1,W1,7-3
7,2022,New York Liberty,16,20,0.444,10,9-9,7-11,10-8,79.6,82.0,-2.4,W3,7-3
8,2022,Phoenix Mercury,15,21,0.417,11,11-7,4-14,7-11,81.1,84.1,-3.0,L1,4-6
9,2022,Minnesota Lynx,14,22,0.389,12,7-11,7-11,8-10,82.4,83.9,-1.5,L2,4-6
10,2022,Atlanta Dream,14,22,0.389,12,8-10,6-12,5-13,78.5,81.5,-3.0,L4,2-8
11,2022,Los Angeles Sparks,13,23,0.361,13,7-11,6-12,6-12,79.4,86.6,-7.2,L3,1-9
12,2022,Indiana Fever,5,31,0.139,21,3-15,2-16,2-16,78.0,89.1,-11.1,L18,0-10
1,2021,Connecticut Sun,26,6,0.813,-,15-1,11-5,12-3,79.7,69.9,9.8,W14,10-0
2,2021,Las Vegas Aces,24,8,0.75,2,13-3,11-5,11-4,89.3,80.2,9.1,W4,8-2
3,2021,Minnesota Lynx,22,10,0.688,4,13-3,9-7,10-5,82.7,78.7,4.0,W4,9-1
4,2021,Seattle Storm,21,11,0.656,5,11-5,10-6,9-6,84.8,80.4,4.4,W1,5-5
5,2021,Phoenix Mercury,19,13,0.594,7,7-9,12-4,6-9,82.1,79.5,2.6,L3,8-2
6,2021,Chicago Sky,16,16,0.5,10,6-10,10-6,10-5,83.3,81.9,1.4,W1,5-5
7,2021,Dallas Wings,14,18,0.438,12,7-9,7-9,7-8,81.1,81.7,-0.6,W1,5-5
8,2021,New York Liberty,12,20,0.375,14,7-9,5-11,6-9,78.4,85.5,-7.1,W1,2-8
9,2021,Washington Mystics,12,20,0.375,14,8-8,4-12,7-8,79.8,83.6,-3.8,L2,4-6
10,2021,Los Angeles Sparks,12,20,0.375,14,8-8,4-12,2-13,72.8,77.1,-4.3,L1,3-7
11,2021,Atlanta Dream,8,24,0.25,18,4-12,4-12,6-9,78.7,84.3,-5.6,L2,2-8
12,2021,Indiana Fever,6,26,0.188,20,4-12,2-14,4-11,75.3,85.1,-9.8,L7,2-8
1,2020,Las Vegas Aces,18,4,0.818,-,9-2,9-2,8-2,88.7,80.1,8.6,W6,9-1
2,2020,Seattle Storm,18,4,0.818,-,10-1,8-3,8-2,87.5,76.0,11.5,L1,7-3
3,2020,Los Angeles Sparks,15,7,0.682,3,8-3,7-4,5-5,84.9,80.3,4.6,L2,6-4
4,2020,Minnesota Lynx,14,8,0.636,4,7-4,7-4,4-6,84.4,80.6,3.8,W1,5-5
5,2020,Phoenix Mercury,13,9,0.591,5,6-5,7-4,4-6,86.1,84.1,2.0,L1,7-3
6,2020,Chicago Sky,12,10,0.545,6,6-5,6-5,6-4,86.7,84.1,2.6,W1,4-6
7,2020,Connecticut Sun,10,12,0.455,8,3-8,7-4,7-3,80.4,79.9,0.5,L2,5-5
8,2020,Washington Mystics,9,13,0.409,9,5-6,4-7,6-4,80.0,81.5,-1.5,W4,5-5
9,2020,Dallas Wings,8,14,0.364,10,4-7,4-7,1-9,83.4,87.0,-3.6,W1,4-6
10,2020,Atlanta Dream,7,15,0.318,11,3-8,4-7,5-5,81.0,87.6,-6.6,L1,5-5
11,2020,Indiana Fever,6,16,0.273,12,5-6,1-10,4-6,81.7,89.5,-7.8,L1,1-9
