Rank,Year,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
12,2020,New York Liberty,2,20,0.091,16,0-11,2-9,2-8,71.9,85.9,-14.0,L8,1-9
1,2019,Washington Mystics,26,8,0.765,-,14-3,12-5,13-3,89.3,77.3,12.0,W6,9-1
2,2019,Connecticut Sun,23,11,0.676,3,15-2,8-9,11-5,80.8,77.9,2.9,L2,7-3
3,2019,Los Angeles Sparks,22,12,0.647,4,15-2,7-10,10-6,80.1,77.2,2.9,W3,7-3
4,2019,Las Vegas Aces,21,13,0.618,5,13-4,8-9,11-5,82.2,78.8,3.4,W1,6-4
5,2019,Chicago Sky,20,14,0.588,6,12-5,8-9,11-5,84.6,83.3,1.3,L1,6-4
6,2019,Seattle Storm,18,16,0.529,8,11-6,7-10,10-6,74.8,75.1,-0.3,W1,5-5
7,2019,Minnesota Lynx,18,16,0.529,8,11-6,7-10,7-9,78.4,75.9,2.5,L1,6-4
8,2019,Phoenix Mercury,15,19,0.441,11,9-8,6-11,5-11,76.5,77.6,-1.1,L4,4-6
9,2019,Indiana Fever,13,21,0.382,13,7-10,6-11,7-9,77.6,80.3,-2.7,W2,5-5
10,2019,Dallas Wings,10,24,0.294,16,8-9,2-15,5-11,71.6,77.4,-5.8,L4,4-6
11,2019,New York Liberty,10,24,0.294,16,4-13,6-11,3-13,77.4,84.7,-7.3,W1,2-8
12,2019,Atlanta Dream,8,26,0.235,18,5-12,3-14,3-13,71.2,78.9,-7.7,L1,3-7
1,2018,Seattle Storm,26,8,0.765,-,13-4,13-4,11-5,87.2,79.7,7.5,W3,8-2
2,2018,Atlanta Dream,23,11,0.676,3,13-4,10-7,12-4,81.8,79.5,2.3,W1,8-2
3,2018,Washington Mystics,22,12,0.647,4,12-5,10-7,12-4,82.0,79.0,3.0,L1,8-2
4,2018,Connecticut Sun,21,13,0.618,5,13-4,8-9,9-7,87.6,81.7,5.9,W4,9-1
5,2018,Phoenix Mercury,20,14,0.588,6,9-8,11-6,8-8,85.8,83.2,2.6,W4,5-5
6,2018,Los Angeles Sparks,19,15,0.559,7,11-6,8-9,9-7,78.9,77.0,1.9,L2,5-5
7,2018,Minnesota Lynx,18,16,0.529,8,9-8,9-8,9-7,78.9,78.3,0.6,W1,4-6
8,2018,Dallas Wings,15,19,0.441,11,10-7,5-12,7-9,86.6,85.4,1.2,L1,1-9
9,2018,Las Vegas Aces,14,20,0.412,12,8-9,6-11,4-12,81.9,84.4,-2.5,L2,3-7
10,2018,Chicago Sky,13,21,0.382,13,7-10,6-11,6-10,83.8,90.1,-6.3,L1,5-5
11,2018,New York Liberty,7,27,0.206,19,4-13,3-14,6-10,77.7,84.8,-7.1,L13,0-10
12,2018,Indiana Fever,6,28,0.176,20,2-15,4-13,3-13,76.4,85.7,-9.3,W1,3-7
1,2017,Minnesota Lynx,27,7,0.794,-,15-2,12-5,13-3,85.4,74.2,11.2,W3,6-4
2,2017,Los Angeles Sparks,26,8,0.765,1,16-1,10-7,12-4,83.5,75.2,8.3,W7,8-2
3,2017,New York Liberty,22,12,0.647,5,13-4,9-8,11-5,79.7,76.6,3.1,W10,10-0
4,2017,Connecticut Sun,21,13,0.618,6,12-5,9-8,10-6,86.0,81.6,4.4,L2,6-4
5,2017,Phoenix Mercury,18,16,0.529,9,9-8,9-8,7-9,81.9,81.9,0.0,W3,5-5
6,2017,Washington Mystics,18,16,0.529,9,11-6,7-10,12-4,81.7,81.0,0.7,L1,4-6
7,2017,Dallas Wings,16,18,0.471,11,10-7,6-11,7-9,86.1,88.8,-2.7,L1,5-5
8,2017,Seattle Storm,15,19,0.441,12,10-7,5-12,8-8,82.6,82.6,0.0,W1,5-5
9,2017,Chicago Sky,12,22,0.353,15,4-13,8-9,6-10,82.1,87.2,-5.1,L4,4-6
10,2017,Atlanta Dream,12,22,0.353,15,9-8,3-14,5-11,78.9,82.7,-3.8,L2,2-8
11,2017,Indiana Fever,9,25,0.265,18,6-11,3-14,4-12,75.1,84.3,-9.2,L8,1-9
12,2017,San Antonio Stars,8,26,0.235,19,6-11,2-15,1-15,74.4,81.4,-7.0,W1,5-5
1,2016,Minnesota Lynx,28,6,0.824,-,15-2,13-4,15-1,85.8,77.0,8.8,W2,8-2
2,2016,Los Angeles Sparks,26,8,0.765,2,14-3,12-5,11-5,83.0,75.9,7.1,W2,5-5
3,2016,New York Liberty,21,13,0.618,7,10-7,11-6,11-5,81.6,80.9,0.7,L3,4-6
4,2016,Chicago Sky,18,16,0.529,10,11-6,7-10,8-8,86.2,85.6,0.6,L1,7-3
5,2016,Indiana Fever,17,17,0.5,11,8-9,9-8,8-8,80.5,80.9,-0.4,W1,5-5
6,2016,Atlanta Dream,17,17,0.5,11,11-6,6-11,9-7,81.8,84.0,-2.2,L1,5-5
7,2016,Seattle Storm,16,18,0.471,12,10-7,6-11,7-9,80.8,80.2,0.6,W1,7-3
8,2016,Phoenix Mercury,16,18,0.471,12,11-6,5-12,6-10,84.6,83.3,1.3,W2,6-4
9,2016,Connecticut Sun,14,20,0.412,14,8-9,6-11,4-12,83.0,84.4,-1.4,W3,6-4
10,2016,Washington Mystics,13,21,0.382,15,5-12,8-9,8-8,80.7,82.2,-1.5,L2,4-6
11,2016,Dallas Wings,11,23,0.324,17,6-11,5-12,8-8,82.6,88.2,-5.6,L2,2-8
12,2016,San Antonio Stars,7,27,0.206,21,4-13,3-14,1-15,72.0,80.2,-8.2,L2,2-8
1,2015,New York Liberty,23,11,0.676,-,12-5,11-6,13-9,74.4,71.1,3.3,L2,6-4
2,2015,Minnesota Lynx,22,12,0.647,1,13-4,9-8,16-6,75.5,71.7,3.8,L1,4-6
3,2015,Chicago Sky,21,13,0.618,2,13-4,8-9,14-8,82.9,78.8,4.1,L1,7-3
4,2015,Phoenix Mercury,20,14,0.588,3,13-4,7-10,15-7,75.1,72.3,2.8,L1,5-5
5,2015,Indiana Fever,20,14,0.588,3,11-6,9-8,13-9,77.7,75.8,1.9,W2,5-5
6,2015,Tulsa Shock,18,16,0.529,5,12-5,6-11,11-11,77.7,77.1,0.6,W1,8-2
7,2015,Washington Mystics,18,16,0.529,5,11-6,7-10,10-12,73.6,71.2,2.4,L1,3-7
8,2015,Atlanta Dream,15,19,0.441,8,9-8,6-11,10-12,77.8,79.8,-2.0,W1,6-4
9,2015,Connecticut Sun,15,19,0.441,8,8-9,7-10,6-16,75.0,76.6,-1.6,W1,3-7
10,2015,Los Angeles Sparks,14,20,0.412,9,9-8,5-12,10-12,73.6,74.6,-1.0,L2,6-4
11,2015,Seattle Storm,10,24,0.294,13,8-9,2-15,8-14,70.4,76.1,-5.7,L1,4-6
12,2015,San Antonio Stars,8,26,0.235,15,7-10,1-16,6-16,68.1,76.7,-8.6,W1,1-9
1,2014,Phoenix Mercury,29,5,0.853,-,16-1,13-4,29-5,83.5,74.1,9.4,W2,8-2
2,2014,Minnesota Lynx,25,9,0.735,4,15-2,10-7,25-9,81.6,77.2,4.4,W1,7-3
3,2014,Atlanta Dream,19,15,0.559,10,13-4,6-11,19-15,80.6,78.5,2.1,L1,4-6
4,2014,Indiana Fever,16,18,0.471,13,7-10,9-8,16-18,74.1,75.1,-1.0,L1,5-5
5,2014,Washington Mystics,16,18,0.471,13,8-9,8-9,16-18,74.3,73.8,0.5,L1,5-5
6,2014,San Antonio Stars,16,18,0.471,13,8-9,8-9,16-18,77.8,79.6,-1.8,W3,4-6
7,2014,Los Angeles Sparks,16,18,0.471,13,7-10,9-8,16-18,77.4,77.6,-0.2,L1,6-4
8,2014,Chicago Sky,15,19,0.441,14,9-8,6-11,15-19,76.2,78.2,-2.0,L2,5-5
9,2014,New York Liberty,15,19,0.441,14,10-7,5-12,15-19,72.1,75.2,-3.1,W2,5-5
10,2014,Connecticut Sun,13,21,0.382,16,9-8,4-13,13-21,75.7,77.5,-1.8,W1,3-7
11,2014,Tulsa Shock,12,22,0.353,17,8-9,4-13,12-22,81.2,83.3,-2.1,L3,4-6
12,2014,Seattle Storm,12,22,0.353,17,8-9,4-13,12-22,70.9,75.3,-4.4,L2,3-7
1,2013,Minnesota Lynx,26,8,0.765,-,15-2,11-6,26-8,82.9,73.5,9.4,W1,8-2
2,2013,Chicago Sky,24,10,0.706,2,14-3,10-7,24-10,79.4,73.6,5.8,L1,8-2
3,2013,Los Angeles Sparks,24,10,0.706,2,15-2,9-8,24-10,82.0,75.0,7.0,W3,7-3
4,2013,Phoenix Mercury,19,15,0.559,7,10-7,9-8,19-15,79.7,80.3,-0.6,L1,6-4
5,2013,Atlanta Dream,17,17,0.5,9,13-4,4-13,17-17,76.9,75.4,1.5,L4,3-7
6,2013,Washington Mystics,17,17,0.5,9,10-7,7-10,17-17,75.5,75.4,0.1,W3,6-4
7,2013,Seattle Storm,17,17,0.5,9,9-8,8-9,17-17,70.9,73.3,-2.4,W2,6-4
8,2013,Indiana Fever,16,18,0.471,10,9-8,7-10,16-18,70.8,70.5,0.3,L1,5-5
9,2013,San Antonio Silver Stars,12,22,0.353,14,8-9,4-13,12-22,72.1,77.9,-5.8,W1,3-7
10,2013,New York Liberty,11,23,0.324,15,6-11,5-12,11-23,69.6,77.0,-7.4,L7,1-9
11,2013,Tulsa Shock,11,23,0.324,15,7-10,4-13,11-23,77.0,79.2,-2.2,L2,4-6
12,2013,Connecticut Sun,10,24,0.294,16,8-9,2-15,10-24,71.0,76.9,-5.9,W1,3-7
1,2012,Minnesota Lynx,27,7,0.794,-,16-1,11-6,0-0,86.0,76.2,9.8,L1,7-3
2,2012,Connecticut Sun,25,9,0.735,2,12-5,13-4,0-0,81.6,77.4,4.2,W3,7-3
3,2012,Los Angeles Sparks,24,10,0.706,3,16-1,8-9,0-0,84.0,78.3,5.7,W4,6-4
4,2012,Indiana Fever,22,12,0.647,5,13-4,9-8,0-0,78.3,72.3,6.0,W2,6-4
5,2012,San Antonio Silver Stars,21,13,0.618,6,12-5,9-8,0-0,82.1,76.9,5.2,W1,4-6
6,2012,Atlanta Dream,19,15,0.559,8,11-6,8-9,0-0,78.6,75.8,2.8,L1,7-3
7,2012,Seattle Storm,16,18,0.471,11,10-7,6-11,0-0,71.2,71.6,-0.4,W3,5-5
8,2012,New York Liberty,15,19,0.441,12,9-8,6-11,0-0,73.1,77.2,-4.1,W1,6-4
9,2012,Chicago Sky,14,20,0.412,13,7-10,7-10,0-0,75.2,75.5,-0.3,W1,5-5
10,2012,Tulsa Shock,9,25,0.265,18,6-11,3-14,0-0,77.2,84.2,-7.0,L2,4-6
11,2012,Phoenix Mercury,7,27,0.206,20,3-14,4-13,0-0,74.5,86.7,-12.2,L7,2-8
12,2012,Washington Mystics,5,29,0.147,22,4-13,1-16,0-0,68.6,78.3,-9.7,L13,0-10
1,2011,Minnesota Lynx,27,7,0.794,-,14-3,13-4,18-4,81.5,73.6,7.9,W3,9-1
2,2011,Indiana Fever,21,13,0.618,6,13-4,8-9,13-9,77.7,73.8,3.9,L2,4-6
3,2011,Seattle Storm,21,13,0.618,6,15-2,6-11,15-7,71.6,69.9,1.7,W4,8-2
4,2011,Connecticut Sun,21,13,0.618,6,15-2,6-11,14-8,80.1,76.8,3.3,W1,5-5
5,2011,Atlanta Dream,20,14,0.588,7,11-6,9-8,14-8,82.5,80.8,1.7,W4,8-2
6,2011,Phoenix Mercury,19,15,0.559,8,11-6,8-9,11-11,89.0,86.0,3.0,L2,5-5
7,2011,New York Liberty,19,15,0.559,8,12-5,7-10,11-11,76.0,74.8,1.2,L1,6-4
8,2011,San Antonio Silver Stars,18,16,0.529,9,9-8,9-8,11-11,77.6,75.5,2.1,W3,5-5
9,2011,Los Angeles Sparks,15,19,0.441,12,10-7,5-12,10-12,77.1,80.3,-3.2,W2,5-5
10,2011,Chicago Sky,14,20,0.412,13,10-7,4-13,10-12,74.2,75.2,-1.0,L5,4-6
11,2011,Washington Mystics,6,28,0.176,21,4-13,2-15,4-18,70.8,78.8,-8.0,L4,1-9
12,2011,Tulsa Shock,3,31,0.088,24,2-15,1-16,1-21,69.2,82.1,-12.9,L6,2-8
1,2010,Seattle Storm,28,6,0.824,-,17-0,11-6,20-2,81.8,73.9,7.9,W3,6-4
2,2010,Washington Mystics,22,12,0.647,6,13-4,9-8,13-9,76.9,73.3,3.6,W6,8-2
3,2010,New York Liberty,22,12,0.647,6,13-4,9-8,14-8,79.2,76.0,3.2,W1,9-1
4,2010,Indiana Fever,21,13,0.618,7,12-5,9-8,13-9,78.3,74.1,4.2,L3,5-5
5,2010,Atlanta Dream,19,15,0.559,9,10-7,9-8,10-12,85.4,83.1,2.3,L2,4-6
6,2010,Connecticut Sun,17,17,0.5,11,12-5,5-12,9-13,81.0,79.9,1.1,L1,4-6
7,2010,Phoenix Mercury,15,19,0.441,13,9-8,6-11,13-9,93.9,93.8,0.1,L2,4-6
8,2010,San Antonio Silver Stars,14,20,0.412,14,8-9,6-11,11-11,76.8,80.1,-3.3,W2,5-5
9,2010,Chicago Sky,14,20,0.412,14,7-10,7-10,7-15,76.1,76.8,-0.7,L2,2-8
10,2010,Los Angeles Sparks,13,21,0.382,15,8-9,5-12,10-12,77.9,81.2,-3.3,L1,5-5
11,2010,Minnesota Lynx,13,21,0.382,15,7-10,6-11,8-14,78.7,82.1,-3.4,W1,5-5
12,2010,Tulsa Shock,6,28,0.176,22,4-13,2-15,4-18,78.0,89.8,-11.8,W1,2-8
1,2009,Phoenix Mercury,23,11,0.676,-,12-5,11-6,13-7,92.8,89.1,3.7,L1,6-4
2,2009,Indiana Fever,22,12,0.647,1,14-3,8-9,17-5,76.6,73.6,3.0,L2,3-7
3,2009,Seattle Storm,20,14,0.588,3,13-4,7-10,13-7,74.8,72.8,2.0,W1,7-3
4,2009,Atlanta Dream,18,16,0.529,5,12-5,6-11,10-12,84.1,82.3,1.8,L1,5-5
5,2009,Detroit Shock,18,16,0.529,5,11-6,7-10,11-11,78.0,77.8,0.2,W2,8-2
6,2009,Los Angeles Sparks,18,16,0.529,5,11-6,7-10,11-9,74.5,73.5,1.0,W3,7-3
7,2009,Chicago Sky,16,18,0.471,7,12-5,4-13,10-12,75.7,79.2,-3.5,L1,4-6
8,2009,Washington Mystics,16,18,0.471,7,11-6,5-12,10-12,76.0,77.1,-1.1,L1,4-6
9,2009,Connecticut Sun,16,18,0.471,7,12-5,4-13,10-12,78.0,78.1,-0.1,W1,3-7
10,2009,San Antonio Silver Stars,15,19,0.441,8,10-7,5-12,10-10,76.9,78.3,-1.4,L1,4-6
11,2009,Minnesota Lynx,14,20,0.412,9,9-8,5-12,7-13,80.3,83.1,-2.8,L2,3-7
12,2009,New York Liberty,13,21,0.382,10,8-9,5-12,9-13,73.9,74.6,-0.7,W1,4-6
13,2009,Sacramento Monarchs,12,22,0.353,11,7-10,5-12,6-14,76.8,79.1,-2.3,W1,5-5
1,2008,San Antonio Silver Stars,24,10,0.706,-,15-2,9-8,10-10,74.9,71.1,3.8,W5,8-2
2,2008,Detroit Shock,22,12,0.647,2,14-3,8-9,16-4,78.6,74.2,4.4,W5,6-4
3,2008,Seattle Storm,22,12,0.647,2,16-1,6-11,13-7,73.3,70.8,2.5,L1,6-4
4,2008,Connecticut Sun,21,13,0.618,3,13-4,8-9,13-7,79.1,74.7,4.4,W1,7-3
5,2008,Los Angeles Sparks,20,14,0.588,4,12-5,8-9,12-8,76.4,74.2,2.2,W1,6-4
6,2008,New York Liberty,19,15,0.559,5,11-6,8-9,11-9,75.7,74.6,1.1,L1,5-5
7,2008,Sacramento Monarchs,18,16,0.529,6,13-4,5-12,9-11,74.9,75.6,-0.7,L3,5-5
8,2008,Indiana Fever,17,17,0.5,7,11-6,6-11,12-8,72.7,72.3,0.4,W2,6-4
9,2008,Houston Comets,17,17,0.5,7,13-4,4-13,10-10,75.3,76.6,-1.3,W4,5-5
10,2008,Phoenix Mercury,16,18,0.471,8,10-7,6-11,8-12,88.5,88.5,0.0,L1,5-5
11,2008,Minnesota Lynx,16,18,0.471,8,9-8,7-10,8-12,81.4,80.0,1.4,W1,4-6
12,2008,Chicago Sky,12,22,0.353,12,8-9,4-13,10-10,72.7,73.8,-1.1,L2,4-6
13,2008,Washington Mystics,10,24,0.294,14,6-11,4-13,6-14,69.6,76.5,-6.9,L9,1-9
14,2008,Atlanta Dream,4,30,0.118,20,1-16,3-14,2-18,74.5,84.7,-10.2,L1,1-9
1,2007,Detroit Shock,24,10,0.706,-,12-5,12-5,14-6,79.3,74.7,4.6,L4,6-4
2,2007,Phoenix Mercury,23,11,0.676,1,12-5,11-6,17-5,89.0,85.4,3.6,W5,9-1
3,2007,Indiana Fever,21,13,0.618,3,12-5,9-8,12-8,72.9,69.7,3.2,W2,5-5
4,2007,San Antonio Silver Stars,20,14,0.588,4,9-8,11-6,13-9,74.0,73.1,0.9,L3,4-6
5,2007,Sacramento Monarchs,19,15,0.559,5,12-5,7-10,12-10,74.3,72.9,1.4,L2,5-5
6,2007,Connecticut Sun,18,16,0.529,6,8-9,10-7,10-10,78.7,76.3,2.4,L2,6-4
7,2007,Seattle Storm,17,17,0.5,7,12-5,5-12,11-11,80.4,77.9,2.5,W3,5-5
8,2007,New York Liberty,16,18,0.471,8,10-7,6-11,10-10,71.0,73.6,-2.6,W3,6-4
9,2007,Washington Mystics,16,18,0.471,8,8-9,8-9,8-12,76.0,77.6,-1.6,W1,6-4
10,2007,Chicago Sky,14,20,0.412,10,6-11,8-9,6-14,74.3,76.8,-2.5,L1,3-7
11,2007,Houston Comets,13,21,0.382,11,7-10,6-11,10-12,73.8,77.3,-3.5,W1,5-5
12,2007,Minnesota Lynx,10,24,0.294,14,7-10,3-14,8-14,77.5,80.9,-3.4,W2,5-5
13,2007,Los Angeles Sparks,10,24,0.294,14,5-12,5-12,6-16,74.5,79.6,-5.1,L3,2-8
1,2006,Connecticut Sun,26,8,0.765,-,14-3,12-5,15-5,78.9,71.1,7.8,L2,8-2
2,2006,Los Angeles Sparks,25,9,0.735,1,15-2,10-7,15-5,75.7,72.8,2.9,W2,6-4
3,2006,Detroit Shock,23,11,0.676,3,14-3,9-8,14-6,74.3,70.1,4.2,W1,6-4
4,2006,Sacramento Monarchs,21,13,0.618,5,14-3,7-10,10-10,74.6,70.7,3.9,L1,5-5
5,2006,Indiana Fever,21,13,0.618,5,12-5,9-8,12-8,71.6,68.1,3.5,L1,6-4
6,2006,Houston Comets,18,16,0.529,8,12-5,6-11,11-9,73.4,71.8,1.6,W1,5-5
7,2006,Seattle Storm,18,16,0.529,8,9-8,9-8,10-10,77.6,75.4,2.2,L2,6-4
8,2006,Washington Mystics,18,16,0.529,8,13-4,5-12,12-8,80.8,78.1,2.7,L1,6-4
9,2006,Phoenix Mercury,18,16,0.529,8,10-7,8-9,8-12,87.1,84.7,2.4,W7,7-3
10,2006,San Antonio Silver Stars,13,21,0.382,13,6-11,7-10,10-10,74.2,76.6,-2.4,L1,2-8
11,2006,New York Liberty,11,23,0.324,15,7-10,4-13,7-13,69.8,78.2,-8.4,W2,7-3
12,2006,Charlotte Sting,11,23,0.324,15,7-10,4-13,6-14,72.2,75.6,-3.4,W1,4-6
13,2006,Minnesota Lynx,10,24,0.294,16,8-9,2-15,6-14,74.2,80.6,-6.4,L3,1-9
14,2006,Chicago Sky,5,29,0.147,21,3-14,2-15,4-16,68.4,79.0,-10.6,W1,2-8
1,2005,Connecticut Sun,26,8,0.765,-,14-3,12-5,13-7,72.8,66.0,6.8,W2,8-2
2,2005,Sacramento Monarchs,25,9,0.735,1,15-2,10-7,17-5,68.5,61.6,6.9,W1,8-2
3,2005,Indiana Fever,21,13,0.618,5,14-3,7-10,14-6,63.8,62.7,1.1,W1,6-4
