Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Seattle Storm,26,8,0.765,-,13-4,13-4,11-5,87.2,79.7,7.5,W3,8-2
2,Atlanta Dream,23,11,0.676,3,13-4,10-7,12-4,81.8,79.5,2.3,W1,8-2
3,Washington Mystics,22,12,0.647,4,12-5,10-7,12-4,82.0,79.0,3.0,L1,8-2
4,Connecticut Sun,21,13,0.618,5,13-4,8-9,9-7,87.6,81.7,5.9,W4,9-1
5,Phoenix Mercury,20,14,0.588,6,9-8,11-6,8-8,85.8,83.2,2.6,W4,5-5
6,Los Angeles Sparks,19,15,0.559,7,11-6,8-9,9-7,78.9,77.0,1.9,L2,5-5
7,Minnesota Lynx,18,16,0.529,8,9-8,9-8,9-7,78.9,78.3,0.6,W1,4-6
8,Dallas Wings,15,19,0.441,11,10-7,5-12,7-9,86.6,85.4,1.2,L1,1-9
9,Las Vegas Aces,14,20,0.412,12,8-9,6-11,4-12,81.9,84.4,-2.5,L2,3-7
10,Chicago Sky,13,21,0.382,13,7-10,6-11,6-10,83.8,90.1,-6.3,L1,5-5
11,New York Liberty,7,27,0.206,19,4-13,3-14,6-10,77.7,84.8,-7.1,L13,0-10
12,Indiana Fever,6,28,0.176,20,2-15,4-13,3-13,76.4,85.7,-9.3,W1,3-7
