Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Los Angeles Sparks,25,9,0.735,-,15-2,10-7,16-6,73.4,69.4,4.0,W1,8-2
2,Seattle Storm,20,14,0.588,5,13-4,7-10,13-9,71.7,66.6,5.1,L1,4-6
3,Connecticut Sun,18,16,0.529,7,10-7,8-9,14-6,68.7,67.8,0.9,W1,6-4
4,New York Liberty,18,16,0.529,7,11-6,7-10,10-10,66.2,67.6,-1.4,W3,6-4
5,Sacramento Monarchs,18,16,0.529,7,10-7,8-9,12-10,68.0,65.9,2.1,W3,7-3
6,Minnesota Lynx,18,16,0.529,7,11-6,7-10,12-10,63.7,64.4,-0.7,L1,4-6
7,Detroit Shock,17,17,0.5,8,8-9,9-8,11-9,69.6,70.0,-0.4,W3,6-4
8,Washington Mystics,17,17,0.5,8,11-6,6-11,9-11,68.4,70.1,-1.7,L1,7-3
9,Phoenix Mercury,17,17,0.5,8,10-7,7-10,11-11,67.6,65.7,1.9,W1,5-5
10,Charlotte Sting,16,18,0.471,9,10-7,6-11,8-12,61.5,63.8,-2.3,L3,4-6
11,Indiana Fever,15,19,0.441,10,10-7,5-12,8-12,64.6,66.0,-1.4,L4,3-7
12,Houston Comets,13,21,0.382,12,9-8,4-13,7-15,64.0,65.0,-1.0,L3,3-7
13,San Antonio Silver Stars,9,25,0.265,16,6-11,3-14,6-16,64.4,69.5,-5.1,W1,3-7
