Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Minnesota Lynx,34,10,0.773,-,20-2,14-8,20-4,86.1,76.7,9.4,W1,6-4
2,Las Vegas Aces,30,14,0.682,4,17-5,13-9,16-8,83.6,80.7,2.9,W16,10-0
3,Atlanta Dream,30,14,0.682,4,16-6,14-8,15-6,84.4,76.8,7.6,W6,8-2
4,Phoenix Mercury,27,17,0.614,7,15-7,12-10,13-11,82.8,80.1,2.7,L3,6-4
5,New York Liberty,27,17,0.614,7,17-5,10-12,15-5,84.4,80.3,4.1,W3,6-4
6,Indiana Fever,24,20,0.545,10,13-9,11-11,13-8,84.9,81.5,3.4,W3,6-4
7,Seattle Storm,23,21,0.523,11,10-12,13-9,12-12,82.1,80.1,2.0,W1,6-4
8,Golden State Valkyries,23,21,0.523,11,14-8,9-13,9-15,77.7,76.3,1.4,L3,5-5
9,Los Angeles Sparks,21,23,0.477,13,9-13,12-10,10-14,85.6,88.2,-2.6,L1,5-5
10,Washington Mystics,16,28,0.364,18,10-12,6-16,8-12,77.1,81.6,-4.5,L10,0-10
11,Connecticut Sun,11,33,0.25,23,7-15,4-18,7-14,75.8,86.0,-10.2,L2,4-6
12,Chicago Sky,10,34,0.227,24,6-16,4-18,4-17,75.8,85.8,-10.0,L4,2-8
13,Dallas Wings,10,34,0.227,24,6-16,4-18,4-20,81.7,88.0,-6.3,W1,1-9
