Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Minnesota Lynx,28,6,0.824,-,15-2,13-4,15-1,85.8,77.0,8.8,W2,8-2
2,Los Angeles Sparks,26,8,0.765,2,14-3,12-5,11-5,83.0,75.9,7.1,W2,5-5
3,New York Liberty,21,13,0.618,7,10-7,11-6,11-5,81.6,80.9,0.7,L3,4-6
4,Chicago Sky,18,16,0.529,10,11-6,7-10,8-8,86.2,85.6,0.6,L1,7-3
5,Indiana Fever,17,17,0.5,11,8-9,9-8,8-8,80.5,80.9,-0.4,W1,5-5
6,Atlanta Dream,17,17,0.5,11,11-6,6-11,9-7,81.8,84.0,-2.2,L1,5-5
7,Seattle Storm,16,18,0.471,12,10-7,6-11,7-9,80.8,80.2,0.6,W1,7-3
8,Phoenix Mercury,16,18,0.471,12,11-6,5-12,6-10,84.6,83.3,1.3,W2,6-4
9,Connecticut Sun,14,20,0.412,14,8-9,6-11,4-12,83.0,84.4,-1.4,W3,6-4
10,Washington Mystics,13,21,0.382,15,5-12,8-9,8-8,80.7,82.2,-1.5,L2,4-6
11,Dallas Wings,11,23,0.324,17,6-11,5-12,8-8,82.6,88.2,-5.6,L2,2-8
12,San Antonio Stars,7,27,0.206,21,4-13,3-14,1-15,72.0,80.2,-8.2,L2,2-8
