Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Portland Fire,4,1,0.0,-,2-1,2-0,2-1,0.0,0.0,0.0,L9,
2,Seattle Storm,2,0,0.0,0.5,1-0,1-0,0-0,0.0,0.0,0.0,W24,
3,Cleveland Rockers,1,0,0.0,1,1-0,0-0,1-0,0.0,0.0,0.0,W23,
4,Houston Comets,1,0,0.0,1,1-0,0-0,1-0,0.0,0.0,0.0,W31,
5,Los Angeles Sparks,2,1,0.0,1,1-0,1-1,1-0,0.0,0.0,0.0,L14,
6,Detroit Shock,2,2,0.0,1.5,0-1,2-1,1-2,0.0,0.0,0.0,L1,
7,Indiana Fever,1,1,0.0,1.5,1-1,0-1,0-1,0.0,0.0,0.0,W10,
8,New York Liberty,0,0,0.0,1.5,0-0,0-0,0-0,0.0,0.0,0.0,-,
9,Washington Mystics,0,0,0.0,1.5,0-0,0-0,0-0,0.0,0.0,0.0,-,
10,Miami Sol,3,4,0.0,2,2-3,1-1,3-2,0.0,0.0,0.0,W7,
11,Sacramento Monarchs,1,2,0.0,2,0-1,1-1,0-0,0.0,0.0,0.0,L16,
12,Minnesota Lynx,1,3,0.0,2.5,1-0,0-3,1-0,0.0,0.0,0.0,L5,
13,Charlotte Sting,0,2,0.0,2.5,0-1,0-1,0-2,0.0,0.0,0.0,L11,
14,Phoenix Mercury,0,2,0.0,2.5,0-0,0-2,0-1,0.0,0.0,0.0,L13,
