Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Detroit Shock,24,10,0.706,-,12-5,12-5,14-6,79.3,74.7,4.6,L4,6-4
2,Phoenix Mercury,23,11,0.676,1,12-5,11-6,17-5,89.0,85.4,3.6,W5,9-1
3,Indiana Fever,21,13,0.618,3,12-5,9-8,12-8,72.9,69.7,3.2,W2,5-5
4,San Antonio Silver Stars,20,14,0.588,4,9-8,11-6,13-9,74.0,73.1,0.9,L3,4-6
5,Sacramento Monarchs,19,15,0.559,5,12-5,7-10,12-10,74.3,72.9,1.4,L2,5-5
6,Connecticut Sun,18,16,0.529,6,8-9,10-7,10-10,78.7,76.3,2.4,L2,6-4
7,Seattle Storm,17,17,0.5,7,12-5,5-12,11-11,80.4,77.9,2.5,W3,5-5
8,New York Liberty,16,18,0.471,8,10-7,6-11,10-10,71.0,73.6,-2.6,W3,6-4
9,Washington Mystics,16,18,0.471,8,8-9,8-9,8-12,76.0,77.6,-1.6,W1,6-4
10,Chicago Sky,14,20,0.412,10,6-11,8-9,6-14,74.3,76.8,-2.5,L1,3-7
11,Houston Comets,13,21,0.382,11,7-10,6-11,10-12,73.8,77.3,-3.5,W1,5-5
12,Minnesota Lynx,10,24,0.294,14,7-10,3-14,8-14,77.5,80.9,-3.4,W2,5-5
13,Los Angeles Sparks,10,24,0.294,14,5-12,5-12,6-16,74.5,79.6,-5.1,L3,2-8
