Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Minnesota Lynx,27,7,0.794,-,15-2,12-5,13-3,85.4,74.2,11.2,W3,6-4
2,Los Angeles Sparks,26,8,0.765,1,16-1,10-7,12-4,83.5,75.2,8.3,W7,8-2
3,New York Liberty,22,12,0.647,5,13-4,9-8,11-5,79.7,76.6,3.1,W10,10-0
4,Connecticut Sun,21,13,0.618,6,12-5,9-8,10-6,86.0,81.6,4.4,L2,6-4
5,Phoenix Mercury,18,16,0.529,9,9-8,9-8,7-9,81.9,81.9,0.0,W3,5-5
6,Washington Mystics,18,16,0.529,9,11-6,7-10,12-4,81.7,81.0,0.7,L1,4-6
7,Dallas Wings,16,18,0.471,11,10-7,6-11,7-9,86.1,88.8,-2.7,L1,5-5
8,Seattle Storm,15,19,0.441,12,10-7,5-12,8-8,82.6,82.6,0.0,W1,5-5
9,Chicago Sky,12,22,0.353,15,4-13,8-9,6-10,82.1,87.2,-5.1,L4,4-6
10,Atlanta Dream,12,22,0.353,15,9-8,3-14,5-11,78.9,82.7,-3.8,L2,2-8
11,Indiana Fever,9,25,0.265,18,6-11,3-14,4-12,75.1,84.3,-9.2,L8,1-9
12,San Antonio Stars,8,26,0.235,19,6-11,2-15,1-15,74.4,81.4,-7.0,W1,5-5
