Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Connecticut Sun,26,8,0.765,-,14-3,12-5,13-7,72.8,66.0,6.8,W2,8-2
2,Sacramento Monarchs,25,9,0.735,1,15-2,10-7,17-5,68.5,61.6,6.9,W1,8-2
3,Indiana Fever,21,13,0.618,5,14-3,7-10,14-6,63.8,62.7,1.1,W1,6-4
4,Seattle Storm,20,14,0.588,6,14-3,6-11,13-9,73.5,70.8,2.7,W3,6-4
5,Houston Comets,19,15,0.559,7,11-6,8-9,11-11,67.9,66.6,1.3,W2,5-5
6,New York Liberty,18,16,0.529,8,10-7,8-9,9-11,68.1,67.2,0.9,L3,6-4
7,Los Angeles Sparks,17,17,0.5,9,11-6,6-11,12-10,68.4,69.0,-0.6,L1,5-5
8,Detroit Shock,16,18,0.471,10,12-5,4-13,11-9,66.1,67.3,-1.2,L1,6-4
9,Phoenix Mercury,16,18,0.471,10,11-6,5-12,12-10,69.4,69.2,0.2,L3,5-5
10,Washington Mystics,16,18,0.471,10,10-7,6-11,9-11,66.6,67.8,-1.2,W1,4-6
11,Minnesota Lynx,14,20,0.412,12,11-6,3-14,9-13,65.0,67.3,-2.3,L4,3-7
12,San Antonio Silver Stars,7,27,0.206,19,5-12,2-15,3-19,62.9,70.6,-7.7,L9,1-9
13,Charlotte Sting,6,28,0.176,20,5-12,1-16,4-16,61.6,68.7,-7.1,L1,3-7
