Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Seattle Storm,28,6,0.824,-,17-0,11-6,20-2,81.8,73.9,7.9,W3,6-4
2,Washington Mystics,22,12,0.647,6,13-4,9-8,13-9,76.9,73.3,3.6,W6,8-2
3,New York Liberty,22,12,0.647,6,13-4,9-8,14-8,79.2,76.0,3.2,W1,9-1
4,Indiana Fever,21,13,0.618,7,12-5,9-8,13-9,78.3,74.1,4.2,L3,5-5
5,Atlanta Dream,19,15,0.559,9,10-7,9-8,10-12,85.4,83.1,2.3,L2,4-6
6,Connecticut Sun,17,17,0.5,11,12-5,5-12,9-13,81.0,79.9,1.1,L1,4-6
7,Phoenix Mercury,15,19,0.441,13,9-8,6-11,13-9,93.9,93.8,0.1,L2,4-6
8,San Antonio Silver Stars,14,20,0.412,14,8-9,6-11,11-11,76.8,80.1,-3.3,W2,5-5
9,Chicago Sky,14,20,0.412,14,7-10,7-10,7-15,76.1,76.8,-0.7,L2,2-8
10,Los Angeles Sparks,13,21,0.382,15,8-9,5-12,10-12,77.9,81.2,-3.3,L1,5-5
11,Minnesota Lynx,13,21,0.382,15,7-10,6-11,8-14,78.7,82.1,-3.4,W1,5-5
12,Tulsa Shock,6,28,0.176,22,4-13,2-15,4-18,78.0,89.8,-11.8,W1,2-8
