Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Minnesota Lynx,26,8,0.765,-,15-2,11-6,26-8,82.9,73.5,9.4,W1,8-2
2,Chicago Sky,24,10,0.706,2,14-3,10-7,24-10,79.4,73.6,5.8,L1,8-2
3,Los Angeles Sparks,24,10,0.706,2,15-2,9-8,24-10,82.0,75.0,7.0,W3,7-3
4,Phoenix Mercury,19,15,0.559,7,10-7,9-8,19-15,79.7,80.3,-0.6,L1,6-4
5,Atlanta Dream,17,17,0.5,9,13-4,4-13,17-17,76.9,75.4,1.5,L4,3-7
6,Washington Mystics,17,17,0.5,9,10-7,7-10,17-17,75.5,75.4,0.1,W3,6-4
7,Seattle Storm,17,17,0.5,9,9-8,8-9,17-17,70.9,73.3,-2.4,W2,6-4
8,Indiana Fever,16,18,0.471,10,9-8,7-10,16-18,70.8,70.5,0.3,L1,5-5
9,San Antonio Silver Stars,12,22,0.353,14,8-9,4-13,12-22,72.1,77.9,-5.8,W1,3-7
10,New York Liberty,11,23,0.324,15,6-11,5-12,11-23,69.6,77.0,-7.4,L7,1-9
11,Tulsa Shock,11,23,0.324,15,7-10,4-13,11-23,77.0,79.2,-2.2,L2,4-6
12,Connecticut Sun,10,24,0.294,16,8-9,2-15,10-24,71.0,76.9,-5.9,W1,3-7
