Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,San Antonio Silver Stars,24,10,0.706,-,15-2,9-8,10-10,74.9,71.1,3.8,W5,8-2
2,Detroit Shock,22,12,0.647,2,14-3,8-9,16-4,78.6,74.2,4.4,W5,6-4
3,Seattle Storm,22,12,0.647,2,16-1,6-11,13-7,73.3,70.8,2.5,L1,6-4
4,Connecticut Sun,21,13,0.618,3,13-4,8-9,13-7,79.1,74.7,4.4,W1,7-3
5,Los Angeles Sparks,20,14,0.588,4,12-5,8-9,12-8,76.4,74.2,2.2,W1,6-4
6,New York Liberty,19,15,0.559,5,11-6,8-9,11-9,75.7,74.6,1.1,L1,5-5
7,Sacramento Monarchs,18,16,0.529,6,13-4,5-12,9-11,74.9,75.6,-0.7,L3,5-5
8,Indiana Fever,17,17,0.5,7,11-6,6-11,12-8,72.7,72.3,0.4,W2,6-4
9,Houston Comets,17,17,0.5,7,13-4,4-13,10-10,75.3,76.6,-1.3,W4,5-5
10,Phoenix Mercury,16,18,0.471,8,10-7,6-11,8-12,88.5,88.5,0.0,L1,5-5
11,Minnesota Lynx,16,18,0.471,8,9-8,7-10,8-12,81.4,80.0,1.4,W1,4-6
12,Chicago Sky,12,22,0.353,12,8-9,4-13,10-10,72.7,73.8,-1.1,L2,4-6
13,Washington Mystics,10,24,0.294,14,6-11,4-13,6-14,69.6,76.5,-6.9,L9,1-9
14,Atlanta Dream,4,30,0.118,20,1-16,3-14,2-18,74.5,84.7,-10.2,L1,1-9
