Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Minnesota Lynx,27,7,0.794,-,14-3,13-4,18-4,81.5,73.6,7.9,W3,9-1
2,Indiana Fever,21,13,0.618,6,13-4,8-9,13-9,77.7,73.8,3.9,L2,4-6
3,Seattle Storm,21,13,0.618,6,15-2,6-11,15-7,71.6,69.9,1.7,W4,8-2
4,Connecticut Sun,21,13,0.618,6,15-2,6-11,14-8,80.1,76.8,3.3,W1,5-5
5,Atlanta Dream,20,14,0.588,7,11-6,9-8,14-8,82.5,80.8,1.7,W4,8-2
6,Phoenix Mercury,19,15,0.559,8,11-6,8-9,11-11,89.0,86.0,3.0,L2,5-5
7,New York Liberty,19,15,0.559,8,12-5,7-10,11-11,76.0,74.8,1.2,L1,6-4
8,San Antonio Silver Stars,18,16,0.529,9,9-8,9-8,11-11,77.6,75.5,2.1,W3,5-5
9,Los Angeles Sparks,15,19,0.441,12,10-7,5-12,10-12,77.1,80.3,-3.2,W2,5-5
10,Chicago Sky,14,20,0.412,13,10-7,4-13,10-12,74.2,75.2,-1.0,L5,4-6
11,Washington Mystics,6,28,0.176,21,4-13,2-15,4-18,70.8,78.8,-8.0,L4,1-9
12,Tulsa Shock,3,31,0.088,24,2-15,1-16,1-21,69.2,82.1,-12.9,L6,2-8
