Rank,Team,W,L,PCT,GB,HOME,AWAY,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Phoenix Mercury,29,5,0.853,-,16-1,13-4,29-5,83.5,74.1,9.4,W2,8-2
2,Minnesota Lynx,25,9,0.735,4,15-2,10-7,25-9,81.6,77.2,4.4,W1,7-3
3,Atlanta Dream,19,15,0.559,10,13-4,6-11,19-15,80.6,78.5,2.1,L1,4-6
4,Indiana Fever,16,18,0.471,13,7-10,9-8,16-18,74.1,75.1,-1.0,L1,5-5
5,Washington Mystics,16,18,0.471,13,8-9,8-9,16-18,74.3,73.8,0.5,L1,5-5
6,San Antonio Stars,16,18,0.471,13,8-9,8-9,16-18,77.8,79.6,-1.8,W3,4-6
7,Los Angeles Sparks,16,18,0.471,13,7-10,9-8,16-18,77.4,77.6,-0.2,L1,6-4
8,Chicago Sky,15,19,0.441,14,9-8,6-11,15-19,76.2,78.2,-2.0,L2,5-5
9,New York Liberty,15,19,0.441,14,10-7,5-12,15-19,72.1,75.2,-3.1,W2,5-5
10,Connecticut Sun,13,21,0.382,16,9-8,4-13,13-21,75.7,77.5,-1.8,W1,3-7
11,Tulsa Shock,12,22,0.353,17,8-9,4-13,12-22,81.2,83.3,-2.1,L3,4-6
12,Seattle Storm,12,22,0.353,17,8-9,4-13,12-22,70.9,75.3,-4.4,L2,3-7
