Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexander Kerfoot,UTAH,C,82,7,22,29,4.0,89,17:41,1,2,150,4.7,,,,,,0,0,0.0
Barrett Hayton,UTAH,C,77,15,38,53,-8.0,32,25:07,3,20,132,11.4,,,,,,0,0,0.0
Dakota Mermis D *,UTAH,,28,0,2,2,1.0,50,9:17,0,0,34,0.0,,,,,,0,0,0.0
Dylan Guenther,UTAH,RW,82,20,43,63,-15.0,14,18:35,9,16,186,10.8,,,,,,5,1,20.0
Ian Cole,UTAH,D,70,2,16,18,7.0,16,19:55,0,0,70,2.9,,,,,,0,0,0.0
Jack McBain,UTAH,C,82,14,14,28,-6.0,40,14:21,0,0,102,13.7,,,,,,0,0,0.0
John Marino,UTAH,D,82,1,16,17,-2.0,77,20:16,0,0,66,1.5,,,,,,0,0,0.0
Josh Doan,UTAH,RW,53,7,12,19,-7.0,36,11:25,0,2,75,9.3,,,,,,0,0,0.0
Juuso Valimaki,UTAH,D,20,1,5,6,4.0,0,15:34,0,0,24,4.2,,,,,,0,0,0.0
Kailer Yamamoto,UTAH,RW,23,2,3,5,-7.0,2,12:20,0,0,12,16.7,,,,,,0,0,0.0
Kevin Stenlund,UTAH,C,81,11,17,28,-5.0,14,15:15,0,1,101,10.9,,,,,,0,0,0.0
Lawson Crouse,UTAH,LW,55,8,10,18,-13.0,8,13:43,0,3,86,9.3,,,,,,0,0,0.0
Liam O'Brien,UTAH,C,17,0,2,2,-2.0,22,10:57,0,0,8,0.0,,,,,,0,0,0.0
Logan Cooley,UTAH,C,81,30,60,90,-12.0,28,19:07,10,27,218,13.8,,,,,,5,1,20.0
Matias Maccelli,UTAH,LW,51,7,12,19,-2.0,8,13:31,3,1,88,8.0,,,,,,0,0,0.0
Maveric Lamoureux,UTAH,D,12,2,1,3,-1.0,2,12:06,1,1,13,15.4,,,,,,0,0,0.0
Michael Carcone,UTAH,LW,66,8,11,19,-2.0,16,12:18,1,0,115,7.0,,,,,,2,0,0.0
Michael Kesselring,UTAH,D,82,20,26,46,-6.0,45,16:06,7,8,155,12.9,,,,,,0,0,0.0
Mikhail Sergachev,UTAH,D,70,27,33,60,-4.0,26,16:59,12,17,204,13.2,,,,,,1,0,0.0
Nick Bjugstad,UTAH,C,82,13,14,27,8.0,78,13:34,1,2,90,14.4,,,,,,0,0,0.0
Nick DeSimone,UTAH,D,30,4,7,11,4.0,19,20:38,1,1,39,10.3,,,,,,0,0,0.0
Nick Schmaltz,UTAH,C,75,25,40,65,1.0,46,17:51,7,13,158,15.8,,,,,,1,0,0.0
Olli Maatta D *,UTAH,,81,12,6,18,-4.0,39,13:43,1,0,126,9.5,,,,,,0,0,0.0
Robert Bortuzzo,UTAH,D,15,1,2,3,3.0,42,16:07,0,0,17,5.9,,,,,,0,0,0.0
Sean Durzi,UTAH,D,35,1,13,14,1.0,2,21:10,0,0,30,3.3,,,,,,0,0,0.0
Total,UTAH,,1,0,0,0,-2.0,2,10:47,0,0,2,0.0,,,,,,0,0,0.0
Vladislav Kolyachonok D *,UTAH,,43,2,3,5,-5.0,14,16:33,0,0,40,5.0,,,,,,0,0,0.0
