Name,Team,P,GP,G,A,PTS,PIM,PPG,PPA,SHG,LB,TO,CTO,BLK,SOG,FO,FO%
Al Jones,Syracuse Smash,,11,4,5,9,35,0,0,0,57,0,0,0,0,1/5,20%
Barry Thornton,Syracuse Smash,,3,0,0,0,6,0,0,0,7,0,0,0,0,0/0,-
Bob Nelson,Syracuse Smash,G,1,0,0,0,0,0,0,0,2,0,0,0,0,0/0,-
Bruce Alexander,Syracuse Smash,,10,4,12,16,2,0,0,0,23,0,0,0,0,0/0,-
Charlie Lockwood,Syracuse Smash,,5,5,12,17,4,0,0,0,25,0,0,0,0,0/0,-
Chris Prat,Syracuse Smash,,8,14,9,23,10,0,0,0,42,0,0,0,0,1/1,100%
Del Halladay,Syracuse Smash,,12,18,23,41,11,0,0,0,70,0,0,0,0,0/0,-
Derek Collins,Syracuse Smash,G,12,0,12,12,2,0,0,0,66,0,0,0,0,0/0,-
Derek Graham,Syracuse Smash,,3,0,1,1,8,0,0,0,9,0,0,0,0,5/11,45%
Ed Fay,Syracuse Smash,,11,14,17,31,4,0,0,0,96,0,0,0,0,0/2,-
Ed Shanendoah,Syracuse Smash,,3,1,2,3,10,0,0,0,7,0,0,0,0,5/10,50%
Eric Seremet,Syracuse Smash,,8,4,10,14,2,0,0,0,16,0,0,0,0,0/0,-
James Archer,Syracuse Smash,,2,1,0,1,0,0,0,0,3,0,0,0,0,0/0,-
Jeff Klodzen,Syracuse Smash,,10,14,20,34,2,0,0,0,38,0,0,0,0,0/0,-
Jim Morrissey,Syracuse Smash,,6,2,11,13,2,0,0,0,24,0,0,0,0,0/0,-
Jim Rankin,Syracuse Smash,G,11,0,3,3,2,0,0,0,22,0,0,0,0,0/0,-
JJ Graham,Syracuse Smash,G,3,0,1,1,8,0,0,0,7,0,0,0,0,1/3,33%
Kariwate Mitchell,Syracuse Smash,,2,1,2,3,0,0,0,0,0,0,0,0,0,0/0,-
Mark Millon,Syracuse Smash,,13,27,28,55,28,0,0,0,34,0,0,0,0,0/0,-
Mike Accursi,Syracuse Smash,,11,8,11,19,0,0,0,0,35,0,0,0,0,73/138,53%
Mike Benedict,Syracuse Smash,,11,16,16,32,2,0,0,0,43,0,0,0,0,0/0,-
Mike Schattner,Syracuse Smash,,6,0,1,1,2,0,0,0,12,0,0,0,0,0/0,-
Neal Powless,Syracuse Smash,,9,10,12,22,0,0,0,0,17,0,0,0,0,0/0,-
Owen Benedict,Syracuse Smash,,11,1,5,6,8,0,0,0,73,0,0,0,0,5/22,23%
Patrick Donahue,Syracuse Smash,,3,0,1,1,0,0,0,0,9,0,0,0,0,31/74,42%
Paul Gait,Syracuse Smash,,12,37,37,74,12,0,0,0,62,0,0,0,0,0/0,-
Steve Scaramuzzino,Syracuse Smash,,8,0,5,5,8,0,0,0,72,0,0,0,0,17/39,44%
Todd Oudemool,Syracuse Smash,,9,5,16,21,17,0,0,0,42,0,0,0,0,40/107,37%
Tony Millon,Syracuse Smash,,11,7,10,17,45,0,0,0,90,0,0,0,0,0/0,-
