Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Toronto Raptors,16,66,0.195,46,9-32,7-34,0-0,0-0,94.9,104.2,-9.3,L3,1-9
2,Eastern,2,Philadelphia 76ers,31,51,0.378,31,19-22,12-29,0-0,0-0,93.3,95.7,-2.4,W1,5-5
3,Eastern,3,Boston Celtics,36,46,0.439,26,24-17,12-29,0-0,0-0,95.9,98.5,-2.6,L1,5-5
4,Eastern,4,Milwaukee Bucks,36,46,0.439,26,21-20,15-26,0-0,0-0,94.5,96.4,-1.9,L2,5-5
5,Eastern,5,Detroit Pistons,37,45,0.451,25,25-16,12-29,0-0,0-0,94.2,92.6,1.6,L1,3-7
6,Eastern,6,Orlando Magic,41,41,0.5,21,24-17,17-24,0-0,0-0,90.1,91.2,-1.1,L1,4-6
7,Eastern,7,Washington Wizards,42,40,0.512,20,24-17,18-23,0-0,0-0,97.2,96.6,0.6,W4,6-4
8,Eastern,8,Chicago Bulls,62,20,0.756,-,37-4,25-16,0-0,0-0,96.7,89.6,7.1,W2,7-3
9,Eastern,9,Miami Heat,55,27,0.671,7,30-11,25-16,0-0,0-0,95.0,90.0,5.0,L3,4-6
10,Eastern,10,Indiana Pacers,58,24,0.707,4,32-9,26-15,0-0,0-0,96.0,89.9,6.1,L1,8-2
11,Eastern,11,Charlotte Hornets,51,31,0.622,11,32-9,19-22,0-0,0-0,96.6,94.6,2.0,W1,5-5
12,Eastern,12,Atlanta Hawks,50,32,0.61,12,29-12,21-20,0-0,0-0,95.9,92.3,3.6,W2,7-3
13,Eastern,13,Cleveland Cavaliers,47,35,0.573,15,27-14,20-21,0-0,0-0,92.5,89.8,2.7,W1,6-4
14,Eastern,14,New York Knicks,43,39,0.524,19,28-13,15-26,0-0,0-0,91.6,89.1,2.5,L1,3-7
15,Eastern,15,New Jersey Nets,43,39,0.524,19,26-15,17-24,0-0,0-0,99.6,98.1,1.5,W1,6-4
16,Western,1,Denver Nuggets,11,72,0.133,51.5,9-32,2-40,0-0,0-0,89.0,100.7,-11.7,L1,2-8
17,Western,2,LA Clippers,17,65,0.207,45,11-30,6-35,0-0,0-0,95.9,103.3,-7.4,W1,1-9
18,Western,3,Golden State Warriors,19,63,0.232,43,12-29,7-34,0-0,0-0,88.3,97.4,-9.1,W3,4-6
19,Western,4,Vancouver Grizzlies,19,63,0.232,43,14-27,5-36,0-0,0-0,96.6,103.9,-7.3,W1,3-7
20,Western,5,Dallas Mavericks,20,62,0.244,42,13-28,7-34,0-0,0-0,91.4,97.5,-6.1,L3,2-8
21,Western,6,Sacramento Kings,27,55,0.329,35,21-20,6-35,0-0,0-0,93.1,98.7,-5.6,L7,1-9
22,Western,7,Utah Jazz,62,20,0.756,-,36-5,26-15,0-0,0-0,101.0,94.4,6.6,L1,8-2
23,Western,8,Seattle SuperSonics,61,21,0.744,1,35-6,26-15,0-0,0-0,100.6,93.4,7.2,W1,7-3
24,Western,9,Los Angeles Lakers,61,21,0.744,1,33-8,28-13,0-0,0-0,105.5,97.8,7.7,W5,9-1
25,Western,10,Phoenix Suns,56,26,0.683,6,30-11,26-15,0-0,0-0,99.6,94.4,5.2,W1,9-1
26,Western,11,San Antonio Spurs,56,26,0.683,6,31-10,25-16,0-0,0-0,92.5,88.5,4.0,W3,7-3
27,Western,12,Portland Trail Blazers,46,36,0.561,16,26-15,20-21,0-0,0-0,94.3,92.9,1.4,L2,6-4
28,Western,13,Minnesota Timberwolves,45,37,0.549,17,26-15,19-22,0-0,0-0,101.1,100.4,0.7,W2,7-3
29,Western,14,Houston Rockets,41,41,0.5,21,24-17,17-24,0-0,0-0,98.8,99.5,-0.7,L2,4-6
