Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Cleveland Cavaliers,57,25,0.695,-,33-8,24-17,8-8,35-17,104.3,98.3,6.0,L1,6-4
2,Eastern,2,Toronto Raptors,56,26,0.683,1,32-9,24-17,14-2,39-13,102.7,98.2,4.5,W4,7-3
3,Eastern,3,Miami Heat,48,34,0.585,9,28-13,20-21,10-6,31-21,100.0,98.4,1.6,L1,6-4
4,Eastern,4,Atlanta Hawks,48,34,0.585,9,27-14,21-20,8-8,29-23,102.8,99.2,3.6,L2,6-4
5,Eastern,5,Boston Celtics,48,34,0.585,9,28-13,20-21,10-6,31-21,105.7,102.5,3.2,W1,6-4
6,Eastern,6,Charlotte Hornets,48,34,0.585,9,30-11,18-23,8-8,33-19,103.4,100.7,2.7,W2,7-3
7,Eastern,7,Indiana Pacers,45,37,0.549,12,26-15,19-22,8-8,30-22,102.2,100.5,1.7,W3,7-3
8,Eastern,8,Detroit Pistons,44,38,0.537,13,26-15,18-23,10-6,29-23,102.0,101.4,0.6,W1,6-4
9,Eastern,9,Chicago Bulls,42,40,0.512,15,26-15,16-25,10-6,25-27,101.6,103.1,-1.5,W3,6-4
10,Eastern,10,Washington Wizards,41,41,0.5,16,22-19,19-22,10-6,30-22,104.1,104.6,-0.5,W3,6-4
11,Eastern,11,Orlando Magic,35,47,0.427,22,23-18,12-29,4-12,21-31,102.1,103.7,-1.6,L1,6-4
12,Eastern,12,Milwaukee Bucks,33,49,0.402,24,23-18,10-31,4-12,21-31,99.0,103.2,-4.2,L2,3-7
13,Eastern,13,New York Knicks,32,50,0.39,25,18-23,14-27,8-8,21-31,98.4,101.1,-2.7,L2,3-7
14,Eastern,14,Brooklyn Nets,21,61,0.256,36,14-27,7-34,6-10,12-40,98.6,106.0,-7.4,L10,0-10
15,Eastern,15,Philadelphia 76ers,10,72,0.122,47,7-34,3-38,2-14,3-49,97.4,107.6,-10.2,L4,1-9
16,Western,1,Golden State Warriors,73,9,0.89,-,39-2,34-7,15-1,46-6,114.9,104.1,10.8,W4,8-2
17,Western,2,San Antonio Spurs,67,15,0.817,6,40-1,27-14,14-2,43-9,103.5,92.9,10.6,W2,6-4
18,Western,3,Oklahoma City Thunder,55,27,0.671,18,32-9,23-18,13-3,37-15,110.2,102.9,7.3,L1,5-5
19,Western,4,LA Clippers,53,29,0.646,20,29-12,24-17,9-7,31-21,104.5,100.2,4.3,L1,8-2
20,Western,5,Portland Trail Blazers,44,38,0.537,29,28-13,16-25,11-5,29-23,105.1,104.3,0.8,W1,7-3
21,Western,6,Dallas Mavericks,42,40,0.512,31,23-18,19-22,7-9,27-25,102.3,102.6,-0.3,L1,7-3
22,Western,7,Memphis Grizzlies,42,40,0.512,31,26-15,16-25,7-9,25-27,99.1,101.3,-2.2,L4,1-9
23,Western,8,Houston Rockets,41,41,0.5,32,23-18,18-23,8-8,28-24,106.5,106.4,0.1,W3,6-4
24,Western,9,Utah Jazz,40,42,0.488,33,24-17,16-25,8-8,24-28,97.7,95.9,1.8,L2,5-5
25,Western,10,Sacramento Kings,33,49,0.402,40,18-23,15-26,8-8,19-33,106.6,109.1,-2.5,L1,5-5
26,Western,11,Denver Nuggets,33,49,0.402,40,18-23,15-26,4-12,18-34,101.9,105.0,-3.1,L2,3-7
27,Western,12,New Orleans Pelicans,30,52,0.366,43,21-20,9-32,4-12,20-32,102.7,106.5,-3.8,L3,4-6
28,Western,13,Minnesota Timberwolves,29,53,0.354,44,14-27,15-26,4-12,18-34,102.4,106.0,-3.6,W1,5-5
29,Western,14,Phoenix Suns,23,59,0.28,50,14-27,9-32,6-10,17-35,100.9,107.5,-6.6,W1,3-7
30,Western,15,Los Angeles Lakers,17,65,0.207,56,12-29,5-36,2-14,8-44,97.3,106.9,-9.6,W1,2-8
