Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Boston Celtics,53,29,0.646,-,30-11,23-18,11-5,36-16,108.0,105.4,2.6,W3,7-3
2,Eastern,2,Cleveland Cavaliers,51,31,0.622,2,31-10,20-21,8-8,35-17,110.3,107.2,3.1,L4,4-6
3,Eastern,3,Toronto Raptors,51,31,0.622,2,28-13,23-18,14-2,34-18,106.9,102.6,4.3,W4,8-2
4,Eastern,4,Washington Wizards,49,33,0.598,4,30-11,19-22,8-8,32-20,109.2,107.4,1.8,L1,5-5
5,Eastern,5,Atlanta Hawks,43,39,0.524,10,23-18,20-21,6-10,30-22,103.2,104.0,-0.8,L1,6-4
6,Eastern,6,Milwaukee Bucks,42,40,0.512,11,23-18,19-22,10-6,27-25,103.6,103.8,-0.2,L1,5-5
7,Eastern,7,Indiana Pacers,42,40,0.512,11,29-12,13-28,8-8,26-26,105.1,105.3,-0.2,W5,6-4
8,Eastern,8,Chicago Bulls,41,41,0.5,12,25-16,16-25,9-7,28-24,102.9,102.4,0.5,W2,7-3
9,Eastern,9,Miami Heat,41,41,0.5,12,23-18,18-23,9-7,27-25,103.2,102.1,1.1,W3,6-4
10,Eastern,10,Detroit Pistons,37,45,0.451,16,24-17,13-28,5-11,21-31,101.3,102.5,-1.2,L2,3-7
11,Eastern,11,Charlotte Hornets,36,46,0.439,17,22-19,14-27,10-6,22-30,104.9,104.7,0.2,L5,4-6
12,Eastern,12,New York Knicks,31,51,0.378,22,19-22,12-29,5-11,22-30,104.3,108.0,-3.7,W1,4-6
13,Eastern,13,Orlando Magic,29,53,0.354,24,16-25,13-28,7-9,20-32,101.1,107.6,-6.5,W1,3-7
14,Eastern,14,Philadelphia 76ers,28,54,0.341,25,17-24,11-30,7-9,19-33,102.4,108.1,-5.7,L8,1-9
15,Eastern,15,Brooklyn Nets,20,62,0.244,33,13-28,7-34,3-13,11-41,105.8,112.5,-6.7,L2,5-5
16,Western,1,Golden State Warriors,67,15,0.817,-,36-5,31-10,14-2,42-10,115.9,104.3,11.6,W1,9-1
17,Western,2,San Antonio Spurs,61,21,0.744,6,31-10,30-11,11-5,36-16,105.3,98.1,7.2,L3,5-5
18,Western,3,Houston Rockets,55,27,0.671,12,30-11,25-16,10-6,36-16,115.3,109.6,5.7,W1,5-5
19,Western,4,LA Clippers,51,31,0.622,16,29-12,22-19,10-6,31-21,108.7,104.4,4.3,W7,8-2
20,Western,5,Utah Jazz,51,31,0.622,16,29-12,22-19,8-8,31-21,100.7,96.8,3.9,W2,7-3
21,Western,6,Oklahoma City Thunder,47,35,0.573,20,28-13,19-22,10-6,29-23,106.6,105.8,0.8,L1,6-4
22,Western,7,Memphis Grizzlies,43,39,0.524,24,24-17,19-22,8-8,28-24,100.5,100.0,0.5,L2,3-7
23,Western,8,Portland Trail Blazers,41,41,0.5,26,25-16,16-25,11-5,28-24,107.9,108.5,-0.6,L1,7-3
24,Western,9,Denver Nuggets,40,42,0.488,27,22-19,18-23,6-10,24-28,111.7,111.2,0.5,W2,5-5
25,Western,10,New Orleans Pelicans,34,48,0.415,33,21-20,13-28,6-10,20-32,104.3,106.4,-2.1,W1,4-6
26,Western,11,Dallas Mavericks,33,49,0.402,34,21-20,12-29,5-11,19-33,97.9,100.8,-2.9,W1,2-8
27,Western,12,Sacramento Kings,32,50,0.39,35,17-24,15-26,7-9,21-31,102.8,106.7,-3.9,L1,5-5
28,Western,13,Minnesota Timberwolves,31,51,0.378,36,20-21,11-30,5-11,18-34,105.6,106.7,-1.1,L6,3-7
29,Western,14,Los Angeles Lakers,26,56,0.317,41,17-24,9-32,6-10,16-36,104.6,111.5,-6.9,L1,5-5
30,Western,15,Phoenix Suns,24,58,0.293,43,15-26,9-32,3-13,11-41,107.7,113.3,-5.6,L1,2-8
