Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Milwaukee Bucks,56,17,0.767,-,30-5,26-12,13-1,37-7,118.7,108.6,10.1,L1,3-7
2,Eastern,2,Toronto Raptors,53,19,0.736,2.5,26-10,27-9,9-5,34-11,112.8,106.5,6.3,W4,9-1
3,Eastern,3,Boston Celtics,48,24,0.667,7.5,26-10,22-14,9-6,30-13,113.7,107.3,6.4,L1,6-4
4,Eastern,4,Indiana Pacers,45,28,0.616,11,25-11,20-17,8-7,28-19,109.4,107.5,1.9,W2,7-3
5,Eastern,5,Miami Heat,44,29,0.603,12,29-7,15-22,10-4,30-13,112.0,109.1,2.9,L2,4-6
6,Eastern,6,Philadelphia 76ers,43,30,0.589,13,31-4,12-26,11-5,28-18,110.7,108.4,2.3,W1,5-5
7,Eastern,7,Brooklyn Nets,35,37,0.486,20.5,20-16,15-21,6-10,23-23,111.8,112.4,-0.6,L1,7-3
8,Eastern,8,Orlando Magic,33,40,0.452,23,18-17,15-23,9-5,20-23,107.3,108.3,-1.0,W1,5-5
9,Eastern,9,Charlotte Hornets,23,42,0.354,29,10-21,13-21,2-7,16-24,102.9,109.6,-6.7,W1,4-6
10,Eastern,10,Washington Wizards,25,47,0.347,30.5,16-20,9-27,5-9,18-27,114.4,119.1,-4.7,W1,2-8
11,Eastern,11,Chicago Bulls,22,43,0.338,30,14-20,8-23,7-9,15-28,106.8,109.9,-3.1,W1,3-7
12,Eastern,12,New York Knicks,21,45,0.318,31.5,11-22,10-23,2-11,15-28,105.8,112.3,-6.5,W1,4-6
13,Eastern,13,Detroit Pistons,20,46,0.303,32.5,11-22,9-24,5-10,12-31,107.2,110.8,-3.6,L5,1-9
14,Eastern,14,Atlanta Hawks,20,47,0.299,33,14-20,6-27,6-7,11-32,111.8,119.7,-7.9,L1,4-6
15,Eastern,15,Cleveland Cavaliers,19,46,0.292,33,11-25,8-21,4-10,12-32,106.9,114.8,-7.9,L1,4-6
16,Western,1,Los Angeles Lakers,52,19,0.732,-,25-10,27-9,10-3,36-10,113.4,107.6,5.8,L1,4-6
17,Western,2,LA Clippers,49,23,0.681,3.5,27-9,22-14,8-6,32-16,116.3,109.9,6.4,W2,6-4
18,Western,3,Denver Nuggets,46,27,0.63,7,26-11,20-16,12-2,29-16,111.3,109.2,2.1,L3,4-6
19,Western,4,Houston Rockets,44,28,0.611,8.5,24-12,20-16,8-5,28-19,117.8,114.8,3.0,L3,5-5
20,Western,5,Oklahoma City Thunder,44,28,0.611,8.5,23-14,21-14,8-5,27-19,110.4,108.4,2.0,L1,6-4
21,Western,6,Utah Jazz,44,28,0.611,8.5,23-12,21-16,5-7,24-21,111.3,108.8,2.5,W1,4-6
22,Western,7,Dallas Mavericks,43,32,0.573,11,20-18,23-14,10-4,27-20,117.0,112.1,4.9,L2,4-6
23,Western,8,Portland Trail Blazers,35,39,0.473,18.5,21-15,14-24,5-8,20-27,115.0,116.1,-1.1,W3,7-3
24,Western,9,Memphis Grizzlies,34,39,0.466,19,20-17,14-22,4-9,20-26,112.6,113.7,-1.1,W1,3-7
25,Western,10,Phoenix Suns,34,39,0.466,19,17-22,17-17,6-9,19-27,113.6,113.4,0.2,W8,9-1
26,Western,11,San Antonio Spurs,32,39,0.451,20,19-15,13-24,7-6,20-23,114.1,115.2,-1.1,L1,6-4
27,Western,12,Sacramento Kings,31,41,0.431,21.5,16-19,15-22,8-5,23-23,110.1,112.1,-2.0,W2,4-6
28,Western,13,New Orleans Pelicans,30,42,0.417,22.5,15-21,15-21,4-9,18-30,115.8,117.1,-1.3,L3,4-6
29,Western,14,Minnesota Timberwolves,19,45,0.297,29.5,8-24,11-21,2-10,9-30,113.3,117.5,-4.2,L3,3-7
30,Western,15,Golden State Warriors,15,50,0.231,34,8-26,7-24,2-11,9-34,106.3,115.0,-8.7,L1,3-7
