Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Atlanta Hawks,60,22,0.732,-,35-6,25-16,12-4,38-14,102.5,97.1,5.4,L3,5-5
2,Eastern,2,Cleveland Cavaliers,53,29,0.646,7,31-10,22-19,11-5,35-17,103.1,98.7,4.4,W2,7-3
3,Eastern,3,Chicago Bulls,50,32,0.61,10,27-14,23-18,8-8,33-19,100.8,97.8,3.0,W4,7-3
4,Eastern,4,Toronto Raptors,49,33,0.598,11,27-14,22-19,11-5,33-19,104.0,100.9,3.1,W1,7-3
5,Eastern,5,Washington Wizards,46,36,0.561,14,29-12,17-24,10-6,30-22,98.5,97.8,0.7,L2,6-4
6,Eastern,6,Milwaukee Bucks,41,41,0.5,19,23-18,18-23,7-9,30-22,97.8,97.4,0.4,L1,5-5
7,Eastern,7,Boston Celtics,40,42,0.488,20,21-20,19-22,12-4,28-24,101.4,101.2,0.2,W6,8-2
8,Eastern,8,Brooklyn Nets,38,44,0.463,22,19-22,19-22,10-6,24-28,98.0,100.9,-2.9,W1,6-4
9,Eastern,9,Indiana Pacers,38,44,0.463,22,23-18,15-26,8-8,28-24,97.3,97.0,0.3,L1,7-3
10,Eastern,10,Miami Heat,37,45,0.451,23,20-21,17-24,6-10,25-27,94.7,97.3,-2.6,W2,4-6
11,Eastern,11,Charlotte Hornets,33,49,0.402,27,19-22,14-27,8-8,25-27,94.2,97.3,-3.1,L6,2-8
12,Eastern,12,Detroit Pistons,32,50,0.39,28,18-23,14-27,6-10,23-29,98.5,99.5,-1.0,W1,4-6
13,Eastern,13,Orlando Magic,25,57,0.305,35,13-28,12-29,4-12,15-37,95.7,101.4,-5.7,L4,3-7
14,Eastern,14,Philadelphia 76ers,18,64,0.22,42,12-29,6-35,2-14,12-40,92.0,101.0,-9.0,L10,0-10
15,Eastern,15,New York Knicks,17,65,0.207,43,10-31,7-34,5-11,11-41,91.9,101.2,-9.3,L1,3-7
16,Western,1,Golden State Warriors,67,15,0.817,-,39-2,28-13,13-3,42-10,110.0,99.9,10.1,W4,8-2
17,Western,2,Houston Rockets,56,26,0.683,11,30-11,26-15,8-8,33-19,103.9,100.5,3.4,W3,7-3
18,Western,3,LA Clippers,56,26,0.683,11,30-11,26-15,12-4,37-15,106.7,100.1,6.6,W7,9-1
19,Western,4,Portland Trail Blazers,51,31,0.622,16,32-9,19-22,11-5,31-21,102.8,98.6,4.2,L4,4-6
20,Western,5,Memphis Grizzlies,55,27,0.671,12,31-10,24-17,9-7,35-17,98.3,95.1,3.2,W1,5-5
21,Western,6,San Antonio Spurs,55,27,0.671,12,33-8,22-19,8-8,32-20,103.2,97.0,6.2,L1,9-1
22,Western,7,Dallas Mavericks,50,32,0.61,17,27-14,23-18,7-9,29-23,105.2,102.3,2.9,W1,5-5
23,Western,8,New Orleans Pelicans,45,37,0.549,22,28-13,17-24,8-8,29-23,99.4,98.6,0.8,W2,7-3
24,Western,9,Oklahoma City Thunder,45,37,0.549,22,29-12,16-25,10-6,25-27,104.0,101.8,2.2,W2,4-6
25,Western,10,Phoenix Suns,39,43,0.476,28,22-19,17-24,6-10,21-31,102.4,103.3,-0.9,L5,1-9
26,Western,11,Utah Jazz,38,44,0.463,29,21-20,17-24,9-7,23-29,95.1,94.9,0.2,L1,7-3
27,Western,12,Denver Nuggets,30,52,0.366,37,19-22,11-30,6-10,19-33,101.5,105.0,-3.5,L2,3-7
28,Western,13,Sacramento Kings,29,53,0.354,38,18-23,11-30,7-9,18-34,101.3,105.0,-3.7,W2,3-7
29,Western,14,Los Angeles Lakers,21,61,0.256,46,12-29,9-32,2-14,9-43,98.5,105.3,-6.8,L3,2-8
30,Western,15,Minnesota Timberwolves,16,66,0.195,51,9-32,7-34,4-12,7-45,97.8,106.5,-8.7,L12,0-10
