Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Indiana Pacers,61,21,0.744,-,34-7,27-14,20-8,41-13,91.4,85.6,5.8,W5,8-2
2,Eastern,2,New Jersey Nets,47,35,0.573,14,28-13,19-22,18-7,34-20,90.3,87.8,2.5,L2,5-5
3,Eastern,3,Detroit Pistons,54,28,0.659,7,31-10,23-18,17-11,37-17,90.1,84.3,5.8,L1,8-2
4,Eastern,4,Miami Heat,42,40,0.512,19,29-12,13-28,15-10,30-24,90.3,89.7,0.6,W2,7-3
5,Eastern,5,New Orleans Pelicans,41,41,0.5,20,25-16,16-25,14-14,30-24,91.8,91.9,-0.1,W1,4-6
6,Eastern,6,Milwaukee Bucks,41,41,0.5,20,27-14,14-27,15-13,33-21,98.0,97.0,1.0,L3,5-5
7,Eastern,7,New York Knicks,39,43,0.476,22,23-18,16-25,17-7,31-23,92.0,93.5,-1.5,L1,6-4
8,Eastern,8,Boston Celtics,36,46,0.439,25,19-22,17-24,14-10,24-30,95.3,96.7,-1.4,W1,4-6
9,Eastern,9,Cleveland Cavaliers,35,47,0.427,26,23-18,12-29,14-14,29-25,92.9,95.5,-2.6,W3,3-7
10,Eastern,10,Toronto Raptors,33,49,0.402,28,18-23,15-26,11-17,22-32,85.4,88.5,-3.1,W2,3-7
11,Eastern,11,Philadelphia 76ers,33,49,0.402,28,21-20,12-29,10-14,23-31,88.0,90.5,-2.5,L4,3-7
12,Eastern,12,Atlanta Hawks,28,54,0.341,33,18-23,10-31,10-18,19-35,92.8,97.5,-4.7,L1,5-5
13,Eastern,13,Washington Wizards,25,57,0.305,36,17-24,8-33,3-21,16-38,91.8,97.4,-5.6,L3,2-8
14,Eastern,14,Chicago Bulls,23,59,0.28,38,14-27,9-32,11-17,19-35,89.7,96.0,-6.3,L2,3-7
15,Eastern,15,Orlando Magic,21,61,0.256,40,11-30,10-31,8-16,17-37,94.0,101.1,-7.1,W2,2-8
16,Western,1,Minnesota Timberwolves,58,24,0.707,-,31-10,27-14,14-10,34-18,94.5,89.1,5.4,W9,9-1
17,Western,2,Los Angeles Lakers,56,26,0.683,2,34-7,22-19,15-9,31-21,98.2,94.3,3.9,W2,7-3
18,Western,3,San Antonio Spurs,57,25,0.695,1,33-8,24-17,15-9,35-17,91.5,84.3,7.2,W11,10-0
19,Western,4,Sacramento Kings,55,27,0.671,3,34-7,21-20,16-8,31-21,102.8,97.8,5.0,L2,4-6
20,Western,5,Dallas Mavericks,52,30,0.634,6,36-5,16-25,14-10,33-19,105.2,100.8,4.4,W2,8-2
21,Western,6,Memphis Grizzlies,50,32,0.61,8,31-10,19-22,12-12,28-24,96.7,94.3,2.4,L4,4-6
22,Western,7,Houston Rockets,45,37,0.549,13,27-14,18-23,8-16,21-31,89.8,88.0,1.8,L1,3-7
23,Western,8,Denver Nuggets,43,39,0.524,15,29-12,14-27,11-13,29-23,97.2,96.1,1.1,L1,6-4
24,Western,9,Utah Jazz,42,40,0.512,16,28-13,14-27,10-14,25-27,88.7,89.9,-1.2,L2,5-5
25,Western,10,Portland Trail Blazers,41,41,0.5,17,25-16,16-25,13-11,22-30,90.7,92.0,-1.3,L4,4-6
26,Western,11,Golden State Warriors,37,45,0.451,21,27-14,10-31,12-12,23-29,93.3,94.0,-0.7,W1,5-5
27,Western,12,Seattle SuperSonics,37,45,0.451,21,21-20,16-25,11-13,22-30,97.1,97.8,-0.7,W1,3-7
28,Western,13,Phoenix Suns,29,53,0.354,29,18-23,11-30,9-15,16-36,94.2,97.9,-3.7,W1,5-5
29,Western,14,LA Clippers,28,54,0.341,30,18-23,10-31,8-16,14-38,94.8,99.4,-4.6,L1,1-9
