Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Boston Celtics,66,16,0.805,-,35-6,31-10,14-2,41-11,100.5,90.3,10.2,W4,9-1
2,Eastern,2,Detroit Pistons,59,23,0.72,7,34-7,25-16,11-5,37-15,97.5,90.1,7.4,W4,8-2
3,Eastern,3,Orlando Magic,52,30,0.634,14,25-16,27-14,12-4,38-14,104.5,99.0,5.5,W3,6-4
4,Eastern,4,Cleveland Cavaliers,45,37,0.549,21,27-14,18-23,7-9,28-24,96.4,96.7,-0.3,L1,5-5
5,Eastern,5,Washington Wizards,43,39,0.524,23,25-16,18-23,10-6,29-23,98.8,99.2,-0.4,L1,5-5
6,Eastern,6,Toronto Raptors,41,41,0.5,25,25-16,16-25,10-6,29-23,100.2,97.3,2.9,L1,4-6
7,Eastern,7,Philadelphia 76ers,40,42,0.488,26,22-19,18-23,7-9,25-27,96.6,96.2,0.4,L4,3-7
8,Eastern,8,Atlanta Hawks,37,45,0.451,29,25-16,12-29,9-7,24-28,98.2,100.0,-1.8,L3,5-5
9,Eastern,9,Indiana Pacers,36,46,0.439,30,21-20,15-26,5-11,24-28,104.0,105.4,-1.4,W1,7-3
10,Eastern,10,New Jersey Nets,34,48,0.415,32,21-20,13-28,4-12,26-26,95.8,100.9,-5.1,L1,3-7
11,Eastern,11,Chicago Bulls,33,49,0.402,33,20-21,13-28,11-5,24-28,97.3,100.4,-3.1,W2,5-5
12,Eastern,12,Charlotte Hornets,32,50,0.39,34,21-20,11-30,7-9,19-33,97.1,101.4,-4.3,W1,5-5
13,Eastern,13,Milwaukee Bucks,26,56,0.317,40,19-22,7-34,6-10,18-34,97.0,103.9,-6.9,L8,2-8
14,Eastern,14,New York Knicks,23,59,0.28,43,15-26,8-33,5-11,20-32,96.9,103.5,-6.6,L3,3-7
15,Eastern,15,Miami Heat,15,67,0.183,51,9-32,6-35,2-14,8-44,91.4,100.0,-8.6,W1,2-8
16,Western,1,Los Angeles Lakers,57,25,0.695,-,30-11,27-14,12-4,37-15,108.6,101.3,7.3,W4,8-2
17,Western,2,New Orleans Pelicans,56,26,0.683,1,30-11,26-15,10-6,34-18,100.9,95.6,5.3,L1,6-4
18,Western,3,San Antonio Spurs,56,26,0.683,1,34-7,22-19,10-6,33-19,95.4,90.6,4.8,W2,7-3
19,Western,4,Utah Jazz,54,28,0.659,3,37-4,17-24,10-6,33-19,106.2,99.3,6.9,L1,7-3
20,Western,5,Houston Rockets,55,27,0.671,2,31-10,24-17,8-8,33-19,96.7,92.0,4.7,W1,6-4
21,Western,6,Phoenix Suns,55,27,0.671,2,30-11,25-16,10-6,31-21,110.1,105.0,5.1,W2,7-3
22,Western,7,Dallas Mavericks,51,31,0.622,6,34-7,17-24,10-6,33-19,100.4,95.9,4.5,W1,6-4
23,Western,8,Denver Nuggets,50,32,0.61,7,33-8,17-24,10-6,31-21,110.7,107.0,3.7,W2,6-4
24,Western,9,Golden State Warriors,48,34,0.585,9,27-14,21-20,10-6,28-24,111.0,108.8,2.2,L2,4-6
25,Western,10,Portland Trail Blazers,41,41,0.5,16,28-13,13-28,11-5,26-26,95.4,96.3,-0.9,L1,3-7
26,Western,11,Sacramento Kings,38,44,0.463,19,26-15,12-29,3-13,21-31,102.5,104.8,-2.3,L2,6-4
27,Western,12,LA Clippers,23,59,0.28,34,13-28,10-31,5-11,13-39,93.8,101.1,-7.3,L7,2-8
28,Western,13,Minnesota Timberwolves,22,60,0.268,35,15-26,7-34,3-13,14-38,95.6,102.4,-6.8,W1,3-7
29,Western,14,Memphis Grizzlies,22,60,0.268,35,14-27,8-33,2-14,11-41,100.7,106.9,-6.2,L3,3-7
30,Western,15,Seattle SuperSonics,20,62,0.244,37,13-28,7-34,6-10,12-40,97.5,106.3,-8.8,W2,3-7
