Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Chicago Bulls,17,63,0.213,37.5,12-28,5-35,0-0,0-0,84.7,94.0,-9.3,L3,3-7
2,Eastern,2,Atlanta Hawks,27,53,0.338,27.5,20-20,7-33,0-0,0-0,94.2,99.5,-5.2,W1,1-9
3,Eastern,3,Washington Wizards,29,51,0.363,25.5,17-23,12-28,0-0,0-0,96.7,99.6,-2.9,L1,5-5
4,Eastern,4,Cleveland Cavaliers,31,49,0.388,23.5,22-18,9-31,0-0,0-0,96.9,100.3,-3.4,L1,4-6
5,Eastern,5,New Jersey Nets,31,49,0.388,23.5,22-18,9-31,0-0,0-0,97.7,98.7,-1.0,L9,1-9
6,Eastern,6,Boston Celtics,33,47,0.413,21.5,25-15,8-32,0-0,0-0,99.0,100.5,-1.5,L1,3-7
7,Eastern,7,Orlando Magic,40,41,0.494,15,25-15,15-26,0-0,0-0,100.0,99.4,0.6,L2,5-5
8,Eastern,8,Indiana Pacers,55,26,0.679,-,35-5,20-21,0-0,0-0,101.2,96.8,4.4,W4,8-2
9,Eastern,9,Miami Heat,51,29,0.638,3.5,32-8,19-21,0-0,0-0,94.6,91.6,3.0,W1,7-3
10,Eastern,10,New York Knicks,49,31,0.613,5.5,32-8,17-23,0-0,0-0,92.1,90.4,1.7,L2,6-4
11,Eastern,11,Philadelphia 76ers,48,33,0.593,7,29-12,19-21,0-0,0-0,94.8,93.5,1.3,L1,6-4
12,Eastern,12,Charlotte Hornets,47,33,0.588,7.5,29-11,18-22,0-0,0-0,98.6,96.2,2.4,W5,8-2
13,Eastern,13,Toronto Raptors,45,35,0.563,9.5,26-15,19-20,0-0,0-0,97.4,97.2,0.2,W2,5-5
14,Eastern,14,Detroit Pistons,41,39,0.513,13.5,26-14,15-25,0-0,0-0,103.5,102.2,1.3,L2,5-5
15,Eastern,15,Milwaukee Bucks,41,40,0.506,14,22-18,19-22,0-0,0-0,101.1,101.0,0.1,W2,7-3
16,Western,1,LA Clippers,15,67,0.183,53,10-31,5-36,0-0,0-0,92.0,103.5,-11.5,W1,1-9
17,Western,2,Golden State Warriors,19,62,0.235,48.5,12-28,7-34,0-0,0-0,95.6,103.9,-8.3,L3,2-8
18,Western,3,Vancouver Grizzlies,21,60,0.259,46.5,12-29,9-31,0-0,0-0,93.9,99.6,-5.7,L7,2-8
19,Western,4,Denver Nuggets,33,47,0.413,34,24-16,9-31,0-0,0-0,98.9,101.1,-2.2,W2,5-5
20,Western,5,Houston Rockets,33,47,0.413,34,22-18,11-29,0-0,0-0,99.5,100.4,-0.9,L1,7-3
21,Western,6,Dallas Mavericks,38,42,0.475,29,21-19,17-23,0-0,0-0,101.1,101.9,-0.8,W2,8-2
22,Western,7,Los Angeles Lakers,67,13,0.838,-,36-5,31-8,0-0,0-0,100.8,91.9,8.9,W3,9-1
23,Western,8,Utah Jazz,54,26,0.675,13,30-10,24-16,0-0,0-0,96.4,92.0,4.4,W1,6-4
24,Western,9,Portland Trail Blazers,59,22,0.728,8.5,30-10,29-12,0-0,0-0,97.5,91.0,6.5,W3,7-3
25,Western,10,San Antonio Spurs,52,29,0.642,15.5,30-10,22-19,0-0,0-0,96.1,90.1,6.0,W2,6-4
26,Western,11,Phoenix Suns,52,28,0.65,15,32-8,20-20,0-0,0-0,98.9,93.6,5.3,L1,7-3
27,Western,12,Minnesota Timberwolves,50,31,0.617,17.5,26-14,24-17,0-0,0-0,98.4,95.8,2.6,W1,6-4
28,Western,13,Seattle SuperSonics,44,37,0.543,23.5,24-17,20-20,0-0,0-0,98.8,98.0,0.8,L1,4-6
29,Western,14,Sacramento Kings,44,36,0.55,23,30-10,14-26,0-0,0-0,105.1,101.9,3.2,L2,3-7
