Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Chicago Bulls,13,37,0.26,20,8-17,5-20,0-0,0-0,81.9,91.4,-9.5,L2,3-7
2,Eastern,2,New Jersey Nets,16,34,0.32,17,12-13,4-21,0-0,0-0,91.4,95.2,-3.8,W1,4-6
3,Eastern,3,Washington Wizards,18,32,0.36,15,13-12,5-20,0-0,0-0,91.2,93.4,-2.2,L1,2-8
4,Eastern,4,Boston Celtics,19,31,0.38,14,10-15,9-16,0-0,0-0,93.0,94.9,-1.9,L3,3-7
5,Eastern,5,Cleveland Cavaliers,22,28,0.44,11,15-10,7-18,0-0,0-0,86.4,88.2,-1.8,L3,1-9
6,Eastern,6,Toronto Raptors,23,27,0.46,10,14-11,9-16,0-0,0-0,91.1,92.8,-1.7,W1,3-7
7,Eastern,7,Charlotte Hornets,26,24,0.52,7,16-9,10-15,0-0,0-0,92.9,93.0,-0.1,W2,6-4
8,Eastern,8,Miami Heat,33,17,0.66,-,18-7,15-10,0-0,0-0,89.0,84.0,5.0,L1,6-4
9,Eastern,9,Indiana Pacers,33,17,0.66,-,18-7,15-10,0-0,0-0,94.7,90.9,3.8,W4,7-3
10,Eastern,10,Orlando Magic,33,17,0.66,-,21-4,12-13,0-0,0-0,89.5,86.9,2.6,W4,5-5
11,Eastern,11,Atlanta Hawks,31,19,0.62,2,16-9,15-10,0-0,0-0,86.3,83.4,2.9,W1,8-2
12,Eastern,12,Detroit Pistons,29,21,0.58,4,17-8,12-13,0-0,0-0,90.4,86.9,3.5,L1,6-4
13,Eastern,13,Philadelphia 76ers,28,22,0.56,5,17-8,11-14,0-0,0-0,89.7,87.6,2.1,W1,7-3
14,Eastern,14,Milwaukee Bucks,28,22,0.56,5,17-8,11-14,0-0,0-0,91.7,90.0,1.7,L1,6-4
15,Eastern,15,New York Knicks,27,23,0.54,6,19-6,8-17,0-0,0-0,86.4,85.4,1.0,W2,6-4
16,Western,1,Vancouver Grizzlies,8,42,0.16,29,7-18,1-24,0-0,0-0,88.9,97.5,-8.6,L7,1-9
17,Western,2,LA Clippers,9,41,0.18,28,6-19,3-22,0-0,0-0,90.4,99.2,-8.8,L6,2-8
18,Western,3,Denver Nuggets,14,36,0.28,23,12-13,2-23,0-0,0-0,93.5,100.1,-6.6,L7,2-8
19,Western,4,Dallas Mavericks,19,31,0.38,18,15-10,4-21,0-0,0-0,91.6,94.0,-2.4,L2,6-4
20,Western,5,Golden State Warriors,21,29,0.42,16,13-12,8-17,0-0,0-0,88.3,90.8,-2.5,L1,3-7
21,Western,6,Seattle SuperSonics,25,25,0.5,12,17-8,8-17,0-0,0-0,94.9,95.9,-1.0,W2,6-4
22,Western,7,San Antonio Spurs,37,13,0.74,-,21-4,16-9,0-0,0-0,92.8,84.7,8.1,W5,9-1
23,Western,8,Utah Jazz,37,13,0.74,-,22-3,15-10,0-0,0-0,93.3,86.8,6.5,W1,5-5
24,Western,9,Portland Trail Blazers,35,15,0.7,2,22-3,13-12,0-0,0-0,94.8,88.5,6.3,L2,5-5
25,Western,10,Houston Rockets,31,19,0.62,6,19-6,12-13,0-0,0-0,94.2,91.9,2.3,W3,5-5
26,Western,11,Los Angeles Lakers,31,19,0.62,6,18-7,13-12,0-0,0-0,99.0,96.0,3.0,W4,6-4
27,Western,12,Phoenix Suns,27,23,0.54,10,15-10,12-13,0-0,0-0,95.6,93.3,2.3,W1,7-3
28,Western,13,Sacramento Kings,27,23,0.54,10,16-9,11-14,0-0,0-0,100.2,100.6,-0.4,W5,9-1
29,Western,14,Minnesota Timberwolves,25,25,0.5,12,18-7,7-18,0-0,0-0,92.9,92.6,0.3,L2,4-6
