Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Chicago Bulls,50,16,0.758,-,26-7,24-9,13-1,38-10,96.3,88.2,8.1,W3,7-3
2,Eastern,2,Miami Heat,46,20,0.697,4,28-5,18-15,9-5,35-13,98.5,92.5,6.0,L2,6-4
3,Eastern,3,Indiana Pacers,42,24,0.636,8,23-10,19-14,9-4,29-19,97.7,94.4,3.3,L1,8-2
4,Eastern,4,Boston Celtics,39,27,0.591,11,24-9,15-18,8-6,32-16,91.8,89.3,2.5,W2,7-3
5,Eastern,5,Atlanta Hawks,40,26,0.606,10,23-10,17-16,11-3,31-17,96.6,93.2,3.4,W2,7-3
6,Eastern,6,Orlando Magic,37,29,0.561,13,21-12,16-17,8-7,30-18,94.2,93.4,0.8,L1,4-6
7,Eastern,7,New York Knicks,36,30,0.545,14,22-11,14-19,8-6,28-20,97.8,94.7,3.1,W3,7-3
8,Eastern,8,Philadelphia 76ers,35,31,0.53,15,19-14,16-17,7-6,28-20,93.6,89.4,4.2,L1,6-4
9,Eastern,9,Milwaukee Bucks,31,35,0.47,19,17-16,14-19,7-8,24-24,99.0,98.7,0.3,L2,3-7
10,Eastern,10,Detroit Pistons,25,41,0.379,25,18-15,7-26,4-11,20-28,90.9,95.7,-4.8,W1,4-6
11,Eastern,11,Toronto Raptors,23,43,0.348,27,13-20,10-23,7-8,15-33,90.7,94.0,-3.3,W1,3-7
12,Eastern,12,New Jersey Nets,22,44,0.333,28,9-24,13-20,5-9,16-32,93.1,99.1,-6.0,L6,3-7
13,Eastern,13,Cleveland Cavaliers,21,45,0.318,29,11-22,10-23,3-12,13-35,93.0,100.2,-7.2,L4,2-8
14,Eastern,14,Washington Wizards,20,46,0.303,30,11-22,9-24,7-7,16-32,93.6,98.4,-4.8,W6,8-2
15,Eastern,15,Charlotte Hornets,7,59,0.106,43,4-29,3-30,1-14,5-43,87.0,100.9,-13.9,L23,0-10
16,Western,1,San Antonio Spurs,50,16,0.758,-,28-5,22-11,12-4,35-13,103.7,96.5,7.2,W10,10-0
17,Western,2,Oklahoma City Thunder,47,19,0.712,3,26-7,21-12,10-3,34-14,103.1,96.9,6.2,L1,6-4
18,Western,3,Los Angeles Lakers,41,25,0.621,9,26-7,15-18,9-5,32-16,97.3,95.9,1.4,L1,6-4
19,Western,4,Memphis Grizzlies,41,25,0.621,9,26-7,15-18,7-8,26-22,95.0,93.0,2.0,W6,8-2
20,Western,5,LA Clippers,40,26,0.606,10,24-9,16-17,7-7,29-19,97.5,95.0,2.5,L2,6-4
21,Western,6,Denver Nuggets,38,28,0.576,12,20-13,18-15,6-7,22-26,104.1,101.2,2.9,W4,8-2
22,Western,7,Dallas Mavericks,36,30,0.545,14,23-10,13-20,8-5,26-22,95.8,94.8,1.0,L2,5-5
23,Western,8,Utah Jazz,36,30,0.545,14,25-8,11-22,9-4,25-23,99.7,99.0,0.7,W5,7-3
24,Western,9,Houston Rockets,34,32,0.515,16,22-11,12-21,6-8,23-25,98.1,97.9,0.2,W1,3-7
25,Western,10,Phoenix Suns,33,33,0.5,17,19-14,14-19,9-5,23-25,98.4,98.6,-0.2,L3,4-6
26,Western,11,Portland Trail Blazers,28,38,0.424,22,20-13,8-25,4-10,20-28,97.2,97.8,-0.6,L7,1-9
27,Western,12,Minnesota Timberwolves,26,40,0.394,24,13-20,13-20,4-9,19-29,97.9,100.1,-2.2,L2,1-9
28,Western,13,Golden State Warriors,23,43,0.348,27,12-21,11-22,7-8,16-32,97.8,101.2,-3.4,L2,1-9
29,Western,14,Sacramento Kings,22,44,0.333,28,16-17,6-27,3-10,16-32,98.8,104.4,-5.6,W1,3-7
30,Western,15,New Orleans Pelicans,21,45,0.318,29,11-22,10-23,3-11,14-34,89.6,93.4,-3.8,L1,6-4
