Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Cleveland Cavaliers,66,16,0.805,-,39-2,27-14,13-3,40-12,100.3,91.4,8.9,L1,7-3
2,Eastern,2,Boston Celtics,62,20,0.756,4,35-6,27-14,15-1,41-11,100.9,93.4,7.5,W2,8-2
3,Eastern,3,Orlando Magic,59,23,0.72,7,32-9,27-14,14-2,37-15,101.0,94.4,6.6,W1,5-5
4,Eastern,4,Atlanta Hawks,47,35,0.573,19,31-10,16-25,11-5,30-22,98.1,96.5,1.6,L1,5-5
5,Eastern,5,Miami Heat,43,39,0.524,23,28-13,15-26,9-7,28-24,98.3,98.0,0.3,W1,5-5
6,Eastern,6,Philadelphia 76ers,41,41,0.5,25,24-17,17-24,6-10,25-27,97.4,97.3,0.1,W1,4-6
7,Eastern,7,Chicago Bulls,41,41,0.5,25,28-13,13-28,9-7,24-28,102.2,102.5,-0.3,L1,7-3
8,Eastern,8,Detroit Pistons,39,43,0.476,27,21-20,18-23,7-9,26-26,94.2,94.7,-0.5,L3,4-6
9,Eastern,9,Indiana Pacers,36,46,0.439,30,25-16,11-30,7-9,23-29,105.1,106.2,-1.1,W1,6-4
10,Eastern,10,Charlotte Hornets,35,47,0.427,31,23-18,12-29,5-11,20-32,93.6,94.9,-1.3,L4,3-7
11,Eastern,11,New Jersey Nets,34,48,0.415,32,19-22,15-26,8-8,23-29,98.1,100.5,-2.4,L1,4-6
12,Eastern,12,Milwaukee Bucks,34,48,0.415,32,22-19,12-29,4-12,21-31,99.3,100.4,-1.1,L1,3-7
13,Eastern,13,Toronto Raptors,33,49,0.402,33,18-23,15-26,6-10,22-30,99.0,101.9,-2.9,W3,6-4
14,Eastern,14,New York Knicks,32,50,0.39,34,20-21,12-29,5-11,20-32,105.2,107.8,-2.6,W1,3-7
15,Eastern,15,Washington Wizards,19,63,0.232,47,13-28,6-35,1-15,10-42,96.1,103.5,-7.4,L2,3-7
16,Western,1,Los Angeles Lakers,65,17,0.793,-,36-5,29-12,14-2,44-8,106.9,99.3,7.6,W2,7-3
17,Western,2,Denver Nuggets,54,28,0.659,11,33-8,21-20,12-4,35-17,104.3,100.9,3.4,L1,8-2
18,Western,3,San Antonio Spurs,54,28,0.659,11,28-13,26-15,10-6,36-16,97.0,93.3,3.7,W4,6-4
19,Western,4,Portland Trail Blazers,54,28,0.659,11,34-7,20-21,11-5,32-20,99.4,94.1,5.3,W6,9-1
20,Western,5,Houston Rockets,53,29,0.646,12,33-8,20-21,9-7,35-17,98.4,94.4,4.0,L1,6-4
21,Western,6,Dallas Mavericks,50,32,0.61,15,32-9,18-23,7-9,29-23,101.7,99.8,1.9,W2,7-3
22,Western,7,New Orleans Pelicans,49,33,0.598,16,28-13,21-20,9-7,30-22,95.8,94.3,1.5,L2,4-6
23,Western,8,Utah Jazz,48,34,0.585,17,33-8,15-26,10-6,33-19,103.6,100.9,2.7,L1,3-7
24,Western,9,Phoenix Suns,46,36,0.561,19,28-13,18-23,11-5,30-22,109.4,107.5,1.9,W3,6-4
25,Western,10,Golden State Warriors,29,53,0.354,36,21-20,8-33,6-10,18-34,108.6,112.3,-3.7,L2,4-6
26,Western,11,Minnesota Timberwolves,24,58,0.293,41,11-30,13-28,3-13,13-39,97.8,102.7,-4.9,L3,4-6
27,Western,12,Memphis Grizzlies,24,58,0.293,41,16-25,8-33,5-11,14-38,93.9,99.3,-5.4,W1,6-4
28,Western,13,Oklahoma City Thunder,23,59,0.28,42,15-26,8-33,4-12,15-37,97.0,103.1,-6.1,W1,3-7
29,Western,14,LA Clippers,19,63,0.232,46,11-30,8-33,2-14,10-42,95.1,103.9,-8.8,L3,1-9
30,Western,15,Sacramento Kings,17,65,0.207,48,11-30,6-35,7-9,16-36,100.6,109.3,-8.7,W1,1-9
