Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Chicago Bulls,15,67,0.183,41,10-31,5-36,0-0,0-0,87.6,96.7,-9.1,W2,3-7
2,Eastern,2,Washington Wizards,19,63,0.232,37,12-29,7-34,0-0,0-0,93.2,99.9,-6.7,L3,1-9
3,Eastern,3,Atlanta Hawks,25,57,0.305,31,18-23,7-34,0-0,0-0,91.0,96.2,-5.2,W1,4-6
4,Eastern,4,New Jersey Nets,26,56,0.317,30,18-23,8-33,0-0,0-0,92.1,97.1,-5.0,L6,2-8
5,Eastern,5,Cleveland Cavaliers,30,52,0.366,26,20-21,10-31,0-0,0-0,92.2,96.5,-4.3,L1,4-6
6,Eastern,6,Detroit Pistons,32,50,0.39,24,18-23,14-27,0-0,0-0,95.6,97.3,-1.7,L3,6-4
7,Eastern,7,Boston Celtics,36,46,0.439,20,20-21,16-25,0-0,0-0,94.6,96.8,-2.2,L1,3-7
8,Eastern,8,Philadelphia 76ers,56,26,0.683,-,29-12,27-14,0-0,0-0,94.7,90.4,4.3,L1,6-4
9,Eastern,9,Milwaukee Bucks,52,30,0.634,4,31-10,21-20,0-0,0-0,100.7,96.9,3.8,L1,6-4
10,Eastern,10,Miami Heat,50,32,0.61,6,29-12,21-20,0-0,0-0,88.9,86.6,2.3,W2,7-3
11,Eastern,11,New York Knicks,48,34,0.585,8,30-11,18-23,0-0,0-0,88.7,86.1,2.6,W1,6-4
12,Eastern,12,Toronto Raptors,47,35,0.573,9,27-14,20-21,0-0,0-0,97.6,95.4,2.2,W2,7-3
13,Eastern,13,Charlotte Hornets,46,36,0.561,10,28-13,18-23,0-0,0-0,91.9,89.8,2.1,W4,6-4
14,Eastern,14,Orlando Magic,43,39,0.524,13,26-15,17-24,0-0,0-0,97.5,96.5,1.0,L2,4-6
15,Eastern,15,Indiana Pacers,41,41,0.5,15,26-15,15-26,0-0,0-0,92.6,92.8,-0.2,W1,8-2
16,Western,1,Golden State Warriors,17,65,0.207,41,11-30,6-35,0-0,0-0,92.5,101.5,-9.0,L13,0-10
17,Western,2,Vancouver Grizzlies,23,59,0.28,35,15-26,8-33,0-0,0-0,91.7,97.5,-5.8,W1,3-7
18,Western,3,LA Clippers,31,51,0.378,27,22-19,9-32,0-0,0-0,92.5,95.3,-2.8,L1,5-5
19,Western,4,Denver Nuggets,40,42,0.488,18,29-12,11-30,0-0,0-0,96.6,99.0,-2.4,W1,6-4
20,Western,5,Seattle SuperSonics,44,38,0.537,14,26-15,18-23,0-0,0-0,97.3,97.3,0.0,W1,6-4
21,Western,6,Houston Rockets,45,37,0.549,13,24-17,21-20,0-0,0-0,97.2,94.9,2.3,W3,6-4
22,Western,7,San Antonio Spurs,58,24,0.707,-,33-8,25-16,0-0,0-0,96.2,88.4,7.8,L1,7-3
23,Western,8,Los Angeles Lakers,56,26,0.683,2,31-10,25-16,0-0,0-0,100.6,97.2,3.4,W8,9-1
24,Western,9,Sacramento Kings,55,27,0.671,3,33-8,22-19,0-0,0-0,101.7,95.9,5.8,L1,6-4
25,Western,10,Utah Jazz,53,29,0.646,5,28-13,25-16,0-0,0-0,97.1,92.4,4.7,L1,5-5
26,Western,11,Dallas Mavericks,53,29,0.646,5,28-13,25-16,0-0,0-0,100.5,96.2,4.3,W4,7-3
27,Western,12,Phoenix Suns,51,31,0.622,7,31-10,20-21,0-0,0-0,94.0,91.8,2.2,W1,6-4
28,Western,13,Portland Trail Blazers,50,32,0.61,8,28-13,22-19,0-0,0-0,95.4,91.2,4.2,L3,3-7
29,Western,14,Minnesota Timberwolves,47,35,0.573,11,30-11,17-24,0-0,0-0,97.3,96.0,1.3,L2,5-5
