Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Milwaukee Bucks,60,22,0.732,-,33-8,27-14,14-2,40-12,118.1,109.3,8.8,L1,7-3
2,Eastern,2,Toronto Raptors,58,24,0.707,2,32-9,26-15,12-4,36-16,114.4,108.4,6.0,W2,7-3
3,Eastern,3,Philadelphia 76ers,51,31,0.622,9,31-10,20-21,8-8,31-21,115.2,112.5,2.7,W1,4-6
4,Eastern,4,Boston Celtics,49,33,0.598,11,28-13,21-20,10-6,35-17,112.4,108.0,4.4,W1,6-4
5,Eastern,5,Indiana Pacers,48,34,0.585,12,29-12,19-22,11-5,33-19,108.0,104.7,3.3,W1,4-6
6,Eastern,6,Brooklyn Nets,42,40,0.512,18,23-18,19-22,8-8,29-23,112.2,112.3,-0.1,W3,6-4
7,Eastern,7,Orlando Magic,42,40,0.512,18,25-16,17-24,10-6,30-22,107.3,106.6,0.7,W4,8-2
8,Eastern,8,Detroit Pistons,41,41,0.5,19,26-15,15-26,8-8,27-25,107.0,107.3,-0.3,W2,4-6
9,Eastern,9,Charlotte Hornets,39,43,0.476,21,25-16,14-27,10-6,29-23,110.7,111.8,-1.1,L1,6-4
10,Eastern,10,Miami Heat,39,43,0.476,21,19-22,20-21,7-9,23-29,105.7,105.9,-0.2,L1,4-6
11,Eastern,11,Washington Wizards,32,50,0.39,28,22-19,10-31,7-9,19-33,114.0,116.9,-2.9,L4,2-8
12,Eastern,12,Atlanta Hawks,29,53,0.354,31,17-24,12-29,6-10,16-36,113.3,119.4,-6.1,L3,5-5
13,Eastern,13,Chicago Bulls,22,60,0.268,38,9-32,13-28,3-13,16-36,104.9,113.4,-8.5,L3,2-8
14,Eastern,14,Cleveland Cavaliers,19,63,0.232,41,13-28,6-35,4-12,15-37,104.5,114.1,-9.6,L10,0-10
15,Eastern,15,New York Knicks,17,65,0.207,43,9-32,8-33,2-14,11-41,104.6,113.8,-9.2,L1,3-7
16,Western,1,Golden State Warriors,57,25,0.695,-,30-11,27-14,13-3,35-17,117.7,111.2,6.5,L1,8-2
17,Western,2,Denver Nuggets,54,28,0.659,3,34-7,20-21,12-4,34-18,110.7,106.7,4.0,W1,5-5
18,Western,3,Portland Trail Blazers,53,29,0.646,4,32-9,21-20,6-10,29-23,114.7,110.5,4.2,W3,8-2
19,Western,4,Houston Rockets,53,29,0.646,4,31-10,22-19,10-6,32-20,113.9,109.1,4.8,L1,8-2
20,Western,5,Utah Jazz,50,32,0.61,7,29-12,21-20,8-8,30-22,111.7,106.5,5.2,L1,8-2
21,Western,6,Oklahoma City Thunder,49,33,0.598,8,27-14,22-19,9-7,28-24,114.5,111.1,3.4,W5,7-3
22,Western,7,San Antonio Spurs,48,34,0.585,9,32-9,16-25,10-6,30-22,111.7,110.0,1.7,W3,6-4
23,Western,8,LA Clippers,48,34,0.585,9,26-15,22-19,11-5,28-24,115.1,114.3,0.8,W1,6-4
24,Western,9,Sacramento Kings,39,43,0.476,18,24-17,15-26,4-12,21-31,114.2,115.3,-1.1,L3,3-7
25,Western,10,Los Angeles Lakers,37,45,0.451,20,22-19,15-26,9-7,25-27,111.8,113.5,-1.7,L1,6-4
26,Western,11,Minnesota Timberwolves,36,46,0.439,21,25-16,11-30,5-11,22-30,112.5,114.0,-1.5,L3,4-6
27,Western,12,Memphis Grizzlies,33,49,0.402,24,21-20,12-29,8-8,24-28,103.5,106.1,-2.6,W1,4-6
28,Western,13,New Orleans Pelicans,33,49,0.402,24,19-22,14-27,8-8,23-29,115.4,116.8,-1.4,L1,3-7
29,Western,14,Dallas Mavericks,33,49,0.402,24,24-17,9-32,4-12,18-34,108.9,110.1,-1.2,L1,5-5
30,Western,15,Phoenix Suns,19,63,0.232,38,12-29,7-34,3-13,11-41,107.5,116.8,-9.3,L2,2-8
