Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Miami Heat,59,23,0.72,-,35-6,24-17,15-1,41-11,101.5,95.0,6.5,W3,5-5
2,Eastern,2,Detroit Pistons,54,28,0.659,5,32-9,22-19,8-8,35-17,93.3,89.5,3.8,L1,9-1
3,Eastern,3,Boston Celtics,45,37,0.549,14,27-14,18-23,8-8,30-22,101.3,100.4,0.9,L2,6-4
4,Eastern,4,Chicago Bulls,47,35,0.573,12,27-14,20-21,8-8,32-20,94.5,93.4,1.1,L1,6-4
5,Eastern,5,Washington Wizards,45,37,0.549,14,29-12,16-25,10-6,28-24,100.5,100.8,-0.3,L2,4-6
6,Eastern,6,Indiana Pacers,44,38,0.537,15,25-16,19-22,9-7,29-23,93.0,92.2,0.8,W1,6-4
7,Eastern,7,Philadelphia 76ers,43,39,0.524,16,25-16,18-23,8-8,33-19,99.1,99.9,-0.8,W2,8-2
8,Eastern,8,New Jersey Nets,42,40,0.512,17,24-17,18-23,11-5,31-21,91.4,92.9,-1.5,W4,8-2
9,Eastern,9,Cleveland Cavaliers,42,40,0.512,17,29-12,13-28,7-9,26-26,96.5,95.7,0.8,W2,4-6
10,Eastern,10,Orlando Magic,36,46,0.439,23,24-17,12-29,6-10,21-31,99.5,101.8,-2.3,L1,2-8
11,Eastern,11,Toronto Raptors,33,49,0.402,26,22-19,11-30,7-9,20-32,99.7,101.4,-1.7,L1,3-7
12,Eastern,12,New York Knicks,33,49,0.402,26,22-19,11-30,6-10,21-31,97.3,99.7,-2.4,W1,4-6
13,Eastern,13,Milwaukee Bucks,30,52,0.366,29,23-18,7-34,8-8,24-28,97.2,100.2,-3.0,L2,3-7
14,Eastern,14,Charlotte Hornets,18,64,0.22,41,14-27,4-37,7-9,11-41,94.3,100.2,-5.9,W1,3-7
15,Eastern,15,Atlanta Hawks,13,69,0.159,46,9-32,4-37,2-14,8-44,92.7,102.5,-9.8,L2,2-8
16,Western,1,Phoenix Suns,62,20,0.756,-,31-10,31-10,12-4,38-14,110.4,103.3,7.1,L1,7-3
17,Western,2,San Antonio Spurs,59,23,0.72,3,38-3,21-20,10-6,36-16,96.2,88.4,7.8,L2,6-4
18,Western,3,Seattle SuperSonics,52,30,0.634,10,26-15,26-15,11-5,31-21,98.9,96.6,2.3,L2,2-8
19,Western,4,Dallas Mavericks,58,24,0.707,4,29-12,29-12,11-5,35-17,102.5,96.8,5.7,W9,9-1
20,Western,5,Houston Rockets,51,31,0.622,11,26-15,25-16,10-6,33-19,95.1,91.0,4.1,W7,7-3
21,Western,6,Sacramento Kings,50,32,0.61,12,30-11,20-21,10-6,28-24,103.7,101.6,2.1,W1,6-4
22,Western,7,Denver Nuggets,49,33,0.598,13,31-10,18-23,9-7,28-24,99.5,97.5,2.0,W1,8-2
23,Western,8,Memphis Grizzlies,45,37,0.549,17,26-15,19-22,7-9,27-25,93.4,91.1,2.3,L1,4-6
24,Western,9,Minnesota Timberwolves,44,38,0.537,18,24-17,20-21,10-6,30-22,96.8,95.3,1.5,W2,6-4
25,Western,10,LA Clippers,37,45,0.451,25,27-14,10-31,6-10,20-32,95.7,96.5,-0.8,W1,5-5
26,Western,11,Los Angeles Lakers,34,48,0.415,28,22-19,12-29,6-10,21-31,98.7,101.7,-3.0,L6,1-9
27,Western,12,Golden State Warriors,34,48,0.415,28,20-21,14-27,6-10,20-32,98.7,100.9,-2.2,W3,7-3
28,Western,13,Portland Trail Blazers,27,55,0.329,35,18-23,9-32,4-12,13-39,92.9,96.9,-4.0,W1,3-7
29,Western,14,Utah Jazz,26,56,0.317,36,18-23,8-33,6-10,20-32,93.0,97.3,-4.3,L1,4-6
30,Western,15,New Orleans Pelicans,18,64,0.22,44,11-30,7-34,2-14,10-42,88.4,95.5,-7.1,L9,1-9
