Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,New Jersey Nets,52,30,0.634,-,33-8,19-22,0-0,0-0,96.2,92.0,4.2,W1,6-4
2,Eastern,2,Detroit Pistons,50,32,0.61,2,26-15,24-17,0-0,0-0,94.3,92.1,2.2,W3,7-3
3,Eastern,3,Boston Celtics,49,33,0.598,3,27-14,22-19,0-0,0-0,96.4,94.1,2.3,W4,8-2
4,Eastern,4,Charlotte Hornets,44,38,0.537,8,21-20,23-18,0-0,0-0,93.9,92.9,1.0,W2,6-4
5,Eastern,5,Orlando Magic,44,38,0.537,8,27-14,17-24,0-0,0-0,100.5,98.9,1.6,L1,5-5
6,Eastern,6,Philadelphia 76ers,43,39,0.524,9,22-19,21-20,0-0,0-0,91.0,89.4,1.6,L2,5-5
7,Eastern,7,Toronto Raptors,42,40,0.512,10,24-17,18-23,0-0,0-0,91.4,91.8,-0.4,W1,8-2
8,Eastern,8,Indiana Pacers,42,40,0.512,10,25-16,17-24,0-0,0-0,96.8,96.5,0.3,W5,6-4
9,Eastern,9,Milwaukee Bucks,41,41,0.5,11,25-16,16-25,0-0,0-0,97.5,97.7,-0.2,L1,3-7
10,Eastern,10,Washington Wizards,37,45,0.451,15,22-19,15-26,0-0,0-0,92.8,94.2,-1.4,W1,3-7
11,Eastern,11,Miami Heat,36,46,0.439,16,18-23,18-23,0-0,0-0,87.2,88.7,-1.5,W1,4-6
12,Eastern,12,Atlanta Hawks,33,49,0.402,19,23-18,10-31,0-0,0-0,94.0,98.3,-4.3,L2,4-6
13,Eastern,13,New York Knicks,30,52,0.366,22,19-22,11-30,0-0,0-0,91.6,95.6,-4.0,L2,3-7
14,Eastern,14,Cleveland Cavaliers,29,53,0.354,23,20-21,9-32,0-0,0-0,95.3,98.6,-3.3,L4,4-6
15,Eastern,15,Chicago Bulls,21,61,0.256,31,14-27,7-34,0-0,0-0,89.5,98.0,-8.5,L1,4-6
16,Western,1,Sacramento Kings,61,21,0.744,-,36-5,25-16,0-0,0-0,104.6,97.0,7.6,L1,8-2
17,Western,2,San Antonio Spurs,58,24,0.707,3,32-9,26-15,0-0,0-0,96.7,90.5,6.2,W9,9-1
18,Western,3,Los Angeles Lakers,58,24,0.707,3,34-7,24-17,0-0,0-0,101.3,94.1,7.2,W2,7-3
19,Western,4,Dallas Mavericks,57,25,0.695,4,30-11,27-14,0-0,0-0,105.2,101.0,4.2,L1,7-3
20,Western,5,Minnesota Timberwolves,50,32,0.61,11,29-12,21-20,0-0,0-0,99.3,96.0,3.3,W1,6-4
21,Western,6,Portland Trail Blazers,49,33,0.598,12,30-11,19-22,0-0,0-0,96.6,93.7,2.9,W3,5-5
22,Western,7,Seattle SuperSonics,45,37,0.549,16,26-15,19-22,0-0,0-0,97.6,94.6,3.0,W1,4-6
23,Western,8,Utah Jazz,44,38,0.537,17,25-16,19-22,0-0,0-0,96.0,95.1,0.9,L2,4-6
24,Western,9,LA Clippers,39,43,0.476,22,25-16,14-27,0-0,0-0,95.7,96.1,-0.4,L1,3-7
25,Western,10,Phoenix Suns,36,46,0.439,25,23-18,13-28,0-0,0-0,95.1,95.8,-0.7,W1,3-7
26,Western,11,Houston Rockets,28,54,0.341,33,18-23,10-31,0-0,0-0,92.3,97.2,-4.9,L4,2-8
27,Western,12,Denver Nuggets,27,55,0.329,34,20-21,7-34,0-0,0-0,92.2,98.0,-5.8,L1,5-5
28,Western,13,Memphis Grizzlies,23,59,0.28,38,15-26,8-33,0-0,0-0,89.9,97.4,-7.5,L2,4-6
29,Western,14,Golden State Warriors,21,61,0.256,40,14-27,7-34,0-0,0-0,97.7,103.1,-5.4,W1,3-7
