Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Detroit Pistons,64,18,0.78,-,37-4,27-14,13-3,39-13,96.8,90.2,6.6,L2,6-4
2,Eastern,2,Miami Heat,52,30,0.634,12,31-10,21-20,13-3,35-17,99.9,96.0,3.9,L3,4-6
3,Eastern,3,New Jersey Nets,49,33,0.598,15,29-12,20-21,10-6,33-19,93.8,92.4,1.4,L2,5-5
4,Eastern,4,Cleveland Cavaliers,50,32,0.61,14,31-10,19-22,11-5,34-18,97.6,95.4,2.2,W2,7-3
5,Eastern,5,Washington Wizards,42,40,0.512,22,27-14,15-26,8-8,29-23,101.7,99.8,1.9,W3,5-5
6,Eastern,6,Indiana Pacers,41,41,0.5,23,27-14,14-27,6-10,24-28,93.9,92.0,1.9,W2,6-4
7,Eastern,7,Chicago Bulls,41,41,0.5,23,21-20,20-21,4-12,30-22,97.8,97.2,0.6,W6,9-1
8,Eastern,8,Milwaukee Bucks,40,42,0.488,24,25-16,15-26,6-10,29-23,97.8,98.8,-1.0,L1,4-6
9,Eastern,9,Philadelphia 76ers,38,44,0.463,26,23-18,15-26,10-6,22-30,99.4,101.3,-1.9,L1,4-6
10,Eastern,10,Orlando Magic,36,46,0.439,28,26-15,10-31,9-7,24-28,94.9,96.0,-1.1,L2,8-2
11,Eastern,11,Boston Celtics,33,49,0.402,31,21-20,12-29,10-6,19-33,98.0,99.5,-1.5,W1,3-7
12,Eastern,12,Toronto Raptors,27,55,0.329,37,15-26,12-29,6-10,20-32,101.1,104.0,-2.9,L2,1-9
13,Eastern,13,Charlotte Hornets,26,56,0.317,38,17-24,9-32,5-11,18-34,96.9,100.9,-4.0,W4,6-4
14,Eastern,14,Atlanta Hawks,26,56,0.317,38,18-23,8-33,5-11,19-33,97.2,102.0,-4.8,L1,4-6
15,Eastern,15,New York Knicks,23,59,0.28,41,15-26,8-33,4-12,15-37,95.6,102.0,-6.4,W1,4-6
16,Western,1,San Antonio Spurs,63,19,0.768,-,34-7,29-12,13-3,42-10,95.6,88.8,6.8,W3,7-3
17,Western,2,Phoenix Suns,54,28,0.659,9,31-10,23-18,10-6,32-20,108.4,102.8,5.6,W2,5-5
18,Western,3,Denver Nuggets,44,38,0.537,19,26-15,18-23,10-6,25-27,100.3,100.1,0.2,L4,4-6
19,Western,4,Dallas Mavericks,60,22,0.732,3,34-7,26-15,13-3,37-15,99.1,93.1,6.0,L1,6-4
20,Western,5,Memphis Grizzlies,49,33,0.598,14,30-11,19-22,6-10,31-21,92.2,88.5,3.7,W5,8-2
21,Western,6,LA Clippers,47,35,0.573,16,27-14,20-21,7-9,27-25,97.2,95.6,1.6,W1,5-5
22,Western,7,Los Angeles Lakers,45,37,0.549,18,27-14,18-23,9-7,27-25,99.4,96.9,2.5,W5,7-3
23,Western,8,Sacramento Kings,44,38,0.537,19,27-14,17-24,10-6,30-22,98.9,97.3,1.6,W3,8-2
24,Western,9,Utah Jazz,41,41,0.5,22,22-19,19-22,11-5,26-26,92.4,95.0,-2.6,W1,7-3
25,Western,10,New Orleans Pelicans,38,44,0.463,25,24-17,14-27,7-9,25-27,92.8,95.6,-2.8,L4,3-7
26,Western,11,Seattle SuperSonics,35,47,0.427,28,22-19,13-28,10-6,20-32,102.6,105.6,-3.0,W1,6-4
27,Western,12,Houston Rockets,34,48,0.415,29,15-26,19-22,1-15,19-33,90.1,91.7,-1.6,L1,2-8
28,Western,13,Golden State Warriors,34,48,0.415,29,21-20,13-28,4-12,19-33,98.5,99.8,-1.3,L1,4-6
29,Western,14,Minnesota Timberwolves,33,49,0.402,30,24-17,9-32,6-10,20-32,91.7,93.6,-1.9,L3,3-7
30,Western,15,Portland Trail Blazers,21,61,0.256,42,15-26,6-35,3-13,10-42,88.8,98.3,-9.5,L8,1-9
