Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Milwaukee Bucks,58,24,0.707,-,32-9,26-15,11-5,35-17,116.9,113.3,3.6,L2,6-4
2,Eastern,2,Boston Celtics,57,25,0.695,1,32-9,25-16,11-5,34-18,117.9,111.4,6.5,W3,8-2
3,Eastern,3,Philadelphia 76ers,54,28,0.659,4,29-12,25-16,10-6,34-18,115.2,110.9,4.3,W2,5-5
4,Eastern,4,Cleveland Cavaliers,51,31,0.622,7,31-10,20-21,13-3,34-18,112.3,106.9,5.4,L1,7-3
5,Eastern,5,New York Knicks,47,35,0.573,11,23-18,24-17,8-8,32-20,116.0,113.1,2.9,L2,5-5
6,Eastern,6,Brooklyn Nets,45,37,0.549,13,23-18,22-19,7-9,30-22,113.4,112.5,0.9,L1,6-4
7,Eastern,7,Atlanta Hawks,41,41,0.5,17,24-17,17-24,8-8,26-26,118.4,118.1,0.3,L2,5-5
8,Eastern,8,Miami Heat,44,38,0.537,14,27-14,17-24,10-6,24-28,109.5,109.8,-0.3,W1,6-4
9,Eastern,9,Chicago Bulls,40,42,0.488,18,22-19,18-23,7-9,27-25,113.1,111.8,1.3,W2,6-4
10,Eastern,10,Toronto Raptors,41,41,0.5,17,27-14,14-27,4-12,26-26,112.9,111.4,1.5,W1,6-4
11,Eastern,11,Indiana Pacers,35,47,0.427,23,20-21,15-26,7-9,24-28,116.3,119.5,-3.2,W1,3-7
12,Eastern,12,Washington Wizards,35,47,0.427,23,19-22,16-25,8-8,21-31,113.2,114.4,-1.2,L1,3-7
13,Eastern,13,Orlando Magic,34,48,0.415,24,20-21,14-27,7-9,20-32,111.4,114.0,-2.6,L4,5-5
14,Eastern,14,Charlotte Hornets,27,55,0.329,31,13-28,14-27,7-9,15-37,111.0,117.2,-6.2,W1,5-5
15,Eastern,15,Detroit Pistons,17,65,0.207,41,9-32,8-33,2-14,8-44,110.3,118.5,-8.2,L1,1-9
16,Western,1,Denver Nuggets,53,29,0.646,-,34-7,19-22,10-6,34-18,115.8,112.5,3.3,W1,5-5
17,Western,2,Memphis Grizzlies,51,31,0.622,2,35-6,16-25,13-3,30-22,116.9,113.0,3.9,L1,6-4
18,Western,3,Sacramento Kings,48,34,0.585,5,23-18,25-16,9-7,32-20,120.7,118.1,2.6,L3,5-5
19,Western,4,Phoenix Suns,45,37,0.549,8,28-13,17-24,9-7,30-22,113.6,111.6,2.0,L2,7-3
20,Western,5,LA Clippers,44,38,0.537,9,23-18,21-20,9-7,27-25,113.6,113.1,0.5,W3,6-4
21,Western,6,Golden State Warriors,44,38,0.537,9,33-8,11-30,7-9,30-22,118.9,117.1,1.8,W3,8-2
22,Western,7,Los Angeles Lakers,43,39,0.524,10,23-18,20-21,6-10,27-25,117.2,116.6,0.6,W2,8-2
23,Western,8,Minnesota Timberwolves,42,40,0.512,11,22-19,20-21,8-8,29-23,115.8,115.8,0.0,W3,7-3
24,Western,9,Oklahoma City Thunder,40,42,0.488,13,24-17,16-25,9-7,25-27,117.5,116.4,1.1,W2,4-6
25,Western,10,New Orleans Pelicans,42,40,0.512,11,27-14,15-26,11-5,29-23,114.4,112.5,1.9,L1,7-3
26,Western,11,Dallas Mavericks,38,44,0.463,15,23-18,15-26,9-7,28-24,114.2,114.1,0.1,L2,2-8
27,Western,12,Utah Jazz,37,45,0.451,16,23-18,14-27,6-10,24-28,117.1,118.0,-0.9,L1,2-8
28,Western,13,Portland Trail Blazers,33,49,0.402,20,17-24,16-25,7-9,23-29,113.4,117.4,-4.0,L4,1-9
29,Western,14,Houston Rockets,22,60,0.268,31,14-27,8-33,4-12,12-40,110.7,118.6,-7.9,W3,4-6
30,Western,15,San Antonio Spurs,22,60,0.268,31,14-27,8-33,3-13,10-42,113.0,123.1,-10.1,W1,3-7
