Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Cleveland Cavaliers,61,21,0.744,-,35-6,26-15,12-4,38-14,102.1,95.6,6.5,L4,4-6
2,Eastern,2,Orlando Magic,59,23,0.72,2,34-7,25-16,10-6,39-13,102.8,95.3,7.5,W6,9-1
3,Eastern,3,Atlanta Hawks,53,29,0.646,8,34-7,19-22,8-8,32-20,101.7,97.0,4.7,W4,7-3
4,Eastern,4,Boston Celtics,50,32,0.61,11,24-17,26-15,13-3,33-19,99.2,95.6,3.6,L2,3-7
5,Eastern,5,Miami Heat,47,35,0.573,14,24-17,23-18,9-7,32-20,96.5,94.2,2.3,W3,9-1
6,Eastern,6,Milwaukee Bucks,46,36,0.561,15,28-13,18-23,10-6,31-21,97.7,96.0,1.7,W1,6-4
7,Eastern,7,Charlotte Hornets,44,38,0.537,17,31-10,13-28,10-6,27-25,95.3,93.8,1.5,L1,6-4
8,Eastern,8,Chicago Bulls,41,41,0.5,20,24-17,17-24,10-6,28-24,97.5,99.1,-1.6,W3,7-3
9,Eastern,9,Toronto Raptors,40,42,0.488,21,25-16,15-26,11-5,29-23,104.1,105.9,-1.8,W2,5-5
10,Eastern,10,Indiana Pacers,32,50,0.39,29,23-18,9-32,6-10,23-29,100.8,103.8,-3.0,L2,6-4
11,Eastern,11,New York Knicks,29,53,0.354,32,18-23,11-30,6-10,20-32,102.1,105.9,-3.8,L1,3-7
12,Eastern,12,Detroit Pistons,27,55,0.329,34,17-24,10-31,2-14,18-34,94.0,99.1,-5.1,W1,4-6
13,Eastern,13,Philadelphia 76ers,27,55,0.329,34,12-29,15-26,7-9,14-38,97.7,101.6,-3.9,L2,2-8
14,Eastern,14,Washington Wizards,26,56,0.317,35,15-26,11-30,3-13,18-34,96.2,101.0,-4.8,W1,5-5
15,Eastern,15,New Jersey Nets,12,70,0.146,49,8-33,4-37,3-13,8-44,92.4,101.5,-9.1,L3,3-7
16,Western,1,Los Angeles Lakers,57,25,0.695,-,34-7,23-18,13-3,35-17,101.7,97.0,4.7,L1,4-6
17,Western,2,Dallas Mavericks,55,27,0.671,2,28-13,27-14,10-6,33-19,102.0,99.3,2.7,W5,8-2
18,Western,3,Phoenix Suns,54,28,0.659,3,32-9,22-19,12-4,35-17,110.2,105.3,4.9,W3,8-2
19,Western,4,Denver Nuggets,53,29,0.646,4,34-7,19-22,12-4,34-18,106.5,102.4,4.1,L1,6-4
20,Western,5,Utah Jazz,53,29,0.646,4,32-9,21-20,8-8,31-21,104.2,98.9,5.3,L1,6-4
21,Western,6,Portland Trail Blazers,50,32,0.61,7,26-15,24-17,8-8,33-19,98.1,94.8,3.3,L1,7-3
22,Western,7,San Antonio Spurs,50,32,0.61,7,29-12,21-20,9-7,31-21,101.4,96.3,5.1,L1,6-4
23,Western,8,Oklahoma City Thunder,50,32,0.61,7,27-14,23-18,9-7,28-24,101.5,98.0,3.5,W1,6-4
24,Western,9,Houston Rockets,42,40,0.512,15,23-18,19-22,9-7,28-24,102.4,102.7,-0.3,L1,6-4
25,Western,10,Memphis Grizzlies,40,42,0.488,17,23-18,17-24,5-11,22-30,102.5,104.0,-1.5,L3,2-8
26,Western,11,New Orleans Pelicans,37,45,0.451,20,24-17,13-28,7-9,26-26,100.2,102.7,-2.5,W2,3-7
27,Western,12,LA Clippers,29,53,0.354,28,21-20,8-33,5-11,15-37,95.7,102.1,-6.4,W1,2-8
28,Western,13,Golden State Warriors,26,56,0.317,31,18-23,8-33,5-11,15-37,108.8,112.4,-3.6,W1,6-4
29,Western,14,Sacramento Kings,25,57,0.305,32,18-23,7-34,5-11,16-36,100.0,104.4,-4.4,L3,1-9
30,Western,15,Minnesota Timberwolves,15,67,0.183,42,10-31,5-36,3-13,8-44,98.2,107.8,-9.6,L7,1-9
