Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Cleveland Cavaliers,64,18,0.78,-,34-7,30-11,12-4,41-11,121.9,112.4,9.5,L1,6-4
2,Eastern,2,Boston Celtics,61,21,0.744,3,28-13,33-8,14-2,39-13,116.3,107.2,9.1,W2,8-2
3,Eastern,3,New York Knicks,51,31,0.622,13,27-14,24-17,12-4,34-18,115.8,111.7,4.1,W1,6-4
4,Eastern,4,Indiana Pacers,50,32,0.61,14,29-11,20-20,10-6,29-22,117.4,115.1,2.3,W1,8-2
5,Eastern,5,Milwaukee Bucks,48,34,0.585,16,27-14,20-20,9-7,31-21,115.5,113.0,2.5,W8,8-2
6,Eastern,6,Detroit Pistons,44,38,0.537,20,22-19,22-19,5-11,29-23,115.5,113.6,1.9,L2,4-6
7,Eastern,7,Orlando Magic,41,41,0.5,23,22-19,19-22,12-4,31-21,105.4,105.5,-0.1,L1,7-3
8,Eastern,8,Miami Heat,37,45,0.451,27,19-22,17-23,10-6,24-28,110.6,110.0,0.6,L1,6-4
9,Eastern,9,Atlanta Hawks,40,42,0.488,24,21-19,19-22,10-6,30-22,118.2,119.3,-1.1,W3,5-5
10,Eastern,10,Chicago Bulls,39,43,0.476,25,18-23,21-20,4-12,28-24,117.8,119.4,-1.6,W3,7-3
11,Eastern,11,Toronto Raptors,30,52,0.366,34,18-23,12-29,8-8,21-31,110.9,115.2,-4.3,L2,5-5
12,Eastern,12,Brooklyn Nets,26,56,0.317,38,12-29,14-27,3-13,14-37,105.1,112.2,-7.1,L3,3-7
13,Eastern,13,Philadelphia 76ers,24,58,0.293,40,12-29,12-29,3-13,15-37,109.6,115.8,-6.2,L2,1-9
14,Eastern,14,Charlotte Hornets,19,63,0.232,45,12-29,7-34,1-15,10-42,105.1,114.2,-9.1,L7,1-9
15,Eastern,15,Washington Wizards,18,64,0.22,46,8-32,10-31,7-9,13-39,108.0,120.4,-12.4,W1,2-8
16,Western,1,Oklahoma City Thunder,68,14,0.829,-,35-6,32-8,12-4,39-13,120.5,107.6,12.9,W4,8-2
17,Western,2,Houston Rockets,52,30,0.634,16,29-12,23-17,13-3,31-21,114.3,109.8,4.5,L3,6-4
18,Western,3,Los Angeles Lakers,50,32,0.61,18,31-10,19-22,12-4,36-16,113.4,112.2,1.2,L1,6-4
19,Western,4,Denver Nuggets,50,32,0.61,18,26-15,24-17,8-8,32-20,120.8,116.9,3.9,W3,5-5
20,Western,5,LA Clippers,50,32,0.61,18,30-11,20-21,9-7,29-23,112.9,108.2,4.7,W8,9-1
21,Western,6,Minnesota Timberwolves,49,33,0.598,19,25-16,24-17,11-5,33-19,114.3,109.3,5.0,W3,8-2
22,Western,7,Golden State Warriors,48,34,0.585,20,24-17,24-17,5-11,29-23,113.8,110.5,3.3,L1,7-3
23,Western,8,Memphis Grizzlies,48,34,0.585,20,26-15,22-19,11-5,27-24,121.7,116.9,4.8,W1,4-6
24,Western,9,Sacramento Kings,40,42,0.488,28,20-21,20-21,5-11,26-26,115.7,115.3,0.4,W1,5-5
25,Western,10,Dallas Mavericks,39,43,0.476,29,22-18,17-25,8-8,23-29,114.2,115.4,-1.2,L1,4-6
26,Western,11,Phoenix Suns,36,46,0.439,32,24-17,12-29,9-7,22-30,113.6,116.6,-3.0,L1,1-9
27,Western,12,Portland Trail Blazers,36,46,0.439,32,22-19,14-27,6-10,19-33,110.9,113.9,-3.0,W1,4-6
28,Western,13,San Antonio Spurs,34,48,0.415,34,20-20,13-27,5-11,22-30,113.9,116.7,-2.8,W1,3-7
29,Western,14,New Orleans Pelicans,21,61,0.256,47,14-27,7-34,3-13,13-38,109.8,119.3,-9.5,L7,2-8
30,Western,15,Utah Jazz,17,65,0.207,51,10-31,7-34,3-13,8-44,111.9,121.2,-9.3,L2,1-9
