Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Boston Celtics,64,18,0.78,-,37-4,27-14,15-2,41-11,120.6,109.2,11.4,W2,7-3
2,Eastern,2,New York Knicks,50,32,0.61,14,27-14,23-18,12-5,35-17,112.8,108.2,4.6,W5,6-4
3,Eastern,3,Milwaukee Bucks,49,33,0.598,15,31-11,18-22,10-7,34-18,119.0,116.4,2.6,L2,3-7
4,Eastern,4,Cleveland Cavaliers,48,34,0.585,16,26-15,22-19,11-5,31-21,112.6,110.2,2.4,L1,4-6
5,Eastern,5,Orlando Magic,47,35,0.573,17,29-12,18-23,9-7,32-20,110.5,108.5,2.0,W1,5-5
6,Eastern,6,Indiana Pacers,47,35,0.573,17,26-15,21-20,11-6,32-20,123.3,120.2,3.1,W1,7-3
7,Eastern,7,Philadelphia 76ers,47,35,0.573,17,25-16,22-19,8-8,31-21,114.6,111.5,3.1,W8,8-2
8,Eastern,8,Miami Heat,46,36,0.561,18,22-19,24-17,13-3,32-20,110.1,108.4,1.7,W2,7-3
9,Eastern,9,Chicago Bulls,39,43,0.476,25,20-21,19-22,7-9,22-29,112.3,113.7,-1.4,L1,5-5
10,Eastern,10,Atlanta Hawks,36,46,0.439,28,21-20,15-26,8-8,22-30,118.3,120.5,-2.2,L6,3-7
11,Eastern,11,Brooklyn Nets,32,50,0.39,32,20-21,12-29,5-11,24-28,110.4,113.3,-2.9,L2,5-5
12,Eastern,12,Toronto Raptors,25,57,0.305,39,14-27,11-30,1-15,18-34,112.4,118.8,-6.4,L4,2-8
13,Eastern,13,Charlotte Hornets,21,61,0.256,43,11-30,10-31,6-10,14-38,106.6,116.8,-10.2,W1,3-7
14,Eastern,14,Washington Wizards,15,67,0.183,49,7-34,8-33,4-12,11-41,113.7,123.0,-9.3,L6,1-9
15,Eastern,15,Detroit Pistons,14,68,0.171,50,7-33,7-35,2-14,10-41,109.9,119.0,-9.1,L1,2-8
16,Western,1,Oklahoma City Thunder,57,25,0.695,-,33-8,24-17,12-4,36-16,120.1,112.7,7.4,W5,7-3
17,Western,2,Denver Nuggets,57,25,0.695,-,33-8,24-17,10-6,33-19,114.9,109.6,5.3,W1,6-4
18,Western,3,Minnesota Timberwolves,56,26,0.683,1,30-11,26-15,12-4,37-15,113.0,106.5,6.5,L1,6-4
19,Western,4,LA Clippers,51,31,0.622,6,25-16,26-15,9-7,30-22,115.6,112.3,3.3,L3,6-4
20,Western,5,Dallas Mavericks,50,32,0.61,7,25-16,25-16,11-5,31-21,117.9,115.6,2.3,L2,7-3
21,Western,6,Phoenix Suns,49,33,0.598,8,25-16,24-17,9-9,29-23,116.2,113.2,3.0,W3,7-3
22,Western,7,Los Angeles Lakers,47,35,0.573,10,28-14,19-21,7-10,27-25,118.0,117.4,0.6,W2,7-3
23,Western,8,New Orleans Pelicans,49,33,0.598,8,21-19,28-14,9-7,30-22,115.1,110.7,4.4,L1,5-5
24,Western,9,Sacramento Kings,46,36,0.561,11,24-17,22-19,10-7,30-22,116.6,114.8,1.8,W1,4-6
25,Western,10,Golden State Warriors,46,36,0.561,11,21-20,25-16,7-9,26-26,117.8,115.2,2.6,W1,8-2
26,Western,11,Houston Rockets,41,41,0.5,16,27-14,14-27,9-7,28-24,114.3,113.2,1.1,W2,4-6
27,Western,12,Utah Jazz,31,51,0.378,26,21-20,10-31,5-11,16-36,115.7,120.5,-4.8,L1,2-8
28,Western,13,Memphis Grizzlies,27,55,0.329,30,9-32,18-23,8-8,14-37,105.8,112.8,-7.0,L5,3-7
29,Western,14,San Antonio Spurs,22,60,0.268,35,12-29,10-31,3-13,14-37,112.1,118.6,-6.5,W2,6-4
30,Western,15,Portland Trail Blazers,21,61,0.256,36,11-30,10-31,1-15,8-44,106.4,115.4,-9.0,L5,2-8
