Rank,Conference,ConferenceRank,Team,W,L,PCT,GB,HOME,AWAY,DIV,CONF,PPG,OPP PPG,DIFF,STRK,L10
1,Eastern,1,Boston Celtics,15,67,0.183,54,11-30,4-37,0-0,0-0,100.6,107.9,-7.3,L1,2-8
2,Eastern,2,Philadelphia 76ers,22,60,0.268,47,11-30,11-30,0-0,0-0,100.2,106.7,-6.5,L2,1-9
3,Eastern,3,New Jersey Nets,26,56,0.317,43,16-25,10-31,0-0,0-0,97.2,101.8,-4.6,W2,3-7
4,Eastern,4,Toronto Raptors,30,52,0.366,39,18-23,12-29,0-0,0-0,95.5,98.6,-3.1,W2,5-5
5,Eastern,5,Milwaukee Bucks,33,49,0.402,36,20-21,13-28,0-0,0-0,95.3,97.2,-1.9,W1,4-6
6,Eastern,6,Indiana Pacers,39,43,0.476,30,21-20,18-23,0-0,0-0,95.4,94.4,1.0,L3,4-6
7,Eastern,7,Cleveland Cavaliers,42,40,0.512,27,25-16,17-24,0-0,0-0,87.5,85.6,1.9,L1,5-5
8,Eastern,8,Chicago Bulls,69,13,0.841,-,39-2,30-11,0-0,0-0,103.1,92.3,10.8,L2,6-4
9,Eastern,9,Miami Heat,61,21,0.744,8,29-12,32-9,0-0,0-0,94.8,89.3,5.5,W1,7-3
10,Eastern,10,New York Knicks,57,25,0.695,12,31-10,26-15,0-0,0-0,95.4,92.2,3.2,W3,6-4
11,Eastern,11,Atlanta Hawks,56,26,0.683,13,36-5,20-21,0-0,0-0,94.8,89.4,5.4,L1,6-4
12,Eastern,12,Detroit Pistons,54,28,0.659,15,30-11,24-17,0-0,0-0,94.2,88.9,5.3,W1,4-6
13,Eastern,13,Charlotte Hornets,54,28,0.659,15,30-11,24-17,0-0,0-0,98.9,97.0,1.9,L2,8-2
14,Eastern,14,Orlando Magic,45,37,0.549,24,26-15,19-22,0-0,0-0,94.1,94.5,-0.4,L3,5-5
15,Eastern,15,Washington Wizards,44,38,0.537,25,25-16,19-22,0-0,0-0,99.4,97.7,1.7,W4,7-3
16,Western,1,Vancouver Grizzlies,14,68,0.171,50,8-33,6-35,0-0,0-0,89.2,99.4,-10.2,W1,2-8
17,Western,2,San Antonio Spurs,20,62,0.244,44,12-29,8-33,0-0,0-0,90.5,98.3,-7.8,L6,2-8
18,Western,3,Denver Nuggets,21,61,0.256,43,12-29,9-32,0-0,0-0,97.8,104.1,-6.3,W1,1-9
19,Western,4,Dallas Mavericks,24,58,0.293,40,14-27,10-31,0-0,0-0,90.6,97.0,-6.4,L2,2-8
20,Western,5,Golden State Warriors,30,52,0.366,34,18-23,12-29,0-0,0-0,99.6,104.4,-4.8,L2,4-6
21,Western,6,Sacramento Kings,34,48,0.415,30,22-19,12-29,0-0,0-0,96.4,99.8,-3.4,L1,5-5
22,Western,7,Utah Jazz,64,18,0.78,-,38-3,26-15,0-0,0-0,103.1,94.3,8.8,W4,9-1
23,Western,8,Seattle SuperSonics,57,25,0.695,7,31-10,26-15,0-0,0-0,100.9,93.2,7.7,W3,7-3
24,Western,9,Houston Rockets,57,25,0.695,7,30-11,27-14,0-0,0-0,100.6,96.1,4.5,W4,8-2
25,Western,10,Los Angeles Lakers,56,26,0.683,8,31-10,25-16,0-0,0-0,100.0,95.7,4.3,L1,7-3
26,Western,11,Portland Trail Blazers,49,33,0.598,15,29-12,20-21,0-0,0-0,99.0,94.8,4.2,W4,7-3
27,Western,12,Minnesota Timberwolves,40,42,0.488,24,25-16,15-26,0-0,0-0,96.1,97.6,-1.5,L1,5-5
28,Western,13,Phoenix Suns,40,42,0.488,24,25-16,15-26,0-0,0-0,102.8,102.2,0.6,L1,7-3
29,Western,14,LA Clippers,36,46,0.439,28,21-20,15-26,0-0,0-0,97.2,99.5,-2.3,L3,5-5
