clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,XVW,2,4,Western,1,1,2013-04-28,CEN,1,2,Central,1,1,2,48,53,1.104167,102,155,3.229167,24,20,57,77,3,3,39,15,11,0,18,10,8,19,27,2,1,15,6,5,0,7,2,4,1,1,7,5,Chicago,0.802083,77,0.625,30,0.520833,25,24,33,45,78,4,2,38,15,14,0,18,20122013,5,6,L,1,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,0,30,0,0.75,36,,True,,
z,XVE,1,2,Eastern,1,1,2013-04-28,ATL,1,1,Atlantic,1,1,2,48,46,0.958333,119,165,3.4375,24,27,52,79,6,0,36,17,16,0,18,10,15,25,40,2,0,16,7,7,0,8,4,2,2,2,12,0,Pittsburgh,0.75,72,0.6875,33,0.645833,31,24,19,67,86,6,0,36,16,15,0,18,20122013,0,3,W,1,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,0,29,0,0.75,36,,True,,
y,XVW,5,7,Western,2,2,2013-04-28,PAC,3,2,Pacific,1,1,2,48,22,0.458333,118,140,2.916667,24,11,61,72,7,1,33,14,13,0,16,10,0,23,23,4,1,11,4,4,0,5,7,15,3,3,12,6,Anaheim,0.6875,66,0.5,24,0.479167,23,24,11,57,68,5,5,33,10,10,0,14,20122013,3,6,L,1,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,0,28,0,0.625,30,,True,,
y,XVE,7,11,Eastern,2,2,2013-04-28,NE,3,4,Northeast,1,1,2,48,23,0.479167,126,149,3.104167,24,11,59,70,7,3,31,13,12,0,14,10,-6,35,29,6,0,8,4,4,0,4,13,24,4,4,14,5,Montréal,0.65625,63,0.541667,26,0.5,24,24,12,67,79,7,2,32,13,12,0,15,20122013,2,3,W,2,Montréal Canadiens,Canadiens de Montréal,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,27,0,0.604167,29,,True,,
x,XVE,2,12,Eastern,6,4,2013-04-28,NE,1,5,Northeast,3,2,2,48,22,0.458333,109,131,2.729167,24,20,51,71,5,3,35,13,12,0,16,10,-5,28,23,5,2,8,3,3,0,3,5,25,8,5,14,6,Boston,0.645833,62,0.5,24,0.479167,23,24,2,58,60,9,3,27,11,11,0,12,20122013,3,4,L,1,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,0,26,0,0.583333,28,,True,,
x,XVW,7,5,Western,4,4,2013-04-28,CEN,3,3,Central,2,2,2,48,14,0.291667,115,129,2.6875,24,7,52,59,8,1,31,13,11,0,15,10,5,17,22,3,0,14,5,5,0,7,14,7,7,6,17,2,St. Louis,0.625,60,0.5,24,0.416667,20,24,7,63,70,9,1,29,11,9,0,14,20122013,1,5,W,3,St. Louis Blues,Blues de St. Louis,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,0,25,0,0.604167,29,,True,,
x,XVW,1,2,Western,11,5,2013-04-28,PAC,1,1,Pacific,4,2,2,48,15,0.3125,118,133,2.770833,24,30,44,74,4,1,39,17,16,0,19,10,-4,26,22,3,2,12,4,3,0,5,1,12,22,7,16,5,Los Angeles,0.614583,59,0.520833,25,0.5,24,24,-15,74,59,12,4,20,8,8,0,8,20122013,4,2,W,1,Los Angeles Kings,Kings de Los Angeles,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,0,24,0,0.5625,27,,True,,
y,XVW,3,3,Western,3,3,2013-04-28,NW,1,1,Northwest,1,1,2,48,6,0.125,121,127,2.645833,24,16,54,70,6,3,33,11,11,0,15,10,-2,26,24,4,1,11,4,4,0,5,10,16,10,8,15,7,Vancouver,0.614583,59,0.4375,21,0.416667,20,24,-10,67,57,9,4,26,10,9,0,11,20122013,6,5,L,2,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_20072008-20182019_light.svg,0,23,0,0.541667,26,,True,,
x,XVE,8,9,Eastern,5,5,2013-04-28,NE,4,3,Northeast,2,3,2,48,12,0.25,133,145,3.020833,24,4,70,74,9,2,28,13,13,0,13,10,1,27,28,4,1,11,5,5,0,5,18,14,6,9,17,5,Toronto,0.59375,57,0.541667,26,0.5,24,24,8,63,71,8,3,29,13,11,0,13,20122013,5,0,L,1,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,0,22,0,0.541667,26,,True,,
y,XVE,3,1,Eastern,3,3,2013-04-28,SE,1,1,Southeast,1,1,2,48,19,0.395833,130,149,3.104167,24,17,60,77,8,1,31,14,11,0,15,10,14,22,36,1,1,17,8,6,0,8,12,1,9,10,18,3,Washington,0.59375,57,0.5,24,0.416667,20,24,2,70,72,10,2,26,10,9,0,12,20122013,0,3,W,1,Washington Capitals,Capitals de Washington,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,21,0,0.5625,27,,True,,
