clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,XVW,1,6,Western,3,1,2004-04-04,CEN,1,2,Central,1,1,2,82,66,0.804878,189,255,3.109756,41,60,82,142,7,0,64,30,26,4,30,10,2,28,30,3,0,13,6,6,1,6,1,10,11,1,21,2,Detroit,0.664634,109,0.585366,48,0.5,41,41,6,107,113,14,2,45,18,15,7,18,20032004,0,0,L,1,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,11,30,0,0.585366,48,,True,,
z,XVE,3,9,Eastern,2,1,2004-04-04,SE,1,2,Southeast,1,1,2,82,53,0.646341,192,245,2.987805,41,30,97,127,10,3,55,24,22,4,24,10,4,26,30,4,1,11,5,5,0,5,6,18,5,2,22,6,Tampa Bay,0.646341,106,0.560976,46,0.512195,42,41,23,95,118,12,3,51,22,20,4,22,20032004,0,0,L,1,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_20012002-20062007_light.svg,8,29,0,0.560976,46,,True,,
y,XVW,4,1,Western,2,2,2004-04-04,PAC,2,1,Pacific,1,1,2,82,36,0.439024,183,219,2.670732,41,32,82,114,8,2,57,24,22,7,24,10,10,22,32,2,0,16,8,6,0,8,3,1,7,3,21,6,San Jose,0.634146,104,0.52439,43,0.487805,40,41,4,101,105,13,4,47,19,18,5,19,20032004,0,0,W,1,San Jose Sharks,Sharks de San Jose,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_19981999-20062007_light.svg,12,28,0,0.52439,43,,True,,
y,XVE,9,6,Eastern,1,2,2004-04-04,NE,5,3,Northeast,1,1,2,82,21,0.256098,188,209,2.54878,41,-5,99,94,12,2,47,18,12,9,18,10,0,25,25,3,0,13,6,5,1,6,19,11,1,4,19,7,Boston,0.634146,104,0.5,41,0.402439,33,41,26,89,115,7,5,57,23,21,6,23,20032004,0,0,W,1,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19951996-20062007_light.svg,15,27,0,0.5,41,,True,,
x,XVE,7,1,Eastern,4,4,2004-04-04,NE,3,1,Northeast,2,2,2,82,38,0.463415,204,242,2.95122,41,10,104,114,14,2,49,22,22,3,22,10,12,22,34,2,0,15,7,6,1,7,13,2,2,5,24,3,Toronto,0.628049,103,0.54878,45,0.5,41,41,28,100,128,10,1,54,23,19,7,23,20032004,0,0,W,3,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,10,26,0,0.54878,45,,True,,
x,XVE,1,8,Eastern,6,5,2004-04-04,NE,1,4,Northeast,3,3,2,82,73,0.890244,189,262,3.195122,41,49,85,134,8,5,56,23,21,5,23,10,-2,29,27,3,1,12,5,4,1,5,4,17,10,6,23,6,Ottawa,0.621951,102,0.52439,43,0.487805,40,41,24,104,128,15,1,46,20,19,5,20,20032004,0,0,L,1,Ottawa Senators,Sénateurs d'Ottawa,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_19971998-20062007_light.svg,10,25,0,0.52439,43,,True,,Sénateurs
y,XVW,7,4,Western,4,3,2004-04-04,NW,2,2,Northwest,2,1,2,82,41,0.5,194,235,2.865854,41,16,102,118,13,0,49,21,14,7,21,10,9,21,30,2,1,14,6,5,1,6,15,4,4,7,24,5,Vancouver,0.615854,101,0.52439,43,0.390244,32,41,25,92,117,11,5,52,22,18,3,22,20032004,0,0,W,6,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_19971998-20062007_light.svg,10,23,0,0.52439,43,,True,,
y,XVE,4,10,Eastern,5,3,2004-04-04,ATL,2,4,Atlantic,2,1,2,82,43,0.52439,186,229,2.792683,41,33,90,123,11,3,54,24,23,3,24,10,1,22,23,4,0,10,4,4,2,4,7,20,8,8,21,6,Philadelphia,0.615854,101,0.487805,40,0.463415,38,41,10,96,106,10,3,47,16,15,12,16,20032004,0,0,T,1,Philadelphia Flyers,Flyers de Philadelphie,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,15,24,0,0.487805,40,,True,Philadelphie,
x,XVE,6,2,Eastern,3,6,2004-04-04,ATL,3,1,Atlantic,1,2,2,82,49,0.597561,164,213,2.597561,41,20,87,107,13,1,50,22,16,5,22,10,16,17,33,3,0,13,6,5,1,6,12,5,6,9,25,2,New Jersey,0.609756,100,0.52439,43,0.439024,36,41,29,77,106,12,1,50,21,20,7,21,20032004,0,0,L,1,New Jersey Devils,Devils du New Jersey,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,12,22,0,0.52439,43,,True,,
x,XVW,11,12,Western,1,4,2004-04-04,NW,5,5,Northwest,1,2,2,82,38,0.463415,198,236,2.878049,41,19,83,102,14,2,46,19,17,6,19,10,-10,28,18,5,2,7,2,2,1,2,20,25,3,10,22,7,Colorado,0.609756,100,0.487805,40,0.390244,32,41,19,115,134,8,5,54,21,15,7,21,20032004,0,0,OT,1,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,13,21,0,0.487805,40,,True,,
