clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,E,1,8,Eastern,2,1,2014-04-13,A,1,5,Atlantic,1,1,2,82,84,1.02439,177,261,3.182927,41,60,71,131,7,3,65,30,26,0,31,10,7,24,31,2,3,13,4,4,0,5,1,12,4,1,19,9,Boston,0.713415,117,0.621951,51,0.573171,47,41,24,106,130,12,6,52,21,21,0,23,20132014,6,3,L,1,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,0,30,0,0.658537,54,,True,,
z,W,2,3,Western,2,1,2014-04-13,P,2,1,Pacific,1,1,2,82,57,0.695122,209,266,3.243902,41,49,92,141,8,4,62,28,23,0,29,10,8,27,35,2,1,15,6,4,0,7,3,4,2,2,20,8,Anaheim,0.707317,116,0.621951,51,0.536585,44,41,8,117,125,12,4,54,23,21,0,25,20132014,6,3,W,4,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_20132014-20232024_light.svg,0,29,0,0.658537,54,,True,,
y,W,6,2,Western,1,2,2014-04-13,C,4,2,Central,1,1,2,82,30,0.365854,220,250,3.04878,41,26,105,131,11,4,56,23,20,0,26,10,7,22,29,1,2,16,6,4,0,7,8,2,1,3,22,8,Colorado,0.682927,112,0.573171,47,0.45122,37,41,4,115,119,11,4,56,24,17,0,26,20132014,4,5,OT,1,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,28,0,0.634146,52,,True,,
x,W,4,14,Western,3,3,2014-04-13,C,2,7,Central,2,2,2,82,57,0.695122,191,248,3.02439,41,42,97,139,9,4,60,24,23,0,28,10,-13,28,15,7,0,6,2,2,0,3,6,28,5,4,23,7,St. Louis,0.676829,111,0.52439,43,0.487805,40,41,15,94,109,14,3,51,19,17,0,24,20132014,3,9,L,6,St. Louis Blues,Blues de St. Louis,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,0,27,0,0.634146,52,,True,,
x,W,1,7,Western,5,4,2014-04-13,P,1,3,Pacific,3,2,2,82,49,0.597561,200,249,3.036585,41,46,88,134,7,5,63,24,22,0,29,10,1,27,28,4,1,11,5,5,0,5,2,18,9,5,22,9,San Jose,0.676829,111,0.5,41,0.45122,37,41,3,112,115,15,4,48,17,15,0,22,20132014,7,10,W,2,San Jose Sharks,Sharks de San Jose,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,0,26,0,0.621951,51,,True,,
y,E,2,11,Eastern,3,2,2014-04-13,M,1,6,Metropolitan,2,1,2,82,42,0.512195,207,249,3.036585,41,39,96,135,9,4,60,25,23,0,28,10,-2,27,25,3,2,12,3,3,0,5,5,17,7,6,24,7,Pittsburgh,0.664634,109,0.536585,44,0.487805,40,41,3,111,114,15,3,49,19,17,0,23,20132014,3,7,OT,2,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,0,25,0,0.621951,51,,True,,
x,W,3,10,Western,6,5,2014-04-13,C,1,6,Central,3,3,2,82,47,0.573171,220,267,3.256098,41,46,97,143,7,7,61,24,23,0,27,10,-7,34,27,5,0,10,4,3,0,5,4,23,11,7,21,15,Chicago,0.652439,107,0.487805,40,0.47561,39,41,1,123,124,14,8,46,16,16,0,19,20132014,8,6,L,2,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,0,24,0,0.560976,46,,True,,
x,E,3,4,Eastern,7,3,2014-04-13,A,2,3,Atlantic,5,2,2,82,25,0.304878,215,240,2.926829,41,25,105,130,10,6,56,22,20,0,25,10,4,22,26,3,0,14,5,4,0,7,9,7,14,8,27,9,Tampa Bay,0.615854,101,0.463415,38,0.390244,32,41,0,110,110,17,3,45,16,12,0,21,20132014,6,8,W,4,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,23,0,0.560976,46,,True,,
x,E,5,2,Eastern,4,4,2014-04-13,A,3,2,Atlantic,2,3,2,82,11,0.134146,204,215,2.621951,41,10,91,101,13,5,51,23,19,0,23,10,8,21,29,2,1,15,6,5,0,7,12,5,8,9,28,8,Montréal,0.609756,100,0.487805,40,0.402439,33,41,1,113,114,15,3,49,17,14,0,23,20132014,3,6,W,1,Montréal Canadiens,Canadiens de Montréal,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,21,0,0.560976,46,,True,,
x,W,8,6,Western,4,6,2014-04-13,P,3,2,Pacific,2,3,2,82,32,0.390244,174,206,2.512195,41,21,85,106,14,4,50,20,17,0,23,10,6,23,29,3,2,12,4,4,0,5,14,15,6,10,28,8,Los Angeles,0.609756,100,0.463415,38,0.414634,34,41,11,89,100,14,4,50,18,17,0,23,20132014,6,8,OT,1,Los Angeles Kings,Kings de Los Angeles,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,0,22,0,0.560976,46,,True,,
