clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,XVW,1,3,Western,1,1,2011-04-10,NW,1,1,Northwest,1,1,2,82,77,0.939024,185,262,3.195122,41,42,93,135,9,5,59,25,23,0,27,10,9,16,25,3,0,14,7,6,0,7,1,8,1,1,19,9,Vancouver,0.713415,117,0.609756,50,0.560976,46,41,35,92,127,10,4,58,25,23,0,27,20102011,5,4,W,2,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_20072008-20182019_light.svg,0,30,0,0.658537,54,,True,,
z,XVE,1,4,Eastern,3,1,2011-04-10,SE,1,2,Southeast,1,1,2,82,27,0.329268,197,224,2.731707,41,24,100,124,8,8,58,23,16,0,25,10,8,21,29,2,1,15,5,3,0,7,2,6,9,2,23,11,Washington,0.652439,107,0.52439,43,0.414634,34,41,3,97,100,15,3,49,20,18,0,23,20102011,6,5,L,1,Washington Capitals,Capitals de Washington,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,29,0,0.585366,48,,True,,
y,XVE,5,12,Eastern,1,2,2011-04-10,ATL,2,4,Atlantic,1,1,2,82,36,0.439024,223,259,3.158537,41,21,109,130,12,7,51,22,20,0,22,10,-1,28,27,4,3,9,3,3,0,3,11,23,3,3,23,12,Philadelphia,0.646341,106,0.536585,44,0.5,41,41,15,114,129,11,5,55,22,21,0,25,20102011,7,3,W,1,Philadelphia Flyers,Flyers de Philadelphie,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,0,28,0,0.573171,47,,True,Philadelphie,
x,XVE,3,2,Eastern,4,4,2011-04-10,ATL,1,1,Atlantic,2,2,2,82,39,0.47561,199,238,2.902439,41,25,94,119,14,2,52,22,20,0,25,10,8,22,30,2,0,16,3,3,0,8,9,2,4,4,25,8,Pittsburgh,0.646341,106,0.47561,39,0.414634,34,41,14,105,119,11,6,54,17,14,0,24,20102011,3,10,W,4,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,0,27,0,0.597561,49,,True,,
y,XVW,3,1,Western,3,2,2011-04-10,PAC,1,1,Pacific,1,1,2,82,35,0.426829,213,248,3.02439,41,27,103,130,11,5,55,23,21,0,25,10,17,25,42,2,1,15,7,7,0,7,4,3,6,5,25,9,San Jose,0.640244,105,0.52439,43,0.463415,38,41,8,110,118,14,4,50,20,17,0,23,20102011,5,5,W,1,San Jose Sharks,Sharks de San Jose,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,0,26,0,0.585366,48,,True,,
y,XVW,10,11,Western,2,3,2011-04-10,CEN,3,4,Central,1,1,2,82,20,0.243902,241,261,3.182927,41,0,129,129,14,6,48,21,16,0,21,10,-9,37,28,4,2,10,4,3,0,4,17,21,2,6,25,10,Detroit,0.634146,104,0.52439,43,0.414634,34,41,20,112,132,11,4,56,22,18,0,26,20102011,4,4,W,1,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,25,0,0.573171,47,,True,,
y,XVE,6,6,Eastern,2,3,2011-04-10,NE,2,2,Northeast,1,1,2,82,51,0.621951,195,246,3.0,41,32,92,124,13,6,50,22,21,0,22,10,10,19,29,3,1,13,6,6,0,6,14,11,5,7,25,11,Boston,0.628049,103,0.536585,44,0.52439,43,41,19,103,122,12,5,53,22,22,0,24,20102011,6,2,L,1,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,0,24,0,0.560976,46,,True,,
x,XVE,4,5,Eastern,7,5,2011-04-10,SE,2,3,Southeast,2,2,2,82,7,0.085366,240,247,3.012195,41,26,111,137,11,5,55,22,19,0,25,10,10,23,33,3,0,14,7,7,0,7,5,7,12,8,25,11,Tampa Bay,0.628049,103,0.487805,40,0.390244,32,41,-19,129,110,14,6,48,18,13,0,21,20102011,6,6,W,2,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_20072008-20102011_light.svg,0,23,0,0.560976,46,,True,,
x,XVW,4,4,Western,6,4,2011-04-10,PAC,2,2,Pacific,3,2,2,82,4,0.04878,235,239,2.914634,41,17,110,127,13,2,54,25,21,0,26,10,8,27,35,3,0,14,7,6,0,7,6,9,13,9,30,5,Anaheim,0.603659,99,0.52439,43,0.414634,34,41,-13,125,112,17,3,45,18,13,0,21,20102011,2,4,W,3,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,0,20,0,0.573171,47,,True,,
x,XVW,2,2,Western,10,5,2011-04-10,CEN,1,1,Central,3,2,2,82,25,0.304878,194,219,2.670732,41,25,91,116,9,8,56,22,21,0,24,10,8,25,33,2,1,15,7,6,0,7,3,4,17,10,27,11,Nashville,0.603659,99,0.463415,38,0.439024,36,41,0,103,103,18,3,43,16,15,0,20,20102011,4,6,L,1,Nashville Predators,Predators de Nashville,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_19981999-20102011_light.svg,0,22,0,0.536585,44,,True,,
