clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,,0,0,,0,0,2021-05-20,WST,1,1,Honda West,2,1,2,56,64,1.142857,133,197,3.517857,28,56,54,110,4,2,46,22,20,0,22,10,14,21,35,2,0,16,8,7,0,8,1,1,5,1,13,4,Colorado,0.732143,82,0.696429,39,0.625,35,28,8,79,87,9,2,36,17,15,0,17,20202021,1,0,,,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,0,0,0.696429,39,,True,,
x,,0,0,,0,0,2021-05-20,WST,2,3,Honda West,1,2,2,56,67,1.196429,124,191,3.410714,28,36,62,98,5,2,44,20,17,0,21,10,14,22,36,3,0,14,7,4,0,7,5,10,4,2,14,2,Vegas,0.732143,82,0.696429,39,0.535714,30,28,31,62,93,9,0,38,19,13,0,19,20202021,2,1,,,Vegas Golden Knights,Golden Knights de Vegas,Golden Knights,VGK,https://assets.nhle.com/logos/nhl/svg/VGK_light.svg,0,0,0,0.714286,40,,True,,
y,,0,0,,0,0,2021-05-20,CEN,1,4,Discover Central,2,1,2,56,43,0.767857,136,179,3.196429,28,37,58,95,3,5,45,19,16,0,20,10,3,26,29,2,3,13,5,4,0,5,4,13,8,3,12,8,Carolina,0.714286,80,0.571429,32,0.482143,27,28,6,78,84,9,3,35,13,11,0,16,20202021,2,4,,,Carolina Hurricanes,Hurricanes de la Caroline,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,0,0,0.642857,36,,True,Caroline,
x,,0,0,,0,0,2021-05-20,CEN,2,1,Discover Central,1,2,2,56,36,0.642857,153,189,3.375,28,28,66,94,5,3,43,20,16,0,20,10,14,28,42,2,0,16,8,5,0,8,7,4,6,4,14,5,Florida,0.705357,79,0.642857,36,0.464286,26,28,8,87,95,9,2,36,16,10,0,17,20202021,2,1,,,Florida Panthers,Panthers de la Floride,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,0,0,0,0.660714,37,,True,Floride,
y,,0,0,,0,0,2021-05-20,EST,1,1,MassMutual East,3,1,2,56,40,0.714286,156,196,3.5,28,40,62,102,4,2,46,20,19,0,22,10,13,24,37,2,0,16,8,7,0,8,2,2,13,5,16,3,Pittsburgh,0.6875,77,0.607143,34,0.517857,29,28,0,94,94,12,1,31,14,10,0,15,20202021,1,3,,,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,0,0,0.660714,37,,True,,
y,,0,0,,0,0,2021-05-20,NTH,1,1,Scotia North,2,1,2,56,39,0.696429,148,187,3.339286,28,21,74,95,7,3,39,18,14,0,18,10,15,22,37,1,2,16,7,7,0,7,9,3,3,6,14,7,Toronto,0.6875,77,0.607143,34,0.517857,29,28,18,74,92,7,4,38,16,15,0,17,20202021,0,1,,,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,0,0,0.625,35,,True,,
x,,0,0,,0,0,2021-05-20,EST,4,2,MassMutual East,1,2,2,56,28,0.5,163,191,3.410714,28,7,80,87,8,3,37,16,13,0,17,10,6,22,28,2,1,15,6,5,0,7,11,7,2,7,15,5,Washington,0.6875,77,0.589286,33,0.517857,29,28,21,83,104,7,2,40,17,16,0,19,20202021,2,3,,,Washington Capitals,Capitals de Washington,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,0,0,0.642857,36,,True,,
x,,0,0,,0,0,2021-05-20,CEN,3,3,Discover Central,3,3,2,56,34,0.607143,147,181,3.232143,28,32,65,97,7,0,42,21,18,0,21,10,2,26,28,3,1,13,6,5,0,6,8,12,11,8,17,3,Tampa Bay,0.669643,75,0.625,35,0.517857,29,28,2,82,84,10,3,33,14,11,0,15,20202021,2,1,,,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,0,0,0.642857,36,,True,,
x,,0,0,,0,0,2021-05-20,WST,3,4,Honda West,4,3,2,56,21,0.375,160,181,3.232143,28,31,70,101,5,2,44,21,16,0,21,10,-4,40,36,3,2,12,5,2,0,5,6,15,12,9,16,5,Minnesota,0.669643,75,0.607143,34,0.482143,27,28,-10,90,80,11,3,31,13,11,0,14,20202021,1,1,,,Minnesota Wild,Wild du Minnesota,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,0,0,0,0.625,35,,True,,
x,,0,0,,0,0,2021-05-20,EST,3,3,MassMutual East,2,3,2,56,32,0.571429,136,168,3.0,28,27,70,97,7,3,39,15,13,0,18,10,13,19,32,3,1,13,6,5,0,6,10,11,9,10,16,7,Boston,0.651786,73,0.517857,29,0.446429,25,28,5,66,71,9,4,34,14,12,0,15,20202021,2,4,,,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,0,0,0,0.589286,33,,True,,
