Rank,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
1,Atlantic,1,Toronto Maple Leafs,82,52,26,4,108,41,51,1,2,27-13-1,25-13-3,268,231,+37,9-1-0,W5
2,Atlantic,2,Tampa Bay Lightning,82,47,27,8,102,41,45,2,3,29-8-4,18-19-4,294,219,+75,5-2-3,L1
3,Atlantic,3,Florida Panthers,82,47,31,4,98,37,41,6,0,27-12-2,20-19-2,252,223,+29,3-6-1,L2
4,Atlantic,4,Ottawa Senators,82,45,30,7,97,35,44,1,2,27-11-3,18-19-4,243,234,+9,6-2-2,W1
5,Atlantic,5,Montreal Canadiens,82,40,31,11,91,30,38,2,4,23-12-6,17-19-5,245,265,-20,7-1-2,W1
6,Atlantic,6,Detroit Red Wings,82,39,35,8,86,30,36,3,0,22-16-3,17-19-5,238,259,-21,6-2-2,L1
7,Atlantic,7,Buffalo Sabres,82,36,39,7,79,29,32,4,2,23-15-3,13-24-4,269,289,-20,6-3-1,W1
8,Atlantic,8,Boston Bruins,82,33,39,10,76,26,33,0,1,20-14-7,13-25-3,222,272,-50,3-6-1,L1
9,Metropolitan,1,Washington Capitals,82,51,22,9,111,43,49,2,3,26-9-6,25-13-3,288,232,+56,4-6-0,L1
10,Metropolitan,2,Carolina Hurricanes,82,47,30,5,99,42,47,0,3,31-9-1,16-21-4,266,233,+33,3-6-1,L3
11,Metropolitan,3,New Jersey Devils,82,42,33,7,91,36,40,2,2,19-17-5,23-16-2,242,222,+20,5-5-0,L1
12,Metropolitan,4,Columbus Blue Jackets,82,40,33,9,89,30,34,6,1,26-10-5,14-23-4,273,268,+5,7-3-0,W6
13,Metropolitan,5,New York Rangers,82,39,36,7,85,35,38,1,0,19-19-3,20-17-4,256,255,+1,5-4-1,W2
14,Metropolitan,6,New York Islanders,82,35,35,12,82,28,33,2,3,19-17-5,16-18-7,224,260,-36,3-5-2,L2
15,Metropolitan,7,Pittsburgh Penguins,82,34,36,12,80,24,33,1,6,21-15-5,13-21-7,243,293,-50,5-4-1,W1
16,Metropolitan,8,Philadelphia Flyers,82,33,39,10,76,21,27,6,3,20-20-1,13-19-9,238,286,-48,5-4-1,L3
17,Central,1,Winnipeg Jets,82,56,22,4,116,43,54,2,1,30-7-4,26-15-0,277,191,+86,7-3-0,W1
18,Central,2,Dallas Stars,82,50,26,6,106,41,48,2,2,28-10-3,22-16-3,277,224,+53,3-5-2,L7
19,Central,3,Colorado Avalanche,82,49,29,4,102,40,45,4,3,26-12-3,23-17-1,277,234,+43,5-4-1,W1
20,Central,4,Minnesota Wild,82,45,30,7,97,33,42,3,3,22-17-2,23-13-5,228,239,-11,5-3-2,W2
21,Central,5,St. Louis Blues,82,44,30,8,96,32,40,4,2,24-14-3,20-16-5,254,233,+21,7-2-1,W1
22,Central,6,Utah Mammoth,82,38,31,13,89,30,37,1,4,18-15-8,20-16-5,241,251,-10,6-2-2,L1
23,Central,7,Nashville Predators,82,30,44,8,68,24,28,2,0,20-18-3,10-26-5,214,274,-60,3-7-0,W1
24,Central,8,Chicago Blackhawks,82,25,46,11,61,20,23,2,4,15-20-6,10-26-5,226,296,-70,4-4-2,W2
25,Pacific,1,Vegas Golden Knights,82,50,22,10,110,46,49,1,5,29-9-3,21-13-7,275,219,+56,6-2-2,W1
26,Pacific,2,Los Angeles Kings,82,48,25,9,105,43,47,1,3,31-6-4,17-19-5,250,206,+44,8-2-0,L1
27,Pacific,3,Edmonton Oilers,82,48,29,5,101,36,48,0,1,25-13-3,23-16-2,259,236,+23,7-3-0,W1
28,Pacific,4,Calgary Flames,82,41,27,14,96,31,36,5,2,23-12-6,18-15-8,225,238,-13,7-1-2,W4
29,Pacific,5,Vancouver Canucks,82,38,30,14,90,28,35,3,2,17-16-8,21-14-6,236,253,-17,4-4-2,L1
30,Pacific,6,Anaheim Ducks,82,35,37,10,80,24,31,4,2,21-18-2,14-19-8,221,263,-42,3-5-2,L4
31,Pacific,7,Seattle Kraken,82,35,41,6,76,28,33,2,3,18-18-5,17-23-1,247,265,-18,5-5-0,L1
32,Pacific,8,San Jose Sharks,82,20,50,12,52,14,18,2,5,12-27-2,8-23-10,210,315,-105,0-7-3,L11
