Rank,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
1,Atlantic,1,Boston Bruins,82,65,12,5,135,54,61,4,3,34-4-3,31-8-2,305,177,+128,9-1-0,W8
2,Atlantic,2,Toronto Maple Leafs,82,50,21,11,111,42,49,1,2,27-8-6,23-13-5,279,222,+57,7-1-2,W4
3,Atlantic,3,Tampa Bay Lightning,82,46,30,6,98,38,43,3,2,28-8-5,18-22-1,283,254,+29,4-6-0,W1
4,Atlantic,4,Florida Panthers,82,42,32,8,92,36,40,2,1,23-13-5,19-19-3,290,273,+17,6-3-1,L2
5,Atlantic,5,Buffalo Sabres,82,42,33,7,91,30,39,3,3,17-20-4,25-13-3,296,300,-4,7-2-1,W2
6,Atlantic,6,Ottawa Senators,82,39,35,8,86,31,37,2,1,24-14-3,15-21-5,261,271,-10,4-3-3,L1
7,Atlantic,7,Detroit Red Wings,82,35,37,10,80,28,32,3,4,19-17-5,16-20-5,240,279,-39,4-5-1,L5
8,Atlantic,8,Montreal Canadiens,82,31,45,6,68,21,26,5,2,17-21-3,14-24-3,232,307,-75,3-7-0,L3
9,Metropolitan,1,Carolina Hurricanes,82,52,21,9,113,39,48,4,3,28-10-3,24-11-6,266,213,+53,5-5-0,W2
10,Metropolitan,2,New Jersey Devils,82,52,22,8,112,39,50,2,4,24-13-4,28-9-4,291,226,+65,7-3-0,W2
11,Metropolitan,3,New York Rangers,82,47,22,13,107,37,43,4,3,23-13-5,24-9-8,277,219,+58,5-2-3,L2
12,Metropolitan,4,New York Islanders,82,42,31,9,93,36,41,1,5,25-13-3,17-18-6,243,222,+21,5-4-1,W1
13,Metropolitan,5,Pittsburgh Penguins,82,40,31,11,91,31,39,1,1,23-13-5,17-18-6,262,264,-2,5-4-1,L2
14,Metropolitan,6,Washington Capitals,82,35,37,10,80,27,33,2,4,18-16-7,17-21-3,255,265,-10,2-6-2,L2
15,Metropolitan,7,Philadelphia Flyers,82,31,38,13,75,26,29,2,1,18-18-5,13-20-8,222,277,-55,3-6-1,W2
16,Metropolitan,8,Columbus Blue Jackets,82,25,48,9,59,15,24,1,1,16-23-2,9-25-7,214,330,-116,2-6-2,L1
17,Central,1,Colorado Avalanche,82,51,24,7,109,36,45,6,3,22-13-6,29-11-1,280,226,+54,8-1-1,W2
18,Central,2,Dallas Stars,82,47,21,14,108,39,43,4,3,22-10-9,25-11-5,285,218,+67,8-2-0,W6
19,Central,3,Minnesota Wild,82,46,25,11,103,34,39,7,6,25-12-4,21-13-7,246,225,+21,5-3-2,L2
20,Central,4,Winnipeg Jets,82,46,33,3,95,36,45,1,1,26-13-2,20-20-1,247,225,+22,6-4-0,L1
21,Central,5,Nashville Predators,82,42,32,8,92,29,36,6,2,22-15-4,20-17-4,229,238,-9,6-4-0,L1
22,Central,6,St. Louis Blues,82,37,38,7,81,27,34,3,3,18-17-6,19-21-1,263,301,-38,4-5-1,L3
23,Central,7,Arizona Coyotes,82,28,40,14,70,20,25,3,4,21-15-5,7-25-9,228,299,-71,1-7-2,L2
24,Central,8,Chicago Blackhawks,82,26,49,7,59,18,24,2,2,14-23-4,12-26-3,204,301,-97,2-7-1,L1
25,Pacific,1,Vegas Golden Knights,82,51,22,9,111,38,46,5,4,25-15-1,26-7-8,272,229,+43,6-1-3,W2
26,Pacific,2,Edmonton Oilers,82,50,23,9,109,45,50,0,4,23-12-6,27-11-3,325,260,+65,9-0-1,W9
27,Pacific,3,Los Angeles Kings,82,47,25,10,104,37,41,6,3,26-11-4,21-14-6,280,257,+23,5-5-0,W2
28,Pacific,4,Seattle Kraken,82,46,28,8,100,37,46,0,4,20-17-4,26-11-4,289,256,+33,6-4-0,L2
29,Pacific,5,Calgary Flames,82,38,27,17,93,31,36,2,5,20-16-5,18-11-12,260,252,+8,6-2-2,W1
30,Pacific,6,Vancouver Canucks,82,38,37,7,83,24,32,6,2,19-20-2,19-17-5,276,298,-22,5-3-2,W2
31,Pacific,7,San Jose Sharks,82,22,44,16,60,16,21,1,6,8-22-11,14-22-5,234,321,-87,3-6-1,L6
32,Pacific,8,Anaheim Ducks,82,23,47,12,58,13,20,3,3,12-25-4,11-22-8,209,338,-129,0-8-2,L13
