Rank,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
1,Atlantic,1,Tampa Bay Lightning,76,48,22,6,102,39,44,4,2,25-13-1,23-9-5,277,211,+66,7-1-2,W2
2,Atlantic,2,Buffalo Sabres,77,46,23,8,100,38,41,5,0,24-10-4,22-13-4,266,231,+35,5-3-2,L2
3,Atlantic,3,Montreal Canadiens,77,45,22,10,100,32,42,3,5,22-14-2,23-8-8,269,242,+27,8-2-0,L1
4,Atlantic,4,Boston Bruins,78,43,26,9,95,31,39,4,3,28-10-1,15-16-8,259,240,+19,6-3-1,L3
5,Atlantic,5,Ottawa Senators,77,40,27,10,90,34,37,3,1,20-12-6,20-15-4,258,238,+20,6-3-1,W1
6,Atlantic,6,Detroit Red Wings,77,40,29,8,88,29,38,2,3,20-15-3,20-14-5,225,234,-9,4-6-0,L2
7,Atlantic,7,Toronto Maple Leafs,77,32,31,14,78,23,31,1,4,18-12-8,14-19-6,242,275,-33,4-4-2,L2
8,Atlantic,8,Florida Panthers,77,37,37,3,77,29,32,5,1,21-15-3,16-22-0,230,262,-32,4-6-0,L2
9,Metropolitan,1,Carolina Hurricanes,77,49,22,6,104,36,44,5,3,28-10-2,21-12-4,275,228,+47,7-3-0,L1
10,Metropolitan,2,Pittsburgh Penguins,78,40,22,16,96,33,37,3,10,20-12-8,20-10-8,280,250,+30,6-4-0,W2
11,Metropolitan,3,Philadelphia Flyers,77,39,26,12,90,24,30,9,4,18-13-8,21-13-4,228,231,-3,7-3-0,W2
12,Metropolitan,4,New York Islanders,78,42,31,5,89,28,38,4,5,21-14-2,21-17-3,226,229,-3,3-7-0,L4
13,Metropolitan,5,Columbus Blue Jackets,77,38,27,12,88,27,32,6,2,20-11-8,18-16-4,241,238,+3,3-6-1,L6
14,Metropolitan,6,Washington Capitals,78,39,30,9,87,33,37,2,6,24-11-5,15-19-4,248,240,+8,6-3-1,L1
15,Metropolitan,7,New Jersey Devils,77,40,34,3,83,28,36,4,1,20-15-3,20-19-0,218,234,-16,6-3-1,W1
16,Metropolitan,8,New York Rangers,78,33,36,9,75,24,30,3,1,14-19-7,19-17-2,229,238,-9,5-4-1,W2
17,Central,1,Colorado Avalanche,76,50,16,10,110,44,47,3,6,24-9-5,26-7-5,287,196,+91,6-3-1,L1
18,Central,2,Dallas Stars,77,45,20,12,102,35,40,5,4,23-11-4,22-9-8,258,211,+47,3-5-2,L1
19,Central,3,Minnesota Wild,77,44,21,12,100,29,40,4,5,21-10-8,23-11-4,256,223,+33,6-4-0,W3
20,Central,4,Utah Mammoth,76,40,30,6,86,31,40,0,0,19-14-3,21-16-3,248,218,+30,6-4-0,W3
21,Central,5,Nashville Predators,76,36,31,9,81,26,31,5,1,20-15-3,16-16-6,231,253,-22,7-3-0,W2
22,Central,6,St. Louis Blues,76,33,31,12,78,29,32,1,4,18-12-7,15-19-5,205,238,-33,6-2-2,W2
23,Central,7,Winnipeg Jets,76,33,31,12,78,26,31,2,4,18-14-6,15-17-6,215,232,-17,5-3-2,W1
24,Central,8,Chicago Blackhawks,77,28,35,14,70,21,25,3,5,13-16-8,15-19-6,200,253,-53,3-5-2,W1
25,Pacific,1,Edmonton Oilers,77,39,29,9,87,30,39,0,3,21-14-4,18-15-5,265,257,+8,7-3-0,L1
26,Pacific,2,Anaheim Ducks,77,41,31,5,87,24,33,8,0,23-12-3,18-19-2,257,271,-14,4-4-2,L5
27,Pacific,3,Vegas Golden Knights,77,35,26,16,86,27,34,1,7,18-12-9,17-14-7,247,240,+7,4-4-2,W3
28,Pacific,4,Los Angeles Kings,76,31,26,19,81,19,27,4,9,12-17-9,19-9-10,208,234,-26,4-2-4,W1
29,Pacific,5,San Jose Sharks,75,36,32,7,79,24,34,2,1,20-13-5,16-19-2,231,267,-36,4-5-1,L1
30,Pacific,6,Seattle Kraken,75,32,32,11,75,25,31,1,6,17-16-5,15-16-6,210,237,-27,2-6-2,L4
31,Pacific,7,Calgary Flames,76,32,36,8,72,25,28,4,3,21-12-5,11-24-3,199,243,-44,6-3-1,W1
32,Pacific,8,Vancouver Canucks,76,22,46,8,52,15,17,5,2,8-26-5,14-20-3,201,295,-94,2-8-0,L2
