clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,XVE,1,1,Eastern,1,1,1994-04-14,ATL,1,1,Atlantic,1,1,2,84,68,0.809524,231,299,3.559524,42,42,111,153,8,0,62,28,27,6,28,10,10,24,34,2,0,15,7,7,1,7,1,2,1,1,24,0,NY Rangers,0.666667,112,0.619048,52,0.583333,49,42,26,120,146,16,0,50,24,22,2,24,19931994,0,0,T,1,New York Rangers,Rangers de New York,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_19781979-19981999_light.svg,8,26,0,0.619048,52,,True,,
x,XVE,2,5,Eastern,4,2,1994-04-14,ATL,2,3,Atlantic,2,2,2,84,86,1.02381,220,306,3.642857,42,61,99,160,11,0,60,29,29,2,29,10,12,24,36,4,0,11,5,5,1,5,2,9,6,2,25,0,New Jersey,0.630952,106,0.559524,47,0.547619,46,42,25,121,146,14,0,46,18,17,10,18,19931994,0,0,W,1,New Jersey Devils,Devils du New Jersey,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_19921993-19981999_light.svg,12,25,0,0.559524,47,,True,,
y,XVE,3,4,Eastern,7,3,1994-04-14,NE,1,2,Northeast,3,1,2,84,14,0.166667,285,299,3.559524,42,31,130,161,9,0,58,25,23,8,25,10,0,32,32,4,0,12,6,6,0,6,3,7,10,3,27,0,Pittsburgh,0.60119,101,0.52381,44,0.47619,40,42,-17,155,138,18,0,43,19,17,5,19,19931994,0,0,W,1,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_19921993-19981999_light.svg,13,24,0,0.52381,44,,True,,
z,XVW,4,7,Western,1,1,1994-04-14,CEN,3,2,Central,1,1,2,84,81,0.964286,275,356,4.238095,42,60,122,182,13,0,52,23,23,6,23,10,14,28,42,4,0,10,4,4,2,4,8,15,3,4,30,0,Detroit,0.595238,100,0.547619,46,0.488095,41,42,21,153,174,17,0,48,23,18,2,23,19931994,0,0,L,1,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,8,23,0,0.547619,46,,True,,
x,XVW,5,10,Western,2,2,1994-04-14,CEN,4,5,Central,2,2,2,84,37,0.440476,243,280,3.333333,42,33,115,148,15,0,50,23,21,4,23,10,5,33,38,6,0,8,4,4,0,4,9,19,5,5,29,0,Toronto,0.583333,98,0.511905,43,0.464286,39,42,4,128,132,14,0,48,20,18,8,20,19931994,0,0,W,1,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,12,22,0,0.511905,43,,True,,
x,XVE,6,8,Eastern,2,4,1994-04-14,NE,3,3,Northeast,1,2,2,84,37,0.440476,252,289,3.440476,42,26,125,151,14,0,48,20,20,8,20,10,2,33,35,4,0,11,5,5,1,5,11,12,2,6,29,0,Boston,0.577381,97,0.5,42,0.47619,40,42,11,127,138,15,0,49,22,20,5,22,19931994,0,0,L,1,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_19491950-19941995_light.svg,13,21,0,0.5,42,,True,,
x,XVW,3,5,Western,3,4,1994-04-14,CEN,2,1,Central,3,3,2,84,21,0.25,265,286,3.404762,42,29,119,148,12,0,53,23,22,7,23,10,0,35,35,3,0,11,4,4,3,4,7,13,8,7,29,0,Dallas,0.577381,97,0.5,42,0.428571,36,42,-8,146,138,17,0,44,19,14,6,19,19931994,0,0,W,2,Dallas Stars,Stars de Dallas,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_19931994_light.svg,13,19,0,0.5,42,,True,,
y,XVW,1,2,Western,5,3,1994-04-14,PAC,1,2,Pacific,2,1,2,84,46,0.547619,256,302,3.595238,42,40,116,156,12,0,55,25,23,5,25,10,12,25,37,2,0,14,6,6,2,6,5,3,12,8,29,0,Calgary,0.577381,97,0.5,42,0.464286,39,42,6,140,146,17,0,42,17,16,8,17,19931994,0,0,L,1,Calgary Flames,Flames de Calgary,Flames,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_19801981-19931994_light.svg,13,20,0,0.5,42,,True,,
x,XVE,4,12,Eastern,8,5,1994-04-14,NE,2,6,Northeast,4,3,2,84,35,0.416667,248,283,3.369048,42,45,114,159,12,0,56,26,23,4,26,10,-10,36,26,6,0,7,3,3,1,3,4,22,15,9,29,0,Montréal,0.571429,96,0.488095,41,0.452381,38,42,-10,134,124,17,0,40,15,15,10,15,19931994,0,0,L,1,Montréal Canadiens,Canadiens de Montréal,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_19561957-19981999_light.svg,14,18,0,0.488095,41,,True,,
x,XVE,7,3,Eastern,3,6,1994-04-14,NE,4,1,Northeast,2,4,2,84,64,0.761905,218,282,3.357143,42,33,107,140,17,0,47,22,22,3,22,10,14,22,36,4,0,12,6,6,0,6,13,5,4,10,32,0,Buffalo,0.565476,95,0.511905,43,0.511905,43,42,31,111,142,15,0,48,21,21,6,21,19931994,0,0,L,2,Buffalo Sabres,Sabres de Buffalo,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_19701971-19951996_light.svg,9,17,0,0.511905,43,,True,,
x,XVW,2,8,Western,8,5,1994-04-14,CEN,1,3,Central,5,4,2,84,-13,-0.154762,283,270,3.214286,42,24,136,160,11,0,54,23,21,8,23,10,1,33,34,4,0,10,4,4,2,4,6,16,17,11,33,0,St. Louis,0.541667,91,0.47619,40,0.428571,36,42,-37,147,110,22,0,37,17,15,3,17,19931994,0,0,W,1,St. Louis Blues,Blues de St. Louis,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_19891990-19971998_light.svg,11,16,0,0.47619,40,,True,,
x,XVE,9,7,Eastern,5,7,1994-04-14,ATL,4,5,Atlantic,3,3,2,84,14,0.166667,263,277,3.297619,42,12,128,140,16,0,43,17,17,9,17,10,3,37,40,4,0,11,5,5,1,5,17,11,7,12,35,0,Washington,0.52381,88,0.464286,39,0.440476,37,42,2,135,137,19,0,45,22,20,1,22,19931994,0,0,W,3,Washington Capitals,Capitals de Washington,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_19741975-19941995_light.svg,10,15,0,0.464286,39,,True,,
x,XVW,7,9,Western,7,6,1994-04-14,CEN,5,4,Central,4,5,2,84,14,0.166667,240,254,3.02381,42,11,126,137,16,0,47,21,20,5,21,10,-4,34,30,5,0,9,4,4,1,4,14,17,14,13,36,0,Chicago,0.517857,87,0.464286,39,0.440476,37,42,3,114,117,20,0,40,18,17,4,18,19931994,0,0,L,1,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19891990-19951996_light.svg,9,14,0,0.464286,39,,True,,
x,XVW,8,6,Western,4,7,1994-04-14,PAC,3,5,Pacific,1,2,2,84,3,0.035714,276,279,3.321429,42,-2,135,133,19,0,43,20,17,3,20,10,-6,33,27,5,0,10,5,4,0,5,16,14,11,14,40,0,Vancouver,0.505952,85,0.488095,41,0.428571,36,42,5,141,146,21,0,42,21,19,0,21,19931994,0,0,W,1,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_19921993-19961997_light.svg,3,13,0,0.488095,41,,True,,
x,XVE,5,2,Eastern,11,8,1994-04-14,ATL,3,2,Atlantic,7,4,2,84,18,0.214286,264,282,3.357143,42,32,116,148,15,0,50,23,21,4,23,10,5,26,31,2,0,13,5,4,3,5,10,4,20,15,36,0,NY Islanders,0.5,84,0.428571,36,0.369048,31,42,-14,148,134,21,0,34,13,10,8,13,19931994,0,0,L,1,New York Islanders,Islanders de New York,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_19721973-19941995_light.svg,12,12,0,0.428571,36,,True,,
,XVE,11,10,Eastern,6,9,1994-04-14,ATL,6,6,Atlantic,4,5,2,84,0,0.0,233,233,2.77381,42,0,115,115,18,0,39,15,13,9,15,10,-2,28,26,4,0,8,2,2,4,2,20,20,9,16,34,0,Florida,0.494048,83,0.392857,33,0.369048,31,42,0,118,118,16,0,44,18,18,8,18,19931994,0,0,W,1,Florida Panthers,Panthers de la Floride,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_19931994-19981999_light.svg,17,11,0,0.392857,33,,True,Floride,
x,XVW,6,1,Western,9,8,1994-04-14,PAC,2,1,Pacific,4,3,2,84,-13,-0.154762,265,252,3.0,42,4,133,137,13,0,48,19,19,10,19,10,15,29,44,2,0,15,7,7,1,7,12,1,19,17,35,0,San Jose,0.488095,82,0.392857,33,0.369048,31,42,-17,132,115,22,0,34,14,12,6,14,19931994,0,0,T,1,San Jose Sharks,Sharks de San Jose,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_19911992-19971998_light.svg,16,10,0,0.392857,33,,True,,
,XVE,10,13,Eastern,9,10,1994-04-14,ATL,5,7,Atlantic,5,6,2,84,-20,-0.238095,314,294,3.5,42,8,147,155,20,0,41,19,17,3,19,10,-8,36,28,5,0,7,2,2,3,2,18,23,16,18,39,0,Philadelphia,0.47619,80,0.416667,35,0.380952,32,42,-28,167,139,19,0,39,16,15,7,16,19931994,0,0,T,1,Philadelphia Flyers,Flyers de Philadelphie,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_19671968-19981999_light.svg,10,9,0,0.416667,35,,True,Philadelphie,
,XVE,8,9,Eastern,12,11,1994-04-14,NE,5,4,Northeast,5,5,2,84,-15,-0.178571,292,277,3.297619,42,8,143,151,17,0,44,19,19,6,19,10,-5,39,34,5,0,9,4,4,1,4,15,18,21,19,42,0,Quebec,0.452381,76,0.404762,34,0.404762,34,42,-23,149,126,25,0,32,15,15,2,15,19931994,0,0,L,1,Quebec Nordiques,Nordiques de Québec,Nordiques,QUE,https://assets.nhle.com/logos/nhl/svg/QUE_19791980-19941995_light.svg,8,8,0,0.404762,34,,True,Québec,
,XVW,12,3,Western,6,9,1994-04-14,PAC,6,3,Pacific,3,4,2,84,-22,-0.261905,251,229,2.72619,42,-14,129,115,26,0,30,14,13,2,14,10,4,21,25,4,0,12,6,5,0,6,25,6,13,20,46,0,Anaheim,0.422619,71,0.392857,33,0.369048,31,42,-8,122,114,20,0,41,19,18,3,19,19931994,0,0,L,2,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_19931994-19951996_light.svg,5,7,0,0.392857,33,,True,,
,XVE,13,6,Eastern,10,12,1994-04-14,ATL,7,4,Atlantic,6,7,2,84,-27,-0.321429,251,224,2.666667,42,-19,126,107,22,0,34,14,13,6,14,10,4,22,26,4,0,11,5,4,1,5,24,10,18,21,43,0,Tampa Bay,0.422619,71,0.357143,30,0.321429,27,42,-8,125,117,21,0,37,16,14,5,16,19931994,0,0,W,1,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_19921993-20002001_light.svg,11,6,0,0.357143,30,,True,,
