Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
11,2025,Metropolitan,3,New York Islanders,67.0,38.0,24.0,5.0,81.0,24.0,34.0,4.0,5.0,18-11-2,20-13-3,197.0,191.0,6.0,7-3-0,W1
12,2025,Metropolitan,4,Columbus Blue Jackets,66.0,34.0,21.0,11.0,79.0,23.0,28.0,6.0,1.0,17-8-7,17-13-4,212.0,208.0,4.0,5-1-4,W1
13,2025,Metropolitan,5,Philadelphia Flyers,66.0,31.0,23.0,12.0,74.0,20.0,23.0,8.0,4.0,15-11-8,16-12-4,191.0,205.0,-14.0,6-3-1,L1
14,2025,Metropolitan,6,Washington Capitals,68.0,33.0,27.0,8.0,74.0,28.0,32.0,1.0,6.0,20-11-4,13-16-4,212.0,203.0,9.0,5-4-1,L1
15,2025,Metropolitan,7,New Jersey Devils,66.0,33.0,31.0,2.0,68.0,22.0,29.0,4.0,0.0,17-15-2,16-16-0,176.0,201.0,-25.0,5-5-0,W1
16,2025,Metropolitan,8,New York Rangers,67.0,28.0,31.0,8.0,64.0,19.0,25.0,3.0,0.0,9-16-6,19-15-2,190.0,209.0,-19.0,6-2-2,L1
17,2025,Central,1,Colorado Avalanche,65.0,44.0,12.0,9.0,97.0,39.0,41.0,3.0,5.0,23-5-4,21-7-5,247.0,163.0,84.0,7-3-0,L1
18,2025,Central,2,Dallas Stars,66.0,42.0,14.0,10.0,94.0,33.0,38.0,4.0,4.0,22-7-4,20-7-6,232.0,178.0,54.0,9-0-1,W4
19,2025,Central,3,Minnesota Wild,68.0,38.0,18.0,12.0,88.0,25.0,34.0,4.0,5.0,19-9-8,19-9-4,226.0,196.0,30.0,4-4-2,L3
20,2025,Central,4,Utah Mammoth,67.0,34.0,27.0,6.0,74.0,26.0,34.0,0.0,0.0,18-11-3,16-16-3,208.0,188.0,20.0,4-4-2,L4
21,2025,Central,5,Nashville Predators,66.0,29.0,28.0,9.0,67.0,22.0,26.0,3.0,1.0,17-13-3,12-15-6,195.0,225.0,-30.0,3-5-2,L2
22,2025,Central,6,Winnipeg Jets,66.0,28.0,28.0,10.0,66.0,23.0,27.0,1.0,2.0,17-13-5,11-15-5,188.0,202.0,-14.0,6-2-2,W2
23,2025,Central,7,St. Louis Blues,67.0,27.0,30.0,10.0,64.0,24.0,26.0,1.0,3.0,15-12-7,12-18-3,177.0,222.0,-45.0,7-2-1,L1
24,2025,Central,8,Chicago Blackhawks,66.0,25.0,30.0,11.0,61.0,18.0,22.0,3.0,5.0,13-15-5,12-15-6,175.0,213.0,-38.0,3-5-2,L1
25,2025,Pacific,1,Anaheim Ducks,67.0,37.0,27.0,3.0,77.0,22.0,29.0,8.0,0.0,22-10-1,15-17-2,223.0,233.0,-10.0,6-4-0,W1
26,2025,Pacific,2,Vegas Golden Knights,67.0,31.0,22.0,14.0,76.0,23.0,30.0,1.0,6.0,16-10-7,15-12-7,220.0,209.0,11.0,4-6-0,W2
27,2025,Pacific,3,Edmonton Oilers,68.0,33.0,26.0,9.0,75.0,25.0,33.0,0.0,3.0,17-11-4,16-15-5,238.0,232.0,6.0,5-4-1,W1
28,2025,Pacific,4,Seattle Kraken,66.0,31.0,26.0,9.0,71.0,25.0,30.0,1.0,4.0,17-13-5,14-13-4,191.0,199.0,-8.0,4-6-0,W2
29,2025,Pacific,5,Los Angeles Kings,67.0,28.0,24.0,15.0,71.0,18.0,24.0,4.0,6.0,10-15-7,18-9-8,180.0,201.0,-21.0,5-4-1,W1
30,2025,Pacific,6,San Jose Sharks,65.0,32.0,27.0,6.0,70.0,20.0,30.0,2.0,1.0,17-10-5,15-17-1,204.0,229.0,-25.0,5-3-2,L1
31,2025,Pacific,7,Calgary Flames,67.0,26.0,34.0,7.0,59.0,22.0,24.0,2.0,3.0,16-12-4,10-22-3,167.0,212.0,-45.0,2-7-1,L2
32,2025,Pacific,8,Vancouver Canucks,66.0,20.0,38.0,8.0,48.0,13.0,15.0,5.0,2.0,7-21-5,13-17-3,171.0,246.0,-75.0,2-6-2,L1
1,2024,Atlantic,1,Toronto Maple Leafs,82.0,52.0,26.0,4.0,108.0,41.0,51.0,1.0,2.0,27-13-1,25-13-3,268.0,231.0,37.0,9-1-0,W5
2,2024,Atlantic,2,Tampa Bay Lightning,82.0,47.0,27.0,8.0,102.0,41.0,45.0,2.0,3.0,29-8-4,18-19-4,294.0,219.0,75.0,5-2-3,L1
3,2024,Atlantic,3,Florida Panthers,82.0,47.0,31.0,4.0,98.0,37.0,41.0,6.0,0.0,27-12-2,20-19-2,252.0,223.0,29.0,3-6-1,L2
4,2024,Atlantic,4,Ottawa Senators,82.0,45.0,30.0,7.0,97.0,35.0,44.0,1.0,2.0,27-11-3,18-19-4,243.0,234.0,9.0,6-2-2,W1
5,2024,Atlantic,5,Montreal Canadiens,82.0,40.0,31.0,11.0,91.0,30.0,38.0,2.0,4.0,23-12-6,17-19-5,245.0,265.0,-20.0,7-1-2,W1
6,2024,Atlantic,6,Detroit Red Wings,82.0,39.0,35.0,8.0,86.0,30.0,36.0,3.0,0.0,22-16-3,17-19-5,238.0,259.0,-21.0,6-2-2,L1
7,2024,Atlantic,7,Buffalo Sabres,82.0,36.0,39.0,7.0,79.0,29.0,32.0,4.0,2.0,23-15-3,13-24-4,269.0,289.0,-20.0,6-3-1,W1
8,2024,Atlantic,8,Boston Bruins,82.0,33.0,39.0,10.0,76.0,26.0,33.0,0.0,1.0,20-14-7,13-25-3,222.0,272.0,-50.0,3-6-1,L1
9,2024,Metropolitan,1,Washington Capitals,82.0,51.0,22.0,9.0,111.0,43.0,49.0,2.0,3.0,26-9-6,25-13-3,288.0,232.0,56.0,4-6-0,L1
10,2024,Metropolitan,2,Carolina Hurricanes,82.0,47.0,30.0,5.0,99.0,42.0,47.0,0.0,3.0,31-9-1,16-21-4,266.0,233.0,33.0,3-6-1,L3
11,2024,Metropolitan,3,New Jersey Devils,82.0,42.0,33.0,7.0,91.0,36.0,40.0,2.0,2.0,19-17-5,23-16-2,242.0,222.0,20.0,5-5-0,L1
12,2024,Metropolitan,4,Columbus Blue Jackets,82.0,40.0,33.0,9.0,89.0,30.0,34.0,6.0,1.0,26-10-5,14-23-4,273.0,268.0,5.0,7-3-0,W6
13,2024,Metropolitan,5,New York Rangers,82.0,39.0,36.0,7.0,85.0,35.0,38.0,1.0,0.0,19-19-3,20-17-4,256.0,255.0,1.0,5-4-1,W2
14,2024,Metropolitan,6,New York Islanders,82.0,35.0,35.0,12.0,82.0,28.0,33.0,2.0,3.0,19-17-5,16-18-7,224.0,260.0,-36.0,3-5-2,L2
15,2024,Metropolitan,7,Pittsburgh Penguins,82.0,34.0,36.0,12.0,80.0,24.0,33.0,1.0,6.0,21-15-5,13-21-7,243.0,293.0,-50.0,5-4-1,W1
