Rank,Year,Division,DivisionRank,Team,GP,W,L,OTL,PTS,RW,ROW,SOW,SOL,HOME,AWAY,GF,GA,DIFF,L10,STRK
21,2021,Central,5,Nashville Predators,82.0,45.0,30.0,7.0,97.0,35.0,41.0,4.0,2.0,25-14-2,20-16-5,266.0,252.0,14.0,4-4-2,L1
22,2021,Central,6,Winnipeg Jets,82.0,39.0,32.0,11.0,89.0,32.0,37.0,2.0,4.0,23-15-3,16-17-8,252.0,257.0,-5.0,6-4-0,W4
23,2021,Central,7,Chicago Blackhawks,82.0,28.0,42.0,12.0,68.0,16.0,22.0,6.0,2.0,14-21-6,14-21-6,219.0,291.0,-72.0,4-5-1,L1
24,2021,Central,8,Arizona Coyotes,82.0,25.0,50.0,7.0,57.0,18.0,24.0,1.0,4.0,11-27-3,14-23-4,207.0,313.0,-106.0,3-5-2,W3
25,2021,Pacific,1,Calgary Flames,82.0,50.0,21.0,11.0,111.0,44.0,48.0,2.0,2.0,25-9-7,25-12-4,293.0,208.0,85.0,6-2-2,L2
26,2021,Pacific,2,Edmonton Oilers,82.0,49.0,27.0,6.0,104.0,38.0,44.0,5.0,1.0,28-12-1,21-15-5,290.0,252.0,38.0,7-2-1,W3
27,2021,Pacific,3,Los Angeles Kings,82.0,44.0,27.0,11.0,99.0,35.0,40.0,4.0,4.0,21-16-4,23-11-7,239.0,236.0,3.0,6-3-1,L1
28,2021,Pacific,4,Vegas Golden Knights,82.0,43.0,31.0,8.0,94.0,34.0,39.0,4.0,4.0,22-15-4,21-16-4,266.0,248.0,18.0,4-2-4,W1
29,2021,Pacific,5,Vancouver Canucks,82.0,40.0,30.0,12.0,92.0,32.0,37.0,3.0,5.0,20-14-7,20-16-5,249.0,236.0,13.0,6-2-2,L1
30,2021,Pacific,6,San Jose Sharks,82.0,32.0,37.0,13.0,77.0,22.0,29.0,3.0,3.0,18-18-5,14-19-8,214.0,264.0,-50.0,3-4-3,L3
31,2021,Pacific,7,Anaheim Ducks,82.0,31.0,37.0,14.0,76.0,22.0,27.0,4.0,5.0,17-19-5,14-18-9,232.0,271.0,-39.0,3-5-2,L1
32,2021,Pacific,8,Seattle Kraken,82.0,27.0,49.0,6.0,60.0,23.0,24.0,3.0,1.0,16-22-3,11-27-3,216.0,285.0,-69.0,4-6-0,L1
1,2020,x --FLAFlorida Panthers,1,Tampa Bay Lightning,,,,,,,,,,,,,,,,
2,2020,x --FLAFlorida Panthers,2,Tampa Bay Lightning,,,,,,,,,,,,,,,,
3,2020,x --FLAFlorida Panthers,3,Nashville Predators,,,,,,,,,,,,,,,,
4,2020,x --FLAFlorida Panthers,4,Dallas Stars,,,,,,,,,,,,,,,,
5,2020,x --FLAFlorida Panthers,5,Chicago Blackhawks,,,,,,,,,,,,,,,,
6,2020,x --FLAFlorida Panthers,6,Detroit Red Wings,,,,,,,,,,,,,,,,
7,2020,x --FLAFlorida Panthers,7,Detroit Red Wings,,,,,,,,,,,,,,,,
8,2020,x --FLAFlorida Panthers,8,Columbus Blue Jackets,,,,,,,,,,,,,,,,
9,2020,x --WSHWashington Capitals,1,Boston Bruins,,,,,,,,,,,,,,,,
10,2020,x --WSHWashington Capitals,2,New York Islanders,,,,,,,,,,,,,,,,
11,2020,x --WSHWashington Capitals,3,New York Rangers,,,,,,,,,,,,,,,,
12,2020,x --WSHWashington Capitals,4,Philadelphia Flyers,,,,,,,,,,,,,,,,
13,2020,x --WSHWashington Capitals,5,New Jersey Devils,,,,,,,,,,,,,,,,
14,2020,x --WSHWashington Capitals,6,Buffalo Sabres,,,,,,,,,,,,,,,,
15,2020,x --EDMEdmonton Oilers,1,Winnipeg Jets,,,,,,,,,,,,,,,,
16,2020,x --EDMEdmonton Oilers,2,Montreal Canadiens,,,,,,,,,,,,,,,,
17,2020,x --EDMEdmonton Oilers,3,Calgary Flames,,,,,,,,,,,,,,,,
18,2020,x --EDMEdmonton Oilers,4,Ottawa Senators,,,,,,,,,,,,,,,,
19,2020,x --EDMEdmonton Oilers,5,Vancouver Canucks,,,,,,,,,,,,,,,,
20,2020,x --VGKVegas Golden Knights,1,Minnesota Wild,,,,,,,,,,,,,,,,
21,2020,x --VGKVegas Golden Knights,2,St. Louis Blues,,,,,,,,,,,,,,,,
22,2020,x --VGKVegas Golden Knights,3,Arizona Coyotes,,,,,,,,,,,,,,,,
23,2020,x --VGKVegas Golden Knights,4,Los Angeles Kings,,,,,,,,,,,,,,,,
24,2020,x --VGKVegas Golden Knights,5,San Jose Sharks,,,,,,,,,,,,,,,,
25,2020,x --VGKVegas Golden Knights,6,Anaheim Ducks,,,,,,,,,,,,,,,,
1,2019,Atlantic,1,Boston Bruins,70.0,44.0,14.0,12.0,100.0,38.0,44.0,0.0,7.0,22-4-9,22-10-3,227.0,174.0,53.0,7-3-0,W1
2,2019,Atlantic,2,Tampa Bay Lightning,70.0,43.0,21.0,6.0,92.0,35.0,41.0,2.0,1.0,22-10-2,21-11-4,245.0,195.0,50.0,3-6-1,L2
3,2019,Atlantic,3,Toronto Maple Leafs,70.0,36.0,25.0,9.0,81.0,28.0,35.0,1.0,5.0,18-9-7,18-16-2,238.0,227.0,11.0,5-4-1,W1
4,2019,Atlantic,4,Florida Panthers,69.0,35.0,26.0,8.0,78.0,30.0,32.0,3.0,4.0,17-14-4,18-12-4,231.0,228.0,3.0,4-4-2,W2
5,2019,Atlantic,5,Montreal Canadiens,71.0,31.0,31.0,9.0,71.0,19.0,27.0,4.0,1.0,14-17-6,17-14-3,212.0,221.0,-9.0,4-5-1,L3
6,2019,Atlantic,6,Buffalo Sabres,69.0,30.0,31.0,8.0,68.0,22.0,28.0,2.0,2.0,20-11-4,10-20-4,195.0,217.0,-22.0,3-7-0,W1
7,2019,Atlantic,7,Ottawa Senators,71.0,25.0,34.0,12.0,62.0,18.0,24.0,1.0,5.0,18-13-6,7-21-6,191.0,243.0,-52.0,4-6-1,L2
8,2019,Atlantic,8,Detroit Red Wings,71.0,17.0,49.0,5.0,39.0,13.0,14.0,3.0,2.0,12-23-2,5-26-3,145.0,267.0,-122.0,3-6-1,L1
9,2019,Metropolitan,1,Washington Capitals,69.0,41.0,20.0,8.0,90.0,31.0,37.0,4.0,3.0,18-10-5,23-10-3,240.0,215.0,25.0,4-3-3,L1
10,2019,Metropolitan,2,Philadelphia Flyers,69.0,41.0,21.0,7.0,89.0,31.0,36.0,5.0,5.0,25-6-4,16-15-3,232.0,196.0,36.0,9-1-0,L1
11,2019,Metropolitan,3,Pittsburgh Penguins,69.0,40.0,23.0,6.0,86.0,29.0,37.0,3.0,0.0,23-8-4,17-15-2,224.0,196.0,28.0,3-7-0,W1
12,2019,Metropolitan,4,Carolina Hurricanes,68.0,38.0,25.0,5.0,81.0,27.0,33.0,5.0,0.0,19-12-2,19-13-3,222.0,193.0,29.0,5-4-1,W3
13,2019,Metropolitan,5,New York Islanders,68.0,35.0,23.0,10.0,80.0,24.0,32.0,3.0,3.0,20-9-6,15-14-4,192.0,193.0,-1.0,2-4-4,L7
14,2019,Metropolitan,6,Columbus Blue Jackets,70.0,33.0,22.0,15.0,81.0,25.0,33.0,0.0,4.0,20-12-4,13-10-11,180.0,187.0,-7.0,3-4-3,W1
15,2019,Metropolitan,7,New York Rangers,70.0,37.0,28.0,5.0,79.0,31.0,36.0,1.0,2.0,18-16-2,19-12-3,234.0,222.0,12.0,5-4-1,L1
16,2019,Metropolitan,8,New Jersey Devils,69.0,28.0,29.0,12.0,68.0,22.0,24.0,4.0,6.0,13-11-10,15-18-2,189.0,230.0,-41.0,6-2-2,L1
17,2019,Central,1,St. Louis Blues,71.0,42.0,19.0,10.0,94.0,33.0,40.0,2.0,3.0,23-7-5,19-12-5,225.0,193.0,32.0,8-2-0,W1
18,2019,Central,2,Colorado Avalanche,70.0,42.0,20.0,8.0,92.0,37.0,41.0,1.0,1.0,18-9-6,24-11-2,237.0,191.0,46.0,7-2-1,W1
19,2019,Central,3,Dallas Stars,69.0,37.0,24.0,8.0,82.0,26.0,35.0,2.0,3.0,19-12-3,18-12-5,180.0,177.0,3.0,3-7-2,L6
20,2019,Central,4,Nashville Predators,69.0,35.0,26.0,8.0,78.0,28.0,32.0,3.0,3.0,17-14-4,18-12-4,215.0,217.0,-2.0,6-3-1,W3
21,2019,Central,5,Winnipeg Jets,71.0,37.0,28.0,6.0,80.0,30.0,34.0,3.0,2.0,20-14-3,17-14-3,216.0,203.0,13.0,6-3-1,W4
22,2019,Central,6,Minnesota Wild,69.0,35.0,27.0,7.0,77.0,30.0,33.0,2.0,3.0,19-11-5,16-16-2,220.0,220.0,0.0,7-3-0,W1
23,2019,Central,7,Chicago Blackhawks,70.0,32.0,30.0,8.0,72.0,23.0,28.0,4.0,4.0,16-14-4,16-16-4,212.0,218.0,-6.0,6-4-0,W1
24,2019,Pacific,1,Vegas Golden Knights,71.0,39.0,24.0,8.0,86.0,30.0,36.0,3.0,2.0,22-11-4,17-13-4,227.0,211.0,16.0,8-2-0,W2
25,2019,Pacific,2,Edmonton Oilers,71.0,37.0,25.0,9.0,83.0,31.0,35.0,2.0,2.0,17-11-6,20-14-3,225.0,217.0,8.0,5-3-2,L2
26,2019,Pacific,3,Vancouver Canucks,69.0,36.0,27.0,6.0,78.0,27.0,32.0,4.0,3.0,22-9-4,14-18-2,228.0,217.0,11.0,4-5-1,W1
27,2019,Pacific,4,Calgary Flames,70.0,36.0,27.0,7.0,79.0,25.0,30.0,6.0,1.0,16-13-4,20-14-3,210.0,215.0,-5.0,6-3-1,L1
28,2019,Pacific,5,Arizona Coyotes,70.0,33.0,29.0,8.0,74.0,26.0,28.0,5.0,4.0,17-12-4,16-17-4,195.0,187.0,8.0,5-5-0,L2
29,2019,Pacific,6,Anaheim Ducks,71.0,29.0,33.0,9.0,67.0,20.0,24.0,5.0,1.0,16-15-5,13-18-4,187.0,226.0,-39.0,5-3-2,L1
30,2019,Pacific,7,Los Angeles Kings,70.0,29.0,35.0,6.0,64.0,21.0,28.0,1.0,3.0,19-13-2,10-22-4,178.0,212.0,-34.0,8-2-1,W7
31,2019,Pacific,8,San Jose Sharks,70.0,29.0,36.0,5.0,63.0,22.0,27.0,2.0,1.0,17-17-2,12-19-3,182.0,226.0,-44.0,3-6-1,L4
1,2018,Atlantic,1,Tampa Bay Lightning,82.0,62.0,16.0,4.0,128.0,,56.0,6.0,1.0,32-7-2,30-9-2,325.0,222.0,103.0,7-3-0,W2
2,2018,Atlantic,2,Boston Bruins,82.0,49.0,24.0,9.0,107.0,,47.0,2.0,3.0,29-9-3,20-15-6,259.0,215.0,44.0,6-4-0,L1
3,2018,Atlantic,3,Toronto Maple Leafs,82.0,46.0,28.0,8.0,100.0,,46.0,0.0,2.0,23-16-2,23-12-6,286.0,251.0,35.0,3-4-3,L3
4,2018,Atlantic,4,Montreal Canadiens,82.0,44.0,30.0,8.0,96.0,,41.0,3.0,0.0,25-12-4,19-18-4,249.0,236.0,13.0,7-2-1,W1
5,2018,Atlantic,5,Florida Panthers,82.0,36.0,32.0,14.0,86.0,,33.0,3.0,7.0,20-13-8,16-19-6,267.0,280.0,-13.0,4-4-2,L2
6,2018,Atlantic,6,Buffalo Sabres,82.0,33.0,39.0,10.0,76.0,,28.0,5.0,3.0,21-15-5,12-24-5,226.0,271.0,-45.0,2-7-1,W2
7,2018,Atlantic,7,Detroit Red Wings,82.0,32.0,40.0,10.0,74.0,,29.0,3.0,5.0,17-19-5,15-21-5,227.0,277.0,-50.0,7-3-0,L2
8,2018,Atlantic,8,Ottawa Senators,82.0,29.0,47.0,6.0,64.0,,29.0,0.0,1.0,18-19-4,11-28-2,242.0,302.0,-60.0,4-6-0,L2
9,2018,Metropolitan,1,Washington Capitals,82.0,48.0,26.0,8.0,104.0,,44.0,4.0,1.0,24-11-6,24-15-2,278.0,249.0,29.0,6-3-1,L1
10,2018,Metropolitan,2,New York Islanders,82.0,48.0,27.0,7.0,103.0,,43.0,5.0,5.0,24-13-4,24-14-3,228.0,196.0,32.0,6-4-0,W2
11,2018,Metropolitan,3,Pittsburgh Penguins,82.0,44.0,26.0,12.0,100.0,,42.0,2.0,3.0,23-14-4,21-12-8,273.0,241.0,32.0,5-2-3,L1
12,2018,Metropolitan,4,Carolina Hurricanes,82.0,46.0,29.0,7.0,99.0,,44.0,2.0,2.0,24-13-4,22-16-3,245.0,223.0,22.0,6-4-0,W3
13,2018,Metropolitan,5,Columbus Blue Jackets,82.0,47.0,31.0,4.0,98.0,,45.0,2.0,1.0,22-17-2,25-14-2,258.0,232.0,26.0,7-3-0,W2
14,2018,Metropolitan,6,Philadelphia Flyers,82.0,37.0,37.0,8.0,82.0,,34.0,3.0,1.0,19-18-4,18-19-4,244.0,281.0,-37.0,2-8-0,L5
15,2018,Metropolitan,7,New York Rangers,82.0,32.0,36.0,14.0,78.0,,26.0,6.0,5.0,18-14-9,14-22-5,227.0,272.0,-45.0,4-5-1,W1
16,2018,Metropolitan,8,New Jersey Devils,82.0,31.0,41.0,10.0,72.0,,28.0,3.0,4.0,20-14-7,11-27-3,222.0,275.0,-53.0,4-5-1,W1
17,2018,Central,1,Nashville Predators,82.0,47.0,29.0,6.0,100.0,,43.0,4.0,2.0,25-14-2,22-15-4,240.0,214.0,26.0,7-2-1,W3
18,2018,Central,2,Winnipeg Jets,82.0,47.0,30.0,5.0,99.0,,45.0,2.0,1.0,25-12-4,22-18-1,272.0,244.0,28.0,4-5-1,W1
19,2018,Central,3,St. Louis Blues,82.0,45.0,28.0,9.0,99.0,,42.0,3.0,3.0,24-15-2,21-13-7,247.0,223.0,24.0,8-1-1,W2
20,2018,Central,4,Dallas Stars,82.0,43.0,32.0,7.0,93.0,,42.0,1.0,2.0,24-14-3,19-18-4,210.0,202.0,8.0,6-3-1,W1
21,2018,Central,5,Colorado Avalanche,82.0,38.0,30.0,14.0,90.0,,36.0,2.0,2.0,21-14-6,17-16-8,260.0,246.0,14.0,7-1-2,L1
22,2018,Central,6,Chicago Blackhawks,82.0,36.0,34.0,12.0,84.0,,33.0,3.0,1.0,19-14-8,17-20-4,270.0,292.0,-22.0,4-4-2,L1
23,2018,Central,7,Minnesota Wild,82.0,37.0,36.0,9.0,83.0,,36.0,1.0,4.0,16-18-7,21-18-2,211.0,237.0,-26.0,3-6-1,L2
24,2018,Pacific,1,Calgary Flames,82.0,50.0,25.0,7.0,107.0,,50.0,0.0,4.0,26-10-5,24-15-2,289.0,227.0,62.0,6-4-0,L2
25,2018,Pacific,2,San Jose Sharks,82.0,46.0,27.0,9.0,101.0,,46.0,0.0,3.0,25-11-5,21-16-4,289.0,261.0,28.0,3-6-1,W2
26,2018,Pacific,3,Vegas Golden Knights,82.0,43.0,32.0,7.0,93.0,,40.0,3.0,2.0,24-12-5,19-20-2,249.0,230.0,19.0,3-5-2,L2
27,2018,Pacific,4,Arizona Coyotes,82.0,39.0,35.0,8.0,86.0,,35.0,4.0,3.0,20-17-4,19-18-4,213.0,223.0,-10.0,3-5-2,L1
28,2018,Pacific,5,Vancouver Canucks,82.0,35.0,36.0,11.0,81.0,,29.0,6.0,6.0,20-16-5,15-20-6,225.0,254.0,-29.0,5-4-1,L2
29,2018,Pacific,6,Anaheim Ducks,82.0,35.0,37.0,10.0,80.0,,32.0,3.0,3.0,19-14-8,16-23-2,199.0,251.0,-52.0,7-2-1,W3
30,2018,Pacific,7,Edmonton Oilers,82.0,35.0,38.0,9.0,79.0,,32.0,3.0,3.0,18-19-4,17-19-5,232.0,274.0,-42.0,3-5-2,W1
31,2018,Pacific,8,Los Angeles Kings,82.0,31.0,42.0,9.0,71.0,,28.0,3.0,4.0,17-21-3,14-21-6,202.0,263.0,-61.0,6-3-1,W1
1,2017,Atlantic,1,Tampa Bay Lightning,82.0,54.0,23.0,5.0,113.0,,48.0,6.0,2.0,29-10-2,25-13-3,296.0,236.0,60.0,5-4-1,L1
2,2017,Atlantic,2,Boston Bruins,82.0,50.0,20.0,12.0,112.0,,47.0,3.0,3.0,28-8-5,22-12-7,270.0,214.0,56.0,5-3-2,L1
3,2017,Atlantic,3,Toronto Maple Leafs,82.0,49.0,26.0,7.0,105.0,,42.0,7.0,2.0,29-10-2,20-16-5,277.0,232.0,45.0,6-4-0,W1
4,2017,Atlantic,4,Florida Panthers,82.0,44.0,30.0,8.0,96.0,,41.0,3.0,3.0,27-11-3,17-19-5,248.0,246.0,2.0,7-2-1,W5
5,2017,Atlantic,5,Detroit Red Wings,82.0,30.0,39.0,13.0,73.0,,25.0,5.0,1.0,16-16-9,14-23-4,217.0,255.0,-38.0,4-4-2,L3
6,2017,Atlantic,6,Montreal Canadiens,82.0,29.0,40.0,13.0,71.0,,27.0,2.0,6.0,18-14-9,11-26-4,209.0,264.0,-55.0,3-6-1,L1
7,2017,Atlantic,7,Ottawa Senators,82.0,28.0,43.0,11.0,67.0,,26.0,2.0,7.0,16-19-6,12-24-5,221.0,291.0,-70.0,2-8-0,L2
8,2017,Atlantic,8,Buffalo Sabres,82.0,25.0,45.0,12.0,62.0,,24.0,1.0,2.0,11-25-5,14-20-7,199.0,280.0,-81.0,2-8-0,L4
9,2017,Metropolitan,1,Washington Capitals,82.0,49.0,26.0,7.0,105.0,,46.0,3.0,1.0,28-11-2,21-15-5,259.0,239.0,20.0,8-2-0,W1
10,2017,Metropolitan,2,Pittsburgh Penguins,82.0,47.0,29.0,6.0,100.0,,45.0,2.0,2.0,30-9-2,17-20-4,272.0,250.0,22.0,6-3-1,W2
11,2017,Metropolitan,3,Philadelphia Flyers,82.0,42.0,26.0,14.0,98.0,,40.0,2.0,7.0,22-13-6,20-13-8,251.0,243.0,8.0,6-1-3,W2
12,2017,Metropolitan,4,Columbus Blue Jackets,82.0,45.0,30.0,7.0,97.0,,39.0,6.0,4.0,26-12-3,19-18-4,242.0,230.0,12.0,6-2-2,L2
13,2017,Metropolitan,5,New Jersey Devils,82.0,44.0,29.0,9.0,97.0,,39.0,5.0,4.0,23-14-4,21-15-5,248.0,244.0,4.0,7-2-1,L1
14,2017,Metropolitan,6,Carolina Hurricanes,82.0,36.0,35.0,11.0,83.0,,33.0,3.0,3.0,19-16-6,17-19-5,228.0,256.0,-28.0,5-5-0,W1
15,2017,Metropolitan,7,New York Islanders,82.0,35.0,37.0,10.0,80.0,,32.0,3.0,3.0,19-18-4,16-19-6,264.0,296.0,-32.0,5-5-0,W3
16,2017,Metropolitan,8,New York Rangers,82.0,34.0,39.0,9.0,77.0,,31.0,3.0,5.0,21-16-4,13-23-5,231.0,268.0,-37.0,2-7-1,L3
17,2017,Central,1,Nashville Predators,82.0,53.0,18.0,11.0,117.0,,47.0,6.0,7.0,28-9-4,25-9-7,267.0,211.0,56.0,5-4-1,W2
18,2017,Central,2,Winnipeg Jets,82.0,52.0,20.0,10.0,114.0,,48.0,4.0,2.0,32-7-2,20-13-8,277.0,218.0,59.0,9-1-0,W5
19,2017,Central,3,Minnesota Wild,82.0,45.0,26.0,11.0,101.0,,42.0,3.0,3.0,27-6-8,18-20-3,253.0,232.0,21.0,4-2-4,W1
20,2017,Central,4,Colorado Avalanche,82.0,43.0,30.0,9.0,95.0,,41.0,2.0,1.0,28-11-2,15-19-7,257.0,237.0,20.0,4-5-1,W1
21,2017,Central,5,St. Louis Blues,82.0,44.0,32.0,6.0,94.0,,41.0,3.0,0.0,24-17-0,20-15-6,226.0,222.0,4.0,5-4-1,L1
22,2017,Central,6,Dallas Stars,82.0,42.0,32.0,8.0,92.0,,38.0,4.0,3.0,26-12-3,16-20-5,235.0,225.0,10.0,4-6-0,W1
23,2017,Central,7,Chicago Blackhawks,82.0,33.0,39.0,10.0,76.0,,32.0,1.0,2.0,18-18-5,15-21-5,229.0,256.0,-27.0,3-5-2,L2
24,2017,Pacific,1,Vegas Golden Knights,82.0,51.0,24.0,7.0,109.0,,47.0,4.0,3.0,29-10-2,22-14-5,272.0,228.0,44.0,5-3-2,L2
25,2017,Pacific,2,Anaheim Ducks,82.0,44.0,25.0,13.0,101.0,,40.0,4.0,7.0,26-10-5,18-15-8,235.0,216.0,19.0,8-1-1,W5
26,2017,Pacific,3,San Jose Sharks,82.0,45.0,27.0,10.0,100.0,,40.0,5.0,3.0,25-13-3,20-14-7,252.0,229.0,23.0,5-4-1,L1
27,2017,Pacific,4,Los Angeles Kings,82.0,45.0,29.0,8.0,98.0,,43.0,2.0,1.0,23-15-3,22-14-5,239.0,203.0,36.0,6-2-2,L1
28,2017,Pacific,5,Calgary Flames,82.0,37.0,35.0,10.0,84.0,,35.0,2.0,5.0,17-20-4,20-15-6,218.0,248.0,-30.0,2-8-0,W1
29,2017,Pacific,6,Edmonton Oilers,82.0,36.0,40.0,6.0,78.0,,31.0,5.0,1.0,19-18-4,17-22-2,234.0,263.0,-29.0,5-4-1,W2
30,2017,Pacific,7,Vancouver Canucks,82.0,31.0,40.0,11.0,73.0,,31.0,0.0,5.0,16-18-7,15-22-4,218.0,264.0,-46.0,6-2-2,L1
31,2017,Pacific,8,Arizona Coyotes,82.0,29.0,41.0,12.0,70.0,,27.0,2.0,5.0,16-21-4,13-20-8,208.0,256.0,-48.0,5-4-1,L2
1,2016,Atlantic,1,Montreal Canadiens,82.0,47.0,26.0,9.0,103.0,,44.0,3.0,2.0,24-12-5,23-14-4,226.0,200.0,26.0,6-3-1,W1
2,2016,Atlantic,2,Ottawa Senators,82.0,44.0,28.0,10.0,98.0,,38.0,6.0,4.0,22-11-8,22-17-2,212.0,214.0,-2.0,4-4-2,L1
3,2016,Atlantic,3,Boston Bruins,82.0,44.0,31.0,7.0,95.0,,42.0,2.0,3.0,23-17-1,21-14-6,234.0,212.0,22.0,6-3-1,L2
4,2016,Atlantic,4,Toronto Maple Leafs,82.0,40.0,27.0,15.0,95.0,,39.0,1.0,8.0,21-13-7,19-14-8,251.0,242.0,9.0,6-4-0,L1
5,2016,Atlantic,5,Tampa Bay Lightning,82.0,42.0,30.0,10.0,94.0,,38.0,4.0,3.0,23-14-4,19-16-6,234.0,227.0,7.0,8-1-1,W3
6,2016,Atlantic,6,Florida Panthers,82.0,35.0,36.0,11.0,81.0,,30.0,5.0,6.0,19-19-3,16-17-8,210.0,237.0,-27.0,4-6-0,W2
7,2016,Atlantic,7,Detroit Red Wings,82.0,33.0,36.0,13.0,79.0,,24.0,9.0,0.0,17-17-7,16-19-6,207.0,244.0,-37.0,4-4-2,W1
8,2016,Atlantic,8,Buffalo Sabres,82.0,33.0,37.0,12.0,78.0,,31.0,2.0,6.0,20-15-6,13-22-6,201.0,237.0,-36.0,4-6-0,L2
9,2016,Metropolitan,1,Washington Capitals,82.0,55.0,19.0,8.0,118.0,,53.0,2.0,5.0,32-7-2,23-12-6,263.0,182.0,81.0,8-2-0,L1
10,2016,Metropolitan,2,Pittsburgh Penguins,82.0,50.0,21.0,11.0,111.0,,46.0,4.0,5.0,31-6-4,19-15-7,282.0,234.0,48.0,4-4-2,L2
11,2016,Metropolitan,3,Columbus Blue Jackets,82.0,50.0,24.0,8.0,108.0,,48.0,2.0,2.0,28-12-1,22-12-7,249.0,195.0,54.0,3-5-2,W1
12,2016,Metropolitan,4,New York Rangers,82.0,48.0,28.0,6.0,102.0,,45.0,3.0,4.0,21-16-4,27-12-2,256.0,220.0,36.0,3-4-3,W1
13,2016,Metropolitan,5,New York Islanders,82.0,41.0,29.0,12.0,94.0,,39.0,2.0,4.0,22-12-7,19-17-5,241.0,242.0,-1.0,7-3-0,W6
14,2016,Metropolitan,6,Philadelphia Flyers,82.0,39.0,33.0,10.0,88.0,,32.0,7.0,5.0,25-11-5,14-22-5,219.0,236.0,-17.0,6-2-2,L1
15,2016,Metropolitan,7,Carolina Hurricanes,82.0,36.0,31.0,15.0,87.0,,33.0,3.0,6.0,23-12-6,13-19-9,215.0,236.0,-21.0,4-4-2,W1
16,2016,Metropolitan,8,New Jersey Devils,82.0,28.0,40.0,14.0,70.0,,25.0,3.0,3.0,16-17-8,12-23-6,183.0,244.0,-61.0,1-7-2,L3
17,2016,Central,1,Chicago Blackhawks,82.0,50.0,23.0,9.0,109.0,,46.0,4.0,1.0,26-10-5,24-13-4,244.0,213.0,31.0,3-3-4,L4
18,2016,Central,2,Minnesota Wild,82.0,49.0,25.0,8.0,106.0,,46.0,3.0,2.0,27-12-2,22-13-6,266.0,208.0,58.0,5-3-2,W4
19,2016,Central,3,St. Louis Blues,82.0,46.0,29.0,7.0,99.0,,44.0,2.0,2.0,24-12-5,22-17-2,235.0,218.0,17.0,7-1-2,W3
20,2016,Central,4,Nashville Predators,82.0,41.0,29.0,12.0,94.0,,39.0,2.0,4.0,24-9-8,17-20-4,240.0,224.0,16.0,5-4-1,L1
21,2016,Central,5,Winnipeg Jets,82.0,40.0,35.0,7.0,87.0,,37.0,3.0,1.0,22-18-1,18-17-6,249.0,256.0,-7.0,8-2-0,W7
22,2016,Central,6,Dallas Stars,82.0,34.0,37.0,11.0,79.0,,33.0,1.0,2.0,22-13-6,12-24-5,223.0,262.0,-39.0,5-4-1,W1
23,2016,Central,7,Colorado Avalanche,82.0,22.0,56.0,4.0,48.0,,21.0,1.0,2.0,13-26-2,9-30-2,166.0,278.0,-112.0,2-7-1,L3
24,2016,Pacific,1,Anaheim Ducks,82.0,46.0,23.0,13.0,105.0,,43.0,3.0,3.0,29-8-4,17-15-9,223.0,200.0,23.0,8-0-2,W4
25,2016,Pacific,2,Edmonton Oilers,82.0,47.0,26.0,9.0,103.0,,43.0,4.0,5.0,25-12-4,22-14-5,247.0,212.0,35.0,8-2-0,W3
26,2016,Pacific,3,San Jose Sharks,82.0,46.0,29.0,7.0,99.0,,44.0,2.0,1.0,26-11-4,20-18-3,221.0,201.0,20.0,4-6-0,W1
27,2016,Pacific,4,Calgary Flames,82.0,45.0,33.0,4.0,94.0,,41.0,4.0,2.0,24-17-0,21-16-4,226.0,221.0,5.0,4-6-0,L1
28,2016,Pacific,5,Los Angeles Kings,82.0,39.0,35.0,8.0,86.0,,37.0,2.0,4.0,23-16-2,16-19-6,201.0,205.0,-4.0,5-4-1,L1
29,2016,Pacific,6,Arizona Coyotes,82.0,30.0,42.0,10.0,70.0,,24.0,6.0,2.0,18-18-5,12-24-5,197.0,260.0,-63.0,4-5-1,L1
30,2016,Pacific,7,Vancouver Canucks,82.0,30.0,43.0,9.0,69.0,,26.0,4.0,2.0,18-17-6,12-26-3,182.0,243.0,-61.0,1-9-0,L8
1,2015,Atlantic,1,Florida Panthers,82.0,47.0,26.0,9.0,103.0,,40.0,7.0,3.0,25-11-5,22-15-4,239.0,203.0,36.0,7-3-0,W1
2,2015,Atlantic,2,Tampa Bay Lightning,82.0,46.0,31.0,5.0,97.0,,43.0,3.0,3.0,25-13-3,21-18-2,227.0,201.0,26.0,5-5-0,L1
3,2015,Atlantic,3,Detroit Red Wings,82.0,41.0,30.0,11.0,93.0,,39.0,2.0,5.0,22-13-6,19-17-5,211.0,224.0,-13.0,5-5-0,L2
4,2015,Atlantic,4,Boston Bruins,82.0,42.0,31.0,9.0,93.0,,38.0,4.0,2.0,17-18-6,25-13-3,240.0,230.0,10.0,3-6-1,L1
5,2015,Atlantic,5,Ottawa Senators,82.0,38.0,35.0,9.0,85.0,,32.0,6.0,6.0,21-14-6,17-21-3,236.0,247.0,-11.0,5-4-1,W2
6,2015,Atlantic,6,Montreal Canadiens,82.0,38.0,38.0,6.0,82.0,,33.0,5.0,3.0,22-16-3,16-22-3,221.0,236.0,-15.0,5-5-0,W2
7,2015,Atlantic,7,Buffalo Sabres,82.0,35.0,36.0,11.0,81.0,,33.0,2.0,7.0,16-19-6,19-17-5,201.0,222.0,-21.0,6-3-1,W1
