clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,XVW,2,1,Western,1,1,2012-04-07,NW,1,1,Northwest,1,1,2,82,51,0.621951,198,249,3.036585,41,31,98,129,10,4,58,24,20,0,27,10,10,16,26,1,1,17,7,5,0,8,5,1,3,1,22,9,Vancouver,0.676829,111,0.52439,43,0.439024,36,41,20,100,120,12,5,53,19,16,0,24,20112012,7,8,W,1,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_20072008-20182019_light.svg,0,30,0,0.621951,51,,True,,
z,XVE,4,7,Eastern,1,1,2012-04-07,ATL,2,3,Atlantic,1,1,2,82,39,0.47561,187,226,2.756098,41,27,88,115,12,2,56,25,19,0,27,10,0,27,27,4,0,12,5,4,0,6,7,14,1,2,24,7,NY Rangers,0.664634,109,0.573171,47,0.47561,39,41,12,99,111,12,5,53,22,20,0,24,20112012,5,4,L,2,New York Rangers,Rangers de New York,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,28,0,0.621951,51,,True,,
y,XVW,1,8,Western,5,2,2012-04-07,CEN,1,4,Central,2,1,2,82,45,0.54878,165,210,2.560976,41,47,73,120,6,5,65,29,27,0,30,10,0,24,24,3,3,11,4,4,0,4,1,16,11,3,22,11,St. Louis,0.664634,109,0.54878,45,0.512195,42,41,-2,92,90,16,6,44,16,15,0,19,20112012,10,4,W,1,St. Louis Blues,Blues de St. Louis,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,0,29,0,0.597561,49,,True,,
x,XVE,1,6,Eastern,6,4,2012-04-07,ATL,1,2,Atlantic,4,2,2,82,61,0.743902,221,282,3.439024,41,48,103,151,10,2,60,24,23,0,29,10,6,37,43,4,0,12,6,6,0,6,3,11,6,4,25,6,Pittsburgh,0.658537,108,0.512195,42,0.487805,40,41,13,118,131,15,4,48,18,17,0,22,20112012,3,9,W,3,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,0,27,0,0.621951,51,,True,,
x,XVW,6,7,Western,2,4,2012-04-07,CEN,4,3,Central,1,2,2,82,27,0.329268,210,237,2.890244,41,21,103,124,10,5,57,23,22,0,26,10,7,24,31,4,0,12,5,5,0,6,6,13,8,5,26,8,Nashville,0.634146,104,0.52439,43,0.487805,40,41,6,107,113,16,3,47,20,18,0,22,20112012,5,5,W,3,Nashville Predators,Predators de Nashville,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,0,26,0,0.585366,48,,True,,
x,XVE,9,8,Eastern,4,5,2012-04-07,ATL,4,4,Atlantic,2,3,2,82,32,0.390244,232,264,3.219512,41,18,122,140,13,6,50,21,19,0,22,10,5,28,33,4,1,11,4,4,0,5,16,15,2,6,26,9,Philadelphia,0.628049,103,0.52439,43,0.45122,37,41,14,110,124,13,3,53,22,18,0,25,20112012,7,4,L,1,Philadelphia Flyers,Flyers de Philadelphie,Flyers,PHI,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,0,25,0,0.573171,47,,True,Philadelphie,
y,XVE,3,1,Eastern,2,2,2012-04-07,NE,1,1,Northeast,1,1,2,82,67,0.817073,202,269,3.280488,41,43,92,135,14,3,51,20,19,0,24,10,9,24,33,2,1,15,6,6,0,7,15,3,4,7,29,4,Boston,0.621951,102,0.487805,40,0.463415,38,41,24,110,134,15,1,51,20,19,0,25,20112012,3,9,W,2,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,0,24,0,0.597561,49,,True,,
x,XVW,4,12,Western,11,5,2012-04-07,CEN,2,5,Central,4,3,2,82,45,0.54878,203,248,3.02439,41,63,83,146,7,3,65,27,26,0,31,10,-2,29,27,4,2,10,2,2,0,4,2,23,21,8,28,6,Detroit,0.621951,102,0.47561,39,0.439024,36,41,-18,120,102,21,3,37,12,10,0,17,20112012,3,9,OT,1,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,23,0,0.585366,48,,True,,
x,XVE,7,2,Eastern,5,6,2012-04-07,ATL,3,1,Atlantic,3,4,2,82,19,0.231707,209,228,2.780488,41,13,106,119,13,4,52,16,15,0,24,10,8,22,30,2,1,15,6,6,0,7,13,4,5,9,28,6,New Jersey,0.621951,102,0.439024,36,0.390244,32,41,6,103,109,15,2,50,20,17,0,24,20112012,4,12,W,6,New Jersey Devils,Devils du New Jersey,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,22,0,0.585366,48,,True,,
x,XVW,5,3,Western,8,6,2012-04-07,CEN,3,1,Central,3,4,2,82,10,0.121951,238,248,3.02439,41,25,113,138,8,6,60,23,20,0,27,10,3,28,31,1,3,15,4,3,0,6,4,5,14,10,26,11,Chicago,0.615854,101,0.463415,38,0.414634,34,41,-15,125,110,18,5,41,15,14,0,18,20112012,7,7,W,1,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,0,21,0,0.54878,45,,True,,
y,XVW,8,2,Western,3,3,2012-04-07,PAC,2,1,Pacific,1,1,2,82,12,0.146341,204,216,2.634146,41,9,98,107,13,6,50,20,17,0,22,10,10,18,28,1,2,16,6,6,0,7,17,2,9,11,27,13,Phoenix,0.591463,97,0.439024,36,0.402439,33,41,3,106,109,14,7,47,16,16,0,20,20112012,10,6,W,5,Phoenix Coyotes,Coyotes de Phoenix,Coyotes,PHX,https://assets.nhle.com/logos/nhl/svg/PHX_20032004-20132014_light.svg,0,20,0,0.512195,42,,True,,
x,XVW,3,4,Western,9,7,2012-04-07,PAC,1,2,Pacific,4,2,2,82,18,0.219512,210,228,2.780488,41,30,94,124,12,3,55,20,18,0,26,10,7,24,31,3,0,14,5,4,0,7,9,6,15,12,29,10,San Jose,0.585366,96,0.414634,34,0.378049,31,41,-12,116,104,17,7,41,14,13,0,17,20112012,5,9,W,4,San Jose Sharks,Sharks de San Jose,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,0,19,0,0.52439,43,,True,,
x,XVW,9,5,Western,4,8,2012-04-07,PAC,3,3,Pacific,2,3,2,82,15,0.182927,179,194,2.365854,41,16,83,99,14,5,49,19,17,0,22,10,6,21,27,2,3,13,4,4,0,5,19,10,10,13,27,15,Los Angeles,0.579268,95,0.414634,34,0.378049,31,41,-1,96,95,13,10,46,15,14,0,18,20112012,9,6,OT,2,Los Angeles Kings,Kings de Los Angeles,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_20112012-20182019_light.svg,0,18,0,0.487805,40,,True,,
y,XVE,5,12,Eastern,3,3,2012-04-07,SE,2,4,Southeast,1,1,2,82,-24,-0.292683,227,203,2.47561,41,4,103,107,9,11,53,18,17,0,21,10,-8,29,21,3,5,9,1,1,0,2,10,25,16,14,26,18,Florida,0.573171,94,0.390244,32,0.378049,31,41,-28,124,96,17,7,41,14,14,0,17,20112012,11,6,W,1,Florida Panthers,Panthers de la Floride,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_19992000-20152016_light.svg,0,17,0,0.463415,38,,True,Floride,
x,XVE,2,3,Eastern,11,7,2012-04-07,SE,1,1,Southeast,2,2,2,82,-8,-0.097561,230,222,2.707317,41,16,101,117,11,4,56,24,18,0,26,10,4,25,29,2,2,14,4,4,0,6,8,7,23,15,32,8,Washington,0.560976,92,0.463415,38,0.378049,31,41,-24,129,105,21,4,36,14,13,0,16,20112012,4,4,W,2,Washington Capitals,Capitals de Washington,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,16,0,0.512195,42,,True,,
x,XVE,12,13,Eastern,7,8,2012-04-07,NE,3,4,Northeast,2,2,2,82,9,0.109756,240,249,3.036585,41,-9,126,117,17,4,44,19,15,0,20,10,-1,30,29,6,0,8,3,3,0,4,24,26,7,16,31,10,Ottawa,0.560976,92,0.426829,35,0.365854,30,41,18,114,132,14,6,48,16,15,0,21,20112012,4,6,L,3,Ottawa Senators,Sénateurs d'Ottawa,Senators,OTT,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,0,15,0,0.5,41,,True,,Sénateurs
,XVW,7,11,Western,10,9,2012-04-07,NW,2,4,Northwest,3,2,2,82,-24,-0.292683,226,202,2.463415,41,3,106,109,12,6,52,22,20,0,23,10,-8,29,21,3,4,10,3,3,0,3,12,22,19,17,29,16,Calgary,0.54878,90,0.414634,34,0.390244,32,41,-27,120,93,17,10,38,12,12,0,14,20112012,9,3,W,2,Calgary Flames,Flames de Calgary,Flames,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,0,14,0,0.45122,37,,True,,
,XVW,10,15,Western,6,10,2012-04-07,PAC,4,5,Pacific,3,4,2,82,-11,-0.134146,222,211,2.573171,41,-1,113,112,16,3,47,18,14,0,22,10,-8,30,22,7,0,6,2,2,0,3,21,30,12,18,35,5,Dallas,0.542683,89,0.426829,35,0.378049,31,41,-10,109,99,19,2,42,17,17,0,20,20112012,4,7,L,5,Dallas Stars,Stars de Dallas,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_19941995-20122013_light.svg,0,13,0,0.512195,42,,True,,
,XVE,10,4,Eastern,8,9,2012-04-07,NE,2,2,Northeast,3,3,2,82,-12,-0.146341,230,218,2.658537,41,13,110,123,12,8,50,19,14,0,21,10,12,26,38,3,1,13,6,5,0,6,18,8,17,19,32,11,Buffalo,0.542683,89,0.390244,32,0.329268,27,41,-25,120,95,20,3,39,13,13,0,18,20112012,7,7,OT,1,Buffalo Sabres,Sabres de Buffalo,Sabres,BUF,https://assets.nhle.com/logos/nhl/svg/BUF_20102011-20192020_light.svg,0,12,0,0.47561,39,,True,,
,XVW,11,14,Western,7,11,2012-04-07,NW,3,5,Northwest,2,3,2,82,-12,-0.146341,220,208,2.536585,41,-2,104,102,17,2,46,18,12,0,22,10,-10,27,17,5,2,8,3,2,0,3,22,27,13,20,35,6,Colorado,0.536585,88,0.390244,32,0.304878,25,41,-10,116,106,18,4,42,14,13,0,19,20112012,2,9,L,2,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,11,0,0.5,41,,True,,
,XVE,6,5,Eastern,15,10,2012-04-07,SE,3,2,Southeast,5,3,2,82,-46,-0.560976,281,235,2.865854,41,6,127,133,14,2,52,24,17,0,25,10,-1,34,33,3,1,13,5,3,0,6,11,9,29,21,36,8,Tampa Bay,0.512195,84,0.426829,35,0.304878,25,41,-52,154,102,22,6,32,11,8,0,13,20112012,3,3,W,1,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,9,0,0.463415,38,,True,,
,XVE,8,14,Eastern,14,11,2012-04-07,SE,4,5,Southeast,4,4,2,82,-21,-0.256098,246,225,2.743902,41,19,103,122,13,5,51,23,22,0,23,10,-10,43,33,5,2,8,3,0,0,3,14,28,27,22,35,10,Winnipeg,0.512195,84,0.402439,33,0.329268,27,41,-40,143,103,22,5,33,10,5,0,14,20112012,4,4,OT,1,Winnipeg Jets,Jets de Winnipeg,Jets,WPG,https://assets.nhle.com/logos/nhl/svg/WPG_light.svg,0,10,0,0.45122,37,,True,,
,XVE,11,9,Eastern,13,12,2012-04-07,SE,5,3,Southeast,3,5,2,82,-30,-0.365854,243,213,2.597561,41,-4,110,106,14,7,47,19,17,0,20,10,-6,29,23,4,1,11,4,4,0,5,20,17,26,23,33,16,Carolina,0.5,82,0.390244,32,0.353659,29,41,-26,133,107,19,9,35,13,12,0,13,20112012,6,1,L,1,Carolina Hurricanes,Hurricanes de la Caroline,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_19992000-20122013_light.svg,0,8,0,0.402439,33,,True,Caroline,
,XVW,13,9,Western,12,12,2012-04-07,NW,4,2,Northwest,4,4,2,82,-49,-0.597561,226,177,2.158537,41,-8,108,100,17,4,44,14,13,0,20,10,-5,27,22,4,1,11,1,0,0,5,25,18,22,24,36,11,Minnesota,0.493902,81,0.292683,24,0.268293,22,41,-41,118,77,19,7,37,10,9,0,15,20112012,9,11,L,1,Minnesota Wild,Wild du Minnesota,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_20002001-20122013_light.svg,0,7,0,0.426829,35,,True,,
,XVW,12,13,Western,13,13,2012-04-07,PAC,5,4,Pacific,5,5,2,82,-27,-0.329268,231,204,2.487805,41,3,115,118,18,2,44,19,18,0,21,10,-6,31,25,5,1,9,4,3,0,4,23,24,25,25,36,12,Anaheim,0.487805,80,0.378049,31,0.353659,29,41,-30,116,86,18,10,36,12,11,0,13,20112012,7,3,L,1,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,0,6,0,0.414634,34,,True,,
,XVE,13,15,Eastern,10,13,2012-04-07,NE,4,5,Northeast,4,4,2,82,-33,-0.402439,264,231,2.817073,41,-18,126,108,16,7,43,17,15,0,18,10,-22,45,23,5,2,8,2,1,0,3,26,29,20,26,37,10,Toronto,0.487805,80,0.378049,31,0.317073,26,41,-15,138,123,21,3,37,14,11,0,17,20112012,5,4,L,1,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_19871988-20152016_light.svg,0,5,0,0.426829,35,,True,,
,XVE,15,10,Eastern,9,14,2012-04-07,ATL,5,5,Atlantic,5,5,2,82,-52,-0.634146,255,203,2.47561,41,-19,123,104,18,6,40,16,14,0,17,10,-5,39,34,5,0,10,4,4,0,5,29,19,18,27,37,11,NY Islanders,0.481707,79,0.329268,27,0.292683,24,41,-33,132,99,19,5,39,11,10,0,17,20112012,4,7,L,1,New York Islanders,Islanders de New York,Islanders,NYI,https://assets.nhle.com/logos/nhl/svg/NYI_20102011-20162017_light.svg,0,4,0,0.414634,34,,True,,
,XVE,14,11,Eastern,12,15,2012-04-07,NE,5,3,Northeast,5,5,2,82,-14,-0.170732,226,212,2.585366,41,4,111,115,15,10,42,13,13,0,16,10,-3,26,23,3,4,10,3,3,0,3,28,20,24,28,35,16,Montréal,0.47561,78,0.317073,26,0.292683,24,41,-18,115,97,20,6,36,13,11,0,15,20112012,12,5,W,1,Montréal Canadiens,Canadiens de Montréal,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,3,0,0.378049,31,,True,,
,XVW,14,10,Western,14,14,2012-04-07,NW,5,3,Northwest,5,5,2,82,-27,-0.329268,239,212,2.585366,41,-5,113,108,17,6,42,15,14,0,18,10,-4,26,22,4,2,10,3,3,0,4,27,21,28,29,40,10,Edmonton,0.45122,74,0.329268,27,0.304878,25,41,-22,126,104,23,4,32,12,11,0,14,20112012,7,5,L,1,Edmonton Oilers,Oilers d'Edmonton,Oilers,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_20112012-20162017_light.svg,0,2,0,0.390244,32,,True,,
,XVW,15,6,Western,15,15,2012-04-07,CEN,5,2,Central,5,5,2,82,-60,-0.731707,262,202,2.463415,41,-11,117,106,21,3,37,16,16,0,17,10,5,31,36,4,0,12,6,6,0,6,30,12,30,30,46,7,Columbus,0.396341,65,0.304878,25,0.280488,23,41,-49,145,96,25,4,28,9,7,0,12,20112012,5,4,W,2,Columbus Blue Jackets,Blue Jackets de Columbus,Blue Jackets,CBJ,https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg,0,1,0,0.353659,29,,True,,
