clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,E,1,5,Eastern,3,1,2022-05-01,A,1,4,Atlantic,1,1,2,82,94,1.146341,246,340,4.146341,41,73,119,192,7,0,68,33,26,0,34,10,6,32,38,3,0,14,7,4,0,7,1,9,4,1,18,6,Florida,0.743902,122,0.670732,55,0.512195,42,41,21,127,148,11,6,54,22,16,0,24,20212022,4,3,L,1,Florida Panthers,Panthers de la Floride,Panthers,FLA,https://assets.nhle.com/logos/nhl/svg/FLA_light.svg,0,32,0,0.707317,58,,True,Floride,
z,W,1,11,Western,4,1,2022-05-01,C,1,6,Central,2,1,2,82,78,0.95122,234,312,3.804878,41,65,107,172,5,4,68,30,26,0,32,10,1,36,37,5,1,9,4,4,0,4,2,21,10,2,19,7,Colorado,0.72561,119,0.634146,52,0.560976,46,41,13,127,140,14,3,51,22,20,0,24,20212022,2,4,L,1,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,31,0,0.682927,56,,True,,
y,E,3,1,Eastern,2,2,2022-05-01,M,1,1,Metropolitan,2,1,2,82,76,0.926829,202,278,3.390244,41,46,89,135,8,4,62,29,27,0,29,10,11,29,40,2,0,16,8,7,0,8,5,2,3,3,20,8,Carolina,0.707317,116,0.646341,53,0.573171,47,41,30,113,143,12,4,54,24,20,0,25,20212022,2,1,W,6,Carolina Hurricanes,Hurricanes de la Caroline,Hurricanes,CAR,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,0,30,0,0.658537,54,,True,Caroline,
x,E,2,2,Eastern,7,3,2022-05-01,A,2,1,Atlantic,3,2,2,82,62,0.756098,253,315,3.841463,41,48,106,154,8,2,64,30,27,0,31,10,6,32,38,2,1,15,6,5,0,7,3,5,11,4,21,7,Toronto,0.70122,115,0.621951,51,0.54878,45,41,14,147,161,13,5,51,21,18,0,23,20212022,1,3,W,3,Toronto Maple Leafs,Maple Leafs de Toronto,Maple Leafs,TOR,https://assets.nhle.com/logos/nhl/svg/TOR_light.svg,0,29,0,0.658537,54,,True,,
x,W,2,1,Western,5,2,2022-05-01,C,2,1,Central,3,2,2,82,57,0.695122,253,310,3.780488,41,49,121,170,8,2,64,29,20,0,31,10,12,30,42,1,1,17,8,4,0,8,4,1,13,5,22,7,Minnesota,0.689024,113,0.585366,48,0.45122,37,41,8,132,140,14,5,49,19,17,0,22,20212022,4,5,W,2,Minnesota Wild,Wild du Minnesota,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_light.svg,0,28,0,0.646341,53,,True,,
y,W,4,4,Western,1,3,2022-05-01,P,1,2,Pacific,1,1,2,82,85,1.036585,208,293,3.573171,41,57,99,156,9,7,57,24,23,0,25,10,10,30,40,2,2,14,6,5,0,6,9,8,2,6,21,11,Calgary,0.676829,111,0.585366,48,0.536585,44,41,28,109,137,12,4,54,24,21,0,25,20212022,2,2,L,1,Calgary Flames,Flames de Calgary,Flames,CGY,https://assets.nhle.com/logos/nhl/svg/CGY_light.svg,0,27,0,0.609756,50,,True,,
x,E,5,6,Eastern,5,4,2022-05-01,M,2,2,Metropolitan,3,2,2,82,47,0.573171,207,254,3.097561,41,36,96,132,10,4,58,24,22,0,27,10,13,21,34,4,0,12,6,6,0,6,7,12,7,7,24,6,NY Rangers,0.670732,110,0.585366,48,0.536585,44,41,11,111,122,14,2,52,24,22,0,25,20212022,3,4,W,1,New York Rangers,Rangers de New York,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,26,0,0.634146,52,,True,,
x,E,4,4,Eastern,8,5,2022-05-01,A,3,3,Atlantic,4,3,2,82,54,0.658537,233,287,3.5,41,37,106,143,8,6,60,26,20,0,27,10,19,29,48,3,0,14,7,6,0,7,6,7,12,8,23,8,Tampa Bay,0.670732,110,0.597561,49,0.47561,39,41,17,127,144,15,2,50,23,19,0,24,20212022,5,2,W,1,Tampa Bay Lightning,Lightning de Tampa Bay,Lightning,TBL,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,0,25,0,0.621951,51,,True,,
x,W,5,2,Western,3,4,2022-05-01,C,4,2,Central,1,3,2,82,69,0.841463,242,311,3.792683,41,41,115,156,10,5,57,25,22,0,26,10,12,35,47,2,1,15,7,5,0,7,10,3,8,9,22,11,St. Louis,0.664634,109,0.573171,47,0.52439,43,41,28,127,155,12,6,52,22,21,0,23,20212022,3,2,L,2,St. Louis Blues,Blues de St. Louis,Blues,STL,https://assets.nhle.com/logos/nhl/svg/STL_20082009-20242025_light.svg,0,24,0,0.597561,49,,True,,
x,E,6,7,Eastern,4,6,2022-05-01,A,4,5,Atlantic,2,4,2,82,35,0.426829,220,255,3.109756,41,18,114,132,13,2,54,25,23,0,26,10,3,25,28,4,0,12,6,5,0,6,12,14,6,10,26,5,Boston,0.652439,107,0.597561,49,0.487805,40,41,17,106,123,13,3,53,24,17,0,25,20212022,2,2,L,1,Boston Bruins,Bruins de Boston,Bruins,BOS,https://assets.nhle.com/logos/nhl/svg/BOS_20082009-20222023_light.svg,0,23,1,0.621951,51,,True,,
x,W,6,3,Western,6,5,2022-05-01,P,2,1,Pacific,3,2,2,82,38,0.463415,252,290,3.536585,41,28,128,156,12,1,57,23,19,0,28,10,12,24,36,2,1,15,6,5,0,7,11,4,14,11,27,6,Edmonton,0.634146,104,0.536585,44,0.463415,38,41,10,124,134,15,5,47,21,19,0,21,20212022,1,5,W,3,Edmonton Oilers,Oilers d'Edmonton,Oilers,EDM,https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg,0,22,0,0.597561,49,,True,,
x,E,7,9,Eastern,6,7,2022-05-01,M,3,3,Metropolitan,4,3,2,82,43,0.52439,229,272,3.317073,41,23,123,146,13,5,51,21,17,0,23,10,3,32,35,4,1,11,5,4,0,5,14,18,9,12,25,11,Pittsburgh,0.628049,103,0.52439,43,0.45122,37,41,20,106,126,12,6,52,22,20,0,23,20212022,7,3,W,1,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_light.svg,0,21,0,0.560976,46,,True,,
x,E,10,10,Eastern,1,8,2022-05-01,M,6,4,Metropolitan,1,4,2,82,30,0.365854,245,275,3.353659,41,2,129,131,16,6,44,17,15,0,19,10,0,35,35,4,2,10,4,4,0,4,21,19,1,13,26,12,Washington,0.609756,100,0.47561,39,0.426829,35,41,28,116,144,10,6,56,22,20,0,25,20212022,3,5,L,3,Washington Capitals,Capitals de Washington,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,20,2,0.536585,44,,True,,
x,W,11,6,Western,2,6,2022-05-01,P,5,4,Pacific,2,3,2,82,3,0.036585,236,239,2.914634,41,7,115,122,16,4,46,18,17,0,21,10,1,31,32,3,1,13,6,6,0,6,19,11,5,14,27,11,Los Angeles,0.603659,99,0.487805,40,0.426829,35,41,-4,121,117,11,7,53,22,18,0,23,20212022,4,4,OT,1,Los Angeles Kings,Kings de Los Angeles,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_20192020-20232024_light.svg,0,19,0,0.536585,44,,True,,
x,W,3,8,Western,11,7,2022-05-01,C,3,4,Central,6,4,2,82,-8,-0.097561,246,238,2.902439,41,19,113,132,10,4,58,25,21,0,27,10,-5,29,24,3,2,12,4,4,0,5,8,16,19,15,30,6,Dallas,0.597561,98,0.5,41,0.378049,31,41,-27,133,106,20,2,40,16,10,0,19,20212022,2,5,W,1,Dallas Stars,Stars de Dallas,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_light.svg,0,18,1,0.560976,46,,True,,
x,W,7,10,Western,9,8,2022-05-01,C,5,5,Central,4,5,2,82,14,0.170732,252,266,3.243902,41,18,112,130,14,2,52,22,19,0,25,10,-12,42,30,4,2,10,2,1,0,4,13,20,17,16,30,7,Nashville,0.591463,97,0.5,41,0.426829,35,41,-4,140,136,16,5,45,19,16,0,20,20212022,2,4,L,1,Nashville Predators,Predators de Nashville,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,0,17,2,0.54878,45,,True,,
