clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,XVE,1,3,Eastern,1,1,2010-04-11,SE,1,1,Southeast,1,1,2,82,85,1.036585,233,318,3.878049,41,50,109,159,5,6,66,27,23,0,30,10,5,30,35,1,3,15,5,4,0,6,1,5,1,1,15,13,Washington,0.737805,121,0.597561,49,0.52439,43,41,35,124,159,10,7,55,22,20,0,24,20092010,6,5,OT,1,Washington Capitals,Capitals de Washington,Capitals,WSH,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,0,30,0,0.658537,54,,True,,
z,XVW,3,2,Western,4,1,2010-04-11,PAC,1,1,Pacific,2,1,2,82,49,0.597561,215,264,3.219512,41,42,100,142,6,8,62,24,23,0,27,10,9,23,32,1,1,17,7,7,0,8,4,2,3,2,20,11,San Jose,0.689024,113,0.536585,44,0.52439,43,41,7,115,122,14,3,51,20,20,0,24,20092010,6,7,W,3,San Jose Sharks,Sharks de San Jose,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_20082009-20232024_light.svg,0,29,0,0.621951,51,,True,,
y,XVW,2,4,Western,2,2,2010-04-11,CEN,1,2,Central,1,1,2,82,62,0.756098,209,271,3.304878,41,40,100,140,8,4,62,23,19,0,29,10,5,30,35,3,1,13,5,5,0,6,3,7,4,3,22,8,Chicago,0.682927,112,0.52439,43,0.45122,37,41,22,109,131,14,4,50,20,18,0,23,20092010,6,9,OT,1,Chicago Blackhawks,Blackhawks de Chicago,Blackhawks,CHI,https://assets.nhle.com/logos/nhl/svg/CHI_19981999-20242025_light.svg,0,28,0,0.634146,52,,True,,
x,XVW,4,9,Western,7,4,2010-04-11,PAC,2,4,Pacific,3,2,2,82,23,0.280488,202,225,2.743902,41,27,101,128,10,2,60,23,21,0,29,10,2,25,27,3,2,12,2,2,0,5,5,14,9,4,25,7,Phoenix,0.652439,107,0.439024,36,0.378049,31,41,-4,101,97,15,5,47,13,10,0,21,20092010,6,14,OT,1,Phoenix Coyotes,Coyotes de Phoenix,Coyotes,PHX,https://assets.nhle.com/logos/nhl/svg/PHX_20032004-20132014_light.svg,0,27,0,0.609756,50,,True,,
y,XVW,1,3,Western,10,3,2010-04-11,NW,1,1,Northwest,3,1,2,82,50,0.609756,222,272,3.317073,41,61,88,149,8,3,63,29,28,0,30,10,1,35,36,4,1,11,4,3,0,5,2,17,17,5,28,5,Vancouver,0.628049,103,0.54878,45,0.5,41,41,-11,134,123,20,2,40,16,13,0,19,20092010,4,4,W,1,Vancouver Canucks,Canucks de Vancouver,Canucks,VAN,https://assets.nhle.com/logos/nhl/svg/VAN_20072008-20182019_light.svg,0,26,0,0.597561,49,,True,,
y,XVE,2,5,Eastern,4,2,2010-04-11,ATL,1,2,Atlantic,2,1,2,82,31,0.378049,191,222,2.707317,41,35,89,124,10,4,58,26,25,0,27,10,8,19,27,2,3,13,5,5,0,5,6,10,12,6,27,7,New Jersey,0.628049,103,0.512195,42,0.487805,40,41,-4,102,98,17,3,45,16,15,0,21,20092010,5,6,W,2,New Jersey Devils,Devils du New Jersey,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,25,0,0.585366,48,,True,,
x,XVW,5,1,Western,8,5,2010-04-11,CEN,2,1,Central,4,2,2,82,13,0.158537,216,229,2.792683,41,23,98,121,10,6,56,24,22,0,25,10,10,23,33,1,1,17,6,5,0,8,9,1,11,7,24,14,Detroit,0.621951,102,0.463415,38,0.402439,33,41,-10,118,108,14,8,46,14,11,0,19,20092010,9,6,W,3,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,24,0,0.536585,44,,True,,
x,XVE,5,8,Eastern,3,4,2010-04-11,ATL,2,3,Atlantic,1,2,2,82,20,0.243902,237,257,3.134146,41,29,114,143,12,4,54,22,19,0,25,10,1,32,33,4,1,11,4,2,0,5,12,16,8,8,28,7,Pittsburgh,0.615854,101,0.47561,39,0.402439,33,41,-9,123,114,16,3,47,17,14,0,22,20092010,2,8,W,1,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,0,23,0,0.573171,47,,True,,
x,XVW,11,10,Western,1,6,2010-04-11,PAC,5,5,Pacific,1,3,2,82,22,0.268293,219,241,2.939024,41,15,112,127,13,6,50,17,15,0,22,10,0,27,27,3,3,11,3,2,0,4,18,19,2,9,27,9,Los Angeles,0.615854,101,0.439024,36,0.390244,32,41,7,107,114,14,3,51,19,17,0,24,20092010,8,10,W,1,Los Angeles Kings,Kings de Los Angeles,Kings,LAK,https://assets.nhle.com/logos/nhl/svg/LAK_20022003-20092010_light.svg,0,22,0,0.560976,46,,True,,
x,XVW,9,6,Western,5,7,2010-04-11,CEN,3,4,Central,2,3,2,82,0,0.0,225,225,2.743902,41,7,101,108,14,3,51,18,17,0,24,10,-2,24,22,3,1,13,4,2,0,6,14,9,5,10,29,6,Nashville,0.609756,100,0.47561,39,0.402439,33,41,-7,124,117,15,3,49,21,16,0,23,20092010,4,8,W,1,Nashville Predators,Predators de Nashville,Predators,NSH,https://assets.nhle.com/logos/nhl/svg/NSH_19981999-20102011_light.svg,0,20,0,0.573171,47,,True,,
