clinchIndicator,conferenceAbbrev,conferenceHomeSequence,conferenceL10Sequence,conferenceName,conferenceRoadSequence,conferenceSequence,date,divisionAbbrev,divisionHomeSequence,divisionL10Sequence,divisionName,divisionRoadSequence,divisionSequence,gameTypeId,gamesPlayed,goalDifferential,goalDifferentialPctg,goalAgainst,goalFor,goalsForPctg,homeGamesPlayed,homeGoalDifferential,homeGoalsAgainst,homeGoalsFor,homeLosses,homeOtLosses,homePoints,homeRegulationPlusOtWins,homeRegulationWins,homeTies,homeWins,l10GamesPlayed,l10GoalDifferential,l10GoalsAgainst,l10GoalsFor,l10Losses,l10OtLosses,l10Points,l10RegulationPlusOtWins,l10RegulationWins,l10Ties,l10Wins,leagueHomeSequence,leagueL10Sequence,leagueRoadSequence,leagueSequence,losses,otLosses,placeName_default,pointPctg,points,regulationPlusOtWinPctg,regulationPlusOtWins,regulationWinPctg,regulationWins,roadGamesPlayed,roadGoalDifferential,roadGoalsAgainst,roadGoalsFor,roadLosses,roadOtLosses,roadPoints,roadRegulationPlusOtWins,roadRegulationWins,roadTies,roadWins,seasonId,shootoutLosses,shootoutWins,streakCode,streakCount,teamName_default,teamName_fr,teamCommonName_default,teamAbbrev_default,teamLogo,ties,waiversSequence,wildcardSequence,winPctg,wins,sourceDate,wildCardIndicator,placeName_fr,teamCommonName_fr
p,XVW,1,2,Western,2,1,2008-04-06,CEN,1,1,Central,1,1,2,82,73,0.890244,184,257,3.134146,41,39,93,132,9,3,61,25,24,0,29,10,8,23,31,2,1,15,7,6,0,7,1,4,2,1,21,7,Detroit,0.70122,115,0.597561,49,0.573171,47,41,34,91,125,12,4,54,24,23,0,25,20072008,5,5,W,2,Detroit Red Wings,Red Wings de Detroit,Red Wings,DET,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,0,30,0,0.658537,54,,True,,
y,XVW,7,4,Western,1,2,2008-04-06,PAC,2,2,Pacific,1,1,2,82,29,0.353659,193,222,2.707317,41,7,103,110,13,6,50,20,17,0,22,10,6,24,30,2,1,15,6,5,0,7,12,5,1,2,23,10,San Jose,0.658537,108,0.52439,43,0.487805,40,41,22,90,112,10,4,58,23,23,0,27,20072008,6,6,L,2,San Jose Sharks,Sharks de San Jose,Sharks,SJS,https://assets.nhle.com/logos/nhl/svg/SJS_20072008_light.svg,0,29,0,0.597561,49,,True,,
z,XVE,3,2,Eastern,1,1,2008-04-06,NE,1,1,Northeast,1,1,2,82,40,0.487805,222,262,3.195122,41,22,107,129,13,6,50,20,19,0,22,10,13,22,35,1,1,17,7,6,0,8,11,2,3,3,25,10,Montréal,0.634146,104,0.512195,42,0.45122,37,41,18,115,133,12,4,54,22,18,0,25,20072008,6,5,W,3,Montréal Canadiens,Canadiens de Montréal,Canadiens,MTL,https://assets.nhle.com/logos/nhl/svg/MTL_light.svg,0,28,0,0.573171,47,,True,,
y,XVE,1,5,Eastern,7,2,2008-04-06,ATL,1,3,Atlantic,3,1,2,82,31,0.378049,216,247,3.012195,41,39,97,136,10,5,57,24,23,0,26,10,7,20,27,3,1,13,6,6,0,6,3,9,10,4,27,8,Pittsburgh,0.621951,102,0.487805,40,0.47561,39,41,-8,119,111,17,3,45,16,16,0,21,20072008,4,7,L,1,Pittsburgh Penguins,Penguins de Pittsburgh,Penguins,PIT,https://assets.nhle.com/logos/nhl/svg/PIT_20062007-20152016_light.svg,0,27,0,0.573171,47,,True,,
x,XVW,2,1,Western,7,4,2008-04-06,PAC,1,1,Pacific,4,2,2,82,14,0.170732,191,205,2.5,41,27,88,115,9,4,60,21,18,0,28,10,9,18,27,2,0,16,5,5,0,8,2,3,16,5,27,8,Anaheim,0.621951,102,0.47561,39,0.426829,35,41,-13,103,90,18,4,42,18,17,0,19,20072008,7,8,W,3,Anaheim Ducks,Ducks d'Anaheim,Ducks,ANA,https://assets.nhle.com/logos/nhl/svg/ANA_20062007-20122013_light.svg,0,26,0,0.573171,47,,True,,
x,XVE,5,10,Eastern,2,4,2008-04-06,ATL,3,4,Atlantic,1,2,2,82,9,0.109756,197,206,2.512195,41,15,95,110,14,2,52,19,15,0,25,10,-11,29,18,5,1,9,1,0,0,4,7,21,6,6,29,7,New Jersey,0.603659,99,0.463415,38,0.378049,31,41,-6,102,96,15,5,47,19,16,0,21,20072008,4,8,W,1,New Jersey Devils,Devils du New Jersey,Devils,NJD,https://assets.nhle.com/logos/nhl/svg/NJD_light.svg,0,25,0,0.560976,46,,True,,
y,XVW,4,3,Western,6,3,2008-04-06,NW,2,1,Northwest,2,1,2,82,5,0.060976,218,223,2.719512,41,23,91,114,11,5,55,25,19,0,25,10,7,24,31,2,2,14,6,5,0,6,5,7,15,7,28,10,Minnesota,0.597561,98,0.5,41,0.426829,35,41,-18,127,109,17,5,43,16,16,0,19,20072008,8,3,OT,1,Minnesota Wild,Wild du Minnesota,Wild,MIN,https://assets.nhle.com/logos/nhl/svg/MIN_20002001-20122013_light.svg,0,24,0,0.536585,44,,True,,
x,XVW,8,12,Western,4,5,2008-04-06,PAC,3,4,Pacific,2,3,2,82,35,0.426829,207,242,2.95122,41,28,96,124,16,2,48,21,20,0,23,10,-1,31,30,5,2,8,3,3,0,3,14,23,4,8,30,7,Dallas,0.591463,97,0.487805,40,0.45122,37,41,7,111,118,14,5,49,19,17,0,22,20072008,3,5,W,1,Dallas Stars,Stars de Dallas,Stars,DAL,https://assets.nhle.com/logos/nhl/svg/DAL_19941995-20122013_light.svg,0,23,0,0.54878,45,,True,,
x,XVE,4,4,Eastern,9,5,2008-04-06,ATL,2,2,Atlantic,4,3,2,82,14,0.170732,199,213,2.597561,41,16,90,106,13,3,53,21,18,0,25,10,3,22,25,1,4,14,4,3,0,5,6,8,13,9,27,13,NY Rangers,0.591463,97,0.414634,34,0.365854,30,41,-2,109,107,14,10,44,13,12,0,17,20072008,9,8,OT,2,New York Rangers,Rangers de New York,Rangers,NYR,https://assets.nhle.com/logos/nhl/svg/NYR_light.svg,0,22,0,0.512195,42,,True,,
x,XVW,3,8,Western,12,6,2008-04-06,NW,1,3,Northwest,5,2,2,82,12,0.146341,219,231,2.817073,41,26,103,129,12,2,56,23,21,0,27,10,1,31,32,4,1,11,3,3,0,5,4,16,24,10,31,7,Colorado,0.579268,95,0.45122,37,0.402439,33,41,-14,116,102,19,5,39,14,12,0,17,20072008,3,7,W,2,Colorado Avalanche,Avalanche du Colorado,Avalanche,COL,https://assets.nhle.com/logos/nhl/svg/COL_light.svg,0,20,0,0.536585,44,,True,,
