Name,Team,P,G,A
Besard Sabovic,Austin FC,34,1,0
Brad Stuver,Austin FC,36,0,0
Brandon Vázquez,Austin FC,19,5,0
Brendan Hines-Ike,Austin FC,33,0,1
CJ Fodrey,Austin FC,24,1,1
Dani Pereira,Austin FC,29,2,5
Diego Rubio,Austin FC,25,2,3
Ervin Torres,Austin FC,1,0,0
Guilherme Biro,Austin FC,34,3,1
Ilie Sánchez,Austin FC,28,1,0
Jimmy Farkarlun,Austin FC,0,0,0
Jon Gallagher,Austin FC,36,2,0
Julio Cascante,Austin FC,15,0,0
Jáder Obrian,Austin FC,32,0,1
Mateja Djordjevic,Austin FC,4,0,0
Micah Burton,Austin FC,0,0,0
Mikkel Desler,Austin FC,22,1,3
Myrto Uzuni,Austin FC,29,6,4
Nico Van Rijn,Austin FC,0,0,0
Nicolás Dubersarsky,Austin FC,22,0,1
Oleksandr Svatok,Austin FC,31,1,0
Osman Bukari,Austin FC,34,3,6
Owen Wolff,Austin FC,36,7,9
Robert Taylor,Austin FC,23,2,0
Zan Kolmanic,Austin FC,27,1,1
