Name,Team,P,G,A
Adilson Malanda,Charlotte FC,36,1,2
Andrew Privett,Charlotte FC,23,1,0
Archie Goodwin,Charlotte FC,9,0,1
Ashley Westwood,Charlotte FC,35,1,5
Bill Tuiloma,Charlotte FC,8,1,1
Brandt Bronico,Charlotte FC,34,2,4
David Bingham,Charlotte FC,2,0,0
Djibril Diani,Charlotte FC,28,0,2
Eryk Williamson,Charlotte FC,24,0,1
Harry Toffolo,Charlotte FC,6,0,2
Idan Toklomati,Charlotte FC,33,12,3
Iuri Tavares,Charlotte FC,5,0,0
Jahkeele Marshall-Rutty,Charlotte FC,30,0,3
Kerwin Vargas,Charlotte FC,37,6,3
Kristijan Kahlina,Charlotte FC,35,0,0
Liel Abada,Charlotte FC,34,5,2
Nathan Byrne,Charlotte FC,20,0,0
Nicholas Scardina,Charlotte FC,15,0,1
Nikola Petkovic,Charlotte FC,4,0,1
Patrick Agyemang,Charlotte FC,16,6,1
Pep Biel,Charlotte FC,26,10,12
Souleyman Doumbia,Charlotte FC,11,0,2
Tim Ream,Charlotte FC,30,0,0
Tyger Smalls,Charlotte FC,15,0,0
Wilfried Zaha,Charlotte FC,33,10,10
