Name,Team,P,G,A
Alejandro Alvarado Jr.,San Diego FC,12,0,0
Alex Mighten,San Diego FC,27,1,0
Amahl Pellegrino,San Diego FC,5,3,0
Anders Dreyer,San Diego FC,39,23,20
Aníbal Godoy,San Diego FC,30,1,2
Carlos Dos Santos,San Diego FC,32,0,0
Christopher McVey,San Diego FC,37,2,0
Corey Baird,San Diego FC,28,0,3
Emmanuel Boateng,San Diego FC,13,0,0
Franco Negri,San Diego FC,18,1,1
Hamady Diop,San Diego FC,0,0,1
Hirving Lozano,San Diego FC,31,11,10
Ian Pilcher,San Diego FC,22,1,1
Jasper Löeffelsend,San Diego FC,12,0,3
Jeppe Tverskov,San Diego FC,38,2,13
Luca Bombino,San Diego FC,31,1,5
Luca de la Torre,San Diego FC,34,5,2
Manu Duah,San Diego FC,19,0,0
Marcus Ingvartsen,San Diego FC,13,2,1
Onni Valakari,San Diego FC,39,5,9
Oscar Verhoeven,San Diego FC,15,0,0
Pablo Sisniega,San Diego FC,8,0,0
Paddy McNair,San Diego FC,25,0,1
Tomás Ángel,San Diego FC,22,3,2
William Kumado,San Diego FC,19,0,2
