Name,Team,P,G,A
Alejandro Bedoya,Philadelphia Union,25,1,3
Andre Blake,Philadelphia Union,24,0,0
Andrew Rick,Philadelphia Union,15,0,1
Ben Bender,Philadelphia Union,7,0,0
Bruno Damiani,Philadelphia Union,36,8,1
Cavan Sullivan,Philadelphia Union,13,0,0
Chris Donovan,Philadelphia Union,21,0,0
Danley Jean Jacques,Philadelphia Union,34,3,3
Dániel Gazdag,Philadelphia Union,32,6,5
Frankie Westfield,Philadelphia Union,28,1,5
Indiana Vassilev,Philadelphia Union,34,6,4
Ivan Glavinovich,Philadelphia Union,4,1,0
Jakob Glesnes,Philadelphia Union,34,1,2
Jeremy Rafanello,Philadelphia Union,16,0,0
Jesús Bueno,Philadelphia Union,22,1,0
Jovan Lukic,Philadelphia Union,35,2,5
Kai Wagner,Philadelphia Union,35,2,12
Markus Anderson,Philadelphia Union,3,1,0
Mikkel Uhre,Philadelphia Union,31,6,7
Milan Iloski,Philadelphia Union,26,13,6
Nathan Harriel,Philadelphia Union,28,2,0
Olivier Mbaizo,Philadelphia Union,9,0,0
Olwethu Makhanya,Philadelphia Union,32,1,0
Quinn Sullivan,Philadelphia Union,28,2,9
Tai Baribo,Philadelphia Union,32,18,3
