Name,Team,P,G,A
Akil Watts,St. Louis CITY SC,22,1,0
Alfredo Morales,St. Louis CITY SC,25,0,2
Benjamin Lundt,St. Louis CITY SC,9,0,0
Brendan McSorley,St. Louis CITY SC,8,2,1
Cedric Teuchert,St. Louis CITY SC,22,3,1
Christopher Durkin,St. Louis CITY SC,18,0,2
Conrad Wallem,St. Louis CITY SC,32,1,5
Célio Pompeu,St. Louis CITY SC,28,2,2
Devin Padelford,St. Louis CITY SC,14,0,2
Eduard Löwen,St. Louis CITY SC,19,6,3
Fallou Fall,St. Louis CITY SC,0,0,1
Henry Kessler,St. Louis CITY SC,17,0,1
Jake Girdwood-Reich,St. Louis CITY SC,10,0,0
Jannes Horn,St. Louis CITY SC,0,0,1
Jaziel Orozco,St. Louis CITY SC,7,1,0
Jeong Sang-Bin,St. Louis CITY SC,24,1,2
Joshua Yaro,St. Louis CITY SC,18,1,0
João Klauss,St. Louis CITY SC,33,10,2
Kyle Hiebert,St. Louis CITY SC,22,1,1
Marcel Hartel,St. Louis CITY SC,34,9,4
Mykhi Joyner,St. Louis CITY SC,13,1,0
Roman Bürki,St. Louis CITY SC,25,0,1
Simon Becher,St. Louis CITY SC,32,3,2
Timo Baumgartl,St. Louis CITY SC,22,0,1
Tomas Ostrak,St. Louis CITY SC,23,1,2
Tomas Totland,St. Louis CITY SC,17,0,1
Xande Silva,St. Louis CITY SC,18,0,1
