Name,Team,P,G,A
Ahmed Qasem,Nashville SC,29,2,1
Alan Carleton,Nashville SC,2,0,0
Alex Muyl,Nashville SC,35,1,4
Andy Nájar,Nashville SC,36,2,11
Bryan Acosta,Nashville SC,16,0,0
Chris Applewhite,Nashville SC,5,0,0
Daniel Lovitz,Nashville SC,33,2,6
Edvard Tagseth,Nashville SC,36,0,3
Gastón Brugman,Nashville SC,26,0,3
Hany Mukhtar,Nashville SC,37,17,12
Jack Maher,Nashville SC,31,0,0
Jacob Shaffelburg,Nashville SC,26,4,2
Jeisson Palacios,Nashville SC,24,2,1
Joe Willis,Nashville SC,37,0,0
Jonathan Pérez,Nashville SC,22,1,2
Josh Bauer,Nashville SC,27,3,3
Julian Gaines,Nashville SC,3,0,0
Matthew Corcoran,Nashville SC,11,0,2
Patrick Yazbek,Nashville SC,35,1,3
Sam Surridge,Nashville SC,37,25,5
Tate Schmitt,Nashville SC,3,0,0
Teal Bunbury,Nashville SC,23,0,0
Tyler Boyd,Nashville SC,6,0,1
Walker Zimmerman,Nashville SC,24,0,2
Wyatt Meyer,Nashville SC,6,0,0
