Name,Team,P,G,A
Alexandros Katranis,Real Salt Lake,30,1,5
Ariath Piol,Real Salt Lake,24,1,1
Braian Ojeda,Real Salt Lake,31,2,1
Brayan Vera,Real Salt Lake,28,1,1
DeAndre Yedlin,Real Salt Lake,35,1,5
Diego Luna,Real Salt Lake,28,9,6
Diogo Gonçalves,Real Salt Lake,30,4,6
Emeka Eneli,Real Salt Lake,29,0,2
Forster Ajago,Real Salt Lake,6,1,0
Jesús Barea,Real Salt Lake,12,0,0
Johnny Russell,Real Salt Lake,13,2,0
Justen Glad,Real Salt Lake,32,1,1
Nelson Palacio,Real Salt Lake,10,0,0
Noel Caliskan,Real Salt Lake,26,1,1
Pablo Ruiz,Real Salt Lake,21,0,1
Philip Quinton,Real Salt Lake,16,0,0
Rafael,Real Salt Lake,35,0,0
Rwan Cruz,Real Salt Lake,11,0,2
Samuel Junqua,Real Salt Lake,32,1,1
Tyler Wolff,Real Salt Lake,13,0,0
Victor Olatunji,Real Salt Lake,9,4,0
William Agada,Real Salt Lake,29,2,2
Zavier Gozo,Real Salt Lake,26,4,3
