Name,Team,P,G,A
Agustin Ojeda,New York City FC,39,0,7
Aiden O'Neill,New York City FC,24,0,4
Alonso Martínez,New York City FC,33,19,2
Andrés Perea,New York City FC,27,3,2
Birk Risa,New York City FC,17,0,0
Hannes Wolf,New York City FC,38,11,8
Jonathan Shore,New York City FC,30,1,0
Julián Fernández,New York City FC,37,3,5
Justin Haak,New York City FC,39,2,4
Keaton Parks,New York City FC,14,1,2
Kevin O'Toole,New York City FC,31,1,1
Matthew Freese,New York City FC,36,0,0
Maxi Carrizo,New York City FC,5,0,1
Maxi Morález,New York City FC,39,3,12
Mitja Ilenic,New York City FC,20,2,2
Monsef Bakrar,New York City FC,21,2,0
Nico Cavallo,New York City FC,15,0,0
Nicolás Fernández,New York City FC,16,5,2
Raul Gustavo,New York City FC,10,0,1
Sebastiano Musu,New York City FC,1,0,0
Seymour Reid,New York City FC,11,1,0
Strahinja Tanasijevic,New York City FC,16,0,0
Tayvon Gray,New York City FC,31,0,0
Thiago Martins,New York City FC,36,1,0
Tomas Romero,New York City FC,4,0,0
