Name,Team,P,G,A
Ali Ahmed,Vancouver Whitecaps,27,1,11
Andrés Cubas,Vancouver Whitecaps,31,0,1
Antoine Coupland,Vancouver Whitecaps,2,1,0
Belal Halbouni,Vancouver Whitecaps,0,0,0
Bjørn Inge Utvik,Vancouver Whitecaps,0,0,0
Brian White,Vancouver Whitecaps,24,18,2
Damir Kreilach,Vancouver Whitecaps,4,1,0
Daniel Ríos,Vancouver Whitecaps,33,4,3
Emmanuel Sabbi,Vancouver Whitecaps,33,8,4
Giuseppe Bovalina,Vancouver Whitecaps,0,0,2
Jayden Nelson,Vancouver Whitecaps,28,2,6
Jean-Claude Ngando,Vancouver Whitecaps,25,2,5
Jeevan Badwal,Vancouver Whitecaps,27,1,2
Kenji Cabrera,Vancouver Whitecaps,10,2,0
Mathías Laborda,Vancouver Whitecaps,32,6,2
Nelson Pierre,Vancouver Whitecaps,3,1,0
Pedro Vite,Vancouver Whitecaps,19,4,6
Ralph Priso-Mbongue,Vancouver Whitecaps,33,1,2
Ranko Veselinovic,Vancouver Whitecaps,21,0,0
Rayan Elloumi,Vancouver Whitecaps,10,2,1
Ryan Gauld,Vancouver Whitecaps,11,1,2
Sam Adekugbe,Vancouver Whitecaps,7,2,0
Sebastian Berhalter,Vancouver Whitecaps,34,4,12
Tate Johnson,Vancouver Whitecaps,32,1,2
Thomas Müller,Vancouver Whitecaps,12,8,3
Tristan Blackmon,Vancouver Whitecaps,27,2,1
Yohei Takaoka,Vancouver Whitecaps,39,0,1
Édier Ocampo,Vancouver Whitecaps,35,2,3
