Name,Team,P,G,A
Aaron Long,LAFC,15,1,0
Andy Moran,LAFC,10,1,1
Artem Smolyakov,LAFC,28,1,3
Cengiz Ünder,LAFC,12,2,2
David Martínez,LAFC,30,3,5
Denis Bouanga,LAFC,34,26,10
Eddie Segura,LAFC,34,1,3
Frankie Amaya,LAFC,20,1,0
Hugo Lloris,LAFC,35,0,0
Igor Jesus,LAFC,24,0,1
Javairô Dilrosun,LAFC,6,2,0
Jeremy Ebobisse,LAFC,24,5,1
Mark Delgado,LAFC,37,3,9
Marlon,LAFC,11,0,0
Mathieu Choinière,LAFC,12,1,0
Nathan Ordaz,LAFC,29,6,4
Nkosi Tafari,LAFC,28,0,1
Olivier Giroud,LAFC,11,3,1
Ryan Hollingshead,LAFC,34,2,4
Ryan Porteous,LAFC,13,0,1
Ryan Raposo,LAFC,6,0,0
Sergi Palencia,LAFC,36,1,5
Son Heung-Min,LAFC,13,12,3
Timothy Tillman,LAFC,33,0,3
Yaw Yeboah,LAFC,17,1,0
