Name,Team,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Alexei Zhitnik,WPG,LW,74,4,5,9,-10.0,127,7:26,0,0,64,6.3,,,,,,0,0,0.0
Bobby Holik,WPG,C,74,14,23,37,-12.0,36,18:25,6,5,111,12.6,,,,,,1,0,0.0
Boris Valabik,WPG,D,8,0,1,1,-2.0,4,9:39,0,1,6,0.0,,,,,,0,0,0.0
Brad Larsen,WPG,LW,10,2,2,4,-7.0,2,16:57,0,2,23,8.7,,,,,,3,1,33.3
Brett Sterling,WPG,LW,62,1,3,4,-17.0,12,9:01,0,0,35,2.9,,,,,,0,0,0.0
Bryan Little,WPG,C,73,5,13,18,-4.0,92,8:56,0,0,72,6.9,,,,,,1,0,0.0
Chris Thorburn,WPG,RW,82,15,19,34,-14.0,90,15:58,3,3,140,10.7,,,,,,1,0,0.0
Colby Armstrong RW *,WPG,,69,8,5,13,-10.0,41,10:23,0,0,95,8.4,,,,,,0,0,0.0
Colin Stuart,WPG,LW,18,0,5,5,-5.0,20,16:44,0,1,24,0.0,,,,,,0,0,0.0
Darren Haydar,WPG,RW,65,3,5,8,-8.0,58,19:01,0,2,79,3.8,,,,,,0,0,0.0
Eric Boulton,WPG,LW,72,1,9,10,-5.0,60,20:02,0,0,56,1.8,,,,,,0,0,0.0
Eric Perrin,WPG,C,60,26,30,56,-14.0,30,21:55,8,18,229,11.4,,,,,,10,2,20.0
Erik Christensen C *,WPG,,18,3,2,5,2.0,6,12:19,0,0,19,15.8,,,,,,0,0,0.0
Garnet Exelby,WPG,D,16,1,7,8,4.0,2,11:45,0,2,14,7.1,,,,,,0,0,0.0
Jim Slater,WPG,C,81,1,13,14,2.0,42,20:30,0,0,54,1.9,,,,,,0,0,0.0
Joel Kwiatkowski,WPG,D,55,1,6,7,-23.0,48,15:47,0,1,41,2.4,,,,,,0,0,0.0
Jordan LaVallee-Smotherman,WPG,LW,13,1,2,3,-2.0,14,12:23,0,0,14,7.1,,,,,,0,0,0.0
Ken Klee,WPG,D,18,4,7,11,-2.0,6,18:01,1,1,29,13.8,,,,,,0,0,0.0
Kevin Doell,WPG,C,33,0,2,2,-4.0,10,14:28,0,0,25,0.0,,,,,,0,0,0.0
Marian Hossa RW *,WPG,,79,52,35,87,-12.0,52,21:30,16,14,283,18.4,,,,,,10,4,40.0
Mark Popovic,WPG,LW,2,1,1,2,2.0,0,11:27,0,0,1,100.0,,,,,,0,0,0.0
Mark Recchi RW *,WPG,,82,17,24,41,-10.0,26,15:56,5,9,161,10.6,,,,,,14,5,35.7
Niclas Havelid,WPG,D,62,10,5,15,-4.0,24,14:46,0,0,111,9.0,,,,,,1,1,100.0
Pascal Dupuis RW *,WPG,,48,6,10,16,-2.0,18,15:36,2,0,76,7.9,,,,,,1,1,100.0
Steve McCarthy,WPG,D,79,2,5,7,-21.0,85,18:53,0,0,37,5.4,,,,,,0,0,0.0
Tobias Enstrom,WPG,D,53,12,28,40,-16.0,20,18:23,5,14,85,14.1,,,,,,4,1,25.0
Todd White,WPG,C,82,5,33,38,-5.0,42,24:28,4,22,105,4.8,,,,,,1,0,0.0
Total,WPG,,7,0,0,0,-2.0,42,16:41,0,0,5,0.0,,,,,,0,0,0.0
Vyacheslav Kozlov,WPG,LW,81,12,33,45,-5.0,26,17:49,2,4,121,9.9,,,,,,4,2,50.0
